Symbol	Description
1AD	Adalta Limited
1AG	Alterra Limited
1AL	Oneall International Limited
1PG	1-page Limited
1ST	1st Available Ltd
3DP	Pointerra Limited
3PL	3p Learning Limited..
4CE	Force Commodities Limited
4DS	4ds Memory Limited
5GN	5g Networks Limited
88E	88 Energy Limited
8CO	8common Limited
8COO	8common Limited
8EC	8ip Emerging Companies Limited
8IH	8i Holdings Ltd
9SP	9 Spokes International Limited
A1C	Aic Resources Limited
A200	A200
A2M	The A2 Milk Company Limited
A2MKOB	The A2 Milk Company Limited
A2MKOC	The A2 Milk Company Limited
A2MKOD	The A2 Milk Company Limited
A2MKOE	The A2 Milk Company Limited
A2MKOG	The A2 Milk Company Limited
A2MKOH	The A2 Milk Company Limited
A2MKOI	The A2 Milk Company Limited
A2MKOP	The A2 Milk Company Limited
A2MKOQ	The A2 Milk Company Limited
A2MKOR	The A2 Milk Company Limited
A2MKOS	The A2 Milk Company Limited
A3D	Aurora Labs Limited
A3DO	Aurora Labs Limited
AAA	Betashares Australian High Interest Cash Etf
AAC	Australian Agricultural Company Ltd
AACKOB	Australian Agricultural Company Limited.
AACKOC	Australian Agricultural Company Limited.
AAD	Ardent Leisure Group
AADKOA	Ardent Leisure Group
AADKOC	Ardent Leisure Group
AADKOD	Ardent Leisure Group
AADKOE	Ardent Leisure Group
AADKOP	Ardent Leisure Group
AADKOR	Ardent Leisure Group
AAJ	Aruma Resources Limited
AAP	Australian Agricultural Projects Limited
AAR	Anglo Australian Resources NL
AAU	Adcorp Australia Ltd
AB1	Animoca Brands Corporation Limited
ABA	Auswide Bank Ltd
ABC	Adelaide Brighton Ltd
ABCKOA	Adelaide Brighton Limited
ABCKOE	Adelaide Brighton Limited
ABCKOQ	Adelaide Brighton Limited
ABL	Abilene Oil And Gas Limited
ABP	Abacus Property Group
ABR	American Pacific Borate & Lithium Limited
ABT	Abundant Produce Limited
ABV	Advanced Braking Technology Ltd
ABW	Aurora Buy Write Income Trust
ABX	Abelle Ltd
AC8	Auscann Group Holdings Ltd
ACB	A-Cap Resources Ltd
ACF	Acumen Capital Property Securities Fund
ACL	Alchemia Ltd
ACO	Australian Careers Network Limited
ACP	Audalia Resources Limited
ACQ	Acorn Capital Investment Fund Limited
ACR	Acrux Ltd
ACS	Accent Resources NL
ACW	Actinogen Ltd
ACWOB	Actinogen Medical Limited
AD1	Applydirect Limited
AD8	Audinate Group Limited
ADA	Adacel Technologies Ltd
ADD	Adavale Resources Ltd
ADH	Adairs Limited
ADJ	Adslot Ltd
ADN	Adelaide Resources Ltd
ADNOB	Andromeda Metals Limited
ADO	
ADR	Adherium Limited
ADT	Advent Ltd
ADV	Australian Development Capital Fund
ADX	Audax Resources Ltd
ADY	Admiralty Resources NL
AEB	Algae.tec Limited
AEBO	Algae.tec Limited
AEE	Aura Energy Ltd
AEF	Australian Ethical Investments Ltd
AEG	Absolute Equity Performance Fund Limited
AEI	Aeris Technologies Ltd
AER	Aeeris Ltd
AEV	Avenira Limited
AFA	ASF Group Ltd
AFG	Allco Finance Group Ltd
AFI	Australian Foundation Invest Ltd
AFP	Aft Pharmaceuticals Limited
AFR	African Energy Resources (Guernsey) Ltd
AFT	AFT Corporation Ltd
AGD	Austral Gold Ltd
AGE	Alligator Energy Limited
AGEO	Alligator Energy Limited
AGG	Anglogold Ashanti Ltd (Sth Afr CUFS)
AGI	Ainsworth Game Technology Ltd
AGJ	Agricultural Land Trust
AGL	AGL Energy Limited
AGLHA	Agl Energy Limited.
AGLKOB	Agl Energy Limited.
AGLKOC	Agl Energy Limited.
