Symbol	Description
06GH	BARCLAYS BANK PLC 9% PERM INT BEARING CAP BDS GBP(VAR)(BR)
0AH7	BAYWA AG NPV(VINK)
0AHI	CRCAM NORD DE FRANCE EUR3.05
0AI4	CARLSBERG `B`DKK20
0APM	DANIELI & C EUR1
0B4R	FUCHS PETROLUB AG NPV
0B67	GALP ENERGIA SGPS EUR1 CLS`B`
0BJP	IMPREGILO SPA NPV
0BNS	KESKO OYJ NPV SER`A`
0BNT	KESKO OYJ NPV SER`B`
0BQE	KSB AG NON VTG PRF
0CHZ	QSC AG NPV
0CIJ	RAISIO YHTYMA OYJ NPV(CNV)`V`
0CXC	STORA ENSO OYJ SER`R`NPV
0D53	FINANCIERE DE TUBIZE NPV
0DH7	AF GRUPPEN ASA NOK0.05
0DHC	CARL ZEISS MEDITEC AG NPV
0DHJ	AUTOGRILL SPA EUR0.52
0DHR	AGRANA BETEILIGUNGS AG NPV
0DJI	ALM. BRAND DKK80
0DJN	ALMA MEDIA CORP NPV
0DJV	ALTRI SGPS S.A. EUR0.25
0DK9	AMADEUS AG PERSONALDIENSTLEI NPV
0DKX	AEDIFICA NPV
0DLI	AMSTERDAM COMMODITIES NV EUR0.45
0DM3	ARTPRICE.COM EUR1
0DM6	STERN GROEP EUR0.10
0DME	ASCOPIAVE SPA EUR1
0DMM	A.S.G.(ANDY SPYROU)GROUP EUR0.35
0DMQ	ASTALDI EUR2
0DMT	ASTROC MEDITERRANEO SA EUR0.2
0DMV	ASSYSTEM SA EUR1
0DNH	ATOS ORIGIN EUR1
0DNW	AUSTEVOLL SEAFOOD ASA NOK0.50
0DNZ	AUXIMINES NEW NPV(POST SPLIT)
0DO6	AVACOM NET EUR0.17
0DO7	AVENIR TELECOM EUR0.20
0DOL	BIOFRONTERA AG NPV
0DOS	BANK HANDLOWY W WARSZAWIE PLN4
0DP0	BANK PEKAO SA PLN1
0DP4	BASWARE OYJ NPV
0DP9	BANCA TRANSILVANIA CLUJ RON1
0DPB	BAVARIAN NORDIC RESEARCH INDSTITUTE DKK10
0DPG	BPI SOCIEDADE GESTORA PARTIC SOCIAI EUR1(REGD)
0DPM	BECHTLE AG NPV
0DPU	BELGACOM NPV
0DQ7	BEIERSDORF AG NPV
0DQK	BETER BED EUR0.02
0DQP	BELVEDERE EUR2
0DQZ	BANCA GENERALI EUR1
0DRH	BANK MILLENNIUM S.A. PLN1
0DSJ	BLOM ASA NOK0.1
0DST	BUDIMEX PLN5
0DT2	BANIF-BANCO INTERNACIONAL DO FUNCHL ORD EUR1
0DT9	BUSINESS OBJECTS SA EUR0.10(REGD)
0DTF	BOIRON EUR1
0DTI	BONHEUR ASA NOK1.25
0DTK	BONGRAIN SA EUR1
0DU3	BRE BANK PLN4
0DUI	BASLER AG ORD NPV
0DUK	BIESSE EUR1
0DVE	BORUSSIA DORTMUND KGAA NPV
0DVR	BANK ZACHODNI WBK PLN10
0DW1	CREDIT AGRICOLE D`ILE-DE FRANCE EUR4(CERTS D`INVEST)
0DW3	CA IMMOBILIEN ANLAGEN AG NPV
0DW4	CALTAGIRONE SPA EUR1
0DW5	INTERCALL EUR1
0DW9	CAPINORDIC AS DKK0.5
0DWL	CREDIT AGRICOLE DE TOULOUSE EUR16 CERTS D`INVEST
0DX2	CCB REAL ESTATE FUND REIT-SOFIA BGN1
0DX8	SECHE ENVIRONNEMENT EUR0.20
0DXG	CROPENERGIES AG NPV
0DXU	CEMBRE SPA EUR0.52
0DXV	CEMENTIR SPA EUR1
0DYD	CENTROTEC SUSTAINABLE NPV
0DYQ	CEGEDIM EUR0.9528
0DYU	CONERGY AG NPV
0DZC	ACERIAS Y FORJAS DE AZCOITIA EUR0.25
0DZH	CIR-COMPAGNIE INDUSTRIALI SPA EUR0.50
0DZJ	GROUPE CRIT EUR0.36
0DZN	LEVANTINA DE EDIFICACION OBRAS PUBL ORD EUR1
0DZT	CELESIO AG NPV
0DZU	CENTRALE LATTE TORINO EUR2.06
0DZX	COMBOTS AG NPV
0E0L	COFIDE EUR0.50
0E0T	INMOBILIARIA COLONIAL SA EUR0.12
0E0X	COLUMBUS IT PARTNER DKK1.25
0E12	COMROD COMMUNICATIONS ASA NOK1
0E13	SYGNITY SA PLN1
0E16	CONTINENTAL AG NPV
0E1L	CAPMAN OYJ SER`B`NPV
0E1S	CRAMO PLC NPV
0E1Y	CHARGEURS EUR16
0E2B	CSP INTERNATIONAL IND CALZ SPA EUR0.52
0E2N	CITYCON OYJ NPV
0E3C	DATALOGIC SPA EUR0.52
0E46	PUBLIC POWER CORP S.A. EUR4.60
0E4B	DELACHAUX EUR0.64
0E4K	DEUTZ AG NPV
0E4Q	DIAGENIC ASA NOK0.05
0E4X	DIDIER-WERKE AG NPV
0E5A	DIONIC SA EUR0.30(CR)
0E5M	DE LONGHI EUR3
0E5V	DIGITAL MULTIMEDIA TECHNOLOGIES SPA ORD EUR0.10
0E64	DO & CO RESTAURANTS & CATERUNG AG NPV
0E6H	AGOR AG ORD NPV
0E6M	DEUTSCHE POSTBANK AG NPV
0E6Y	DRILLISCH AG NPV
0E77	D&S EUROPE AG NPV
0E7I	DUERR AG NPV
0E7S	DEVOTEAM SA EUR0.15
0E7Z	EUROTECH SPA NPV
0E80	ESTAVIS AG NPV
0E8U	ENCRES DUBUIT EUR0.40
0E9S	EKORNES NOK1(REGD)
0E9V	ENERGIEKONTOR AG NPV
0EA2	ELICA EUR0.2
0EBQ	ENAGAS SA EUR1.50
0EDB	EASY SOFTWARE NPV
0EDE	NETGEM NPV
0EDZ	EUROBANK PROPERTIES REAL EST INV CO COM NPV
0EEE	CTS EVENTIM NPV
0EEI	EVN AG NPV
0EEV	EXMAR SA NPV
0EG8	FINNAIR EUR0.85
0EGH	FIERA MILANO EUR1
0EHF	FRED OLSEN ENERGY ASA NOK20
0EIB	FERSA ENERGIAS RENOVABLES EUR1
0EIE	F-SECURE OYJ NPV
0EKE	LINK SOLUTIONS FOR INDUSTRY EUR2
0EKI	GEFRAN EUR1
0EKR	GIMV NPV
0ELC	NORBERT DENTRESSANGLE EUR1.60
0ELN	BOURBON SA NPV
0ELV	GUERBET EUR4
0ENF	HARTMANN BRODRENE DKK20
0ENJ	HAWESKO HLDGS ORD NPV
0ENN	HORNBACH BAUMARKT AG NPV
0EOF	HEXAGON COMPOSITES ASA NOK0.10
0EPW	HOCHTIEF AG NPV
0ES0	ICT AUTOMATISERING EUR0.10
0EUH	INDUS-HOLDING AG NPV
0EVE	INTEROIL EXPLORATION & PRODUCTION NOK0.05
0EVI	INNATE PHARMA A EUR0.05
0EW0	INTESA SANPAOLO SPA DI RISP EUR0.52(NON CNV)
0EW1	ISRA VISION AG NPV
0EWD	INTERPUMP GROUP EUR0.52
0EWR	INIT AG NPV
0EX7	JENOPTIK AG NPV
0EXG	JERONIMO MARTINS SGPS EUR1.
0EXP	JUNGHEINRICH NON VTG PRF SHS NPV
0EYG	KBC GROUPE SA NPV
0F07	KAUFMAN & BROAD EUR0.26
