Symbol	Description
A	Armor Minerals Inc
AA	Alba Minerals Inc
AAD	Added Capital Inc
AAG.H	Aftermath Silver Ltd
AAL	Advantage Lithium Corp
AAN	Aton Resources Inc
AAO	Augusta Industries Inc
AAP	Alpha Peak Leisure Inc
AAX	Advance Gold Corp
AAZ	Azincourt Energy Corp.
AB.H	Asbestos Corporation Limited
ABCN	Abcann Global Corp
ABI	Abcourt Mines Inc
ABM	Athabasca Minerals Inc
ABN	Aben Resources Ltd
ABRA	Abraplata Resource Corp
ABZ	Asiabasemetals Inc
ACP	Arcpacific Resources Corp
ACST	Acasti Pharma Inc
ACU	Aurora Solar Technologies Inc
ADD	Arctic Star Exploration Corp
ADE	Adex Mining Inc
ADG	Arcus Development Group Inc
ADK	Diagnos Inc
ADYA	Adya Inc
ADZ	Adamera Minerals Corp
ADZN	Adventus Zinc Corp
AEC	Anfield Energy Inc.
AEL.H	Amseco Exploration Ltd
AEP	Atlas Engineered Products Ltd.
AET	Aethon Minerals Corporation
AEX	Aex Gold Inc.
AFCC	Automotive Finco Corp
AFCC.DB	Automotive Finco Corp 6.75 Pct Debs
AFE	Africa Energy Corp
AFF	Affinity Metals Corp
AFM	Alphamin Resources Corp
AGB	Atlantic Gold Corp
AGB.WT	Atlantic Gold Corp Wts
AGC	Amarillo Gold Corp
AGD	Antioquia Gold Inc
AGG	African Gold Group Inc
AGH.H	Canadian Silver Hunter Inc
AGLD	Austral Gold Limited
AGM	Aldridge Minerals Inc
AGO	Aurcrest Gold Inc
AGRL	Aguia Resources Limited
AGZ	Ashanti Gold Corp
AHE	American Helium Inc.
AHI	Agility Health Inc
AHM.H	Antler Hill Mining Ltd
AHR	Amarc Resources Ltd
AHS	Alta Natural Herbs and S
AHU	Arctic Hunter Energy Inc
AIII.P	Apolo III Acquisition Corp
AIIM	Albert Mining Inc
AIS	Ais Resources Limited
AKH	Alaska Hydro Corp
AKR	Ackroo Inc
AL	Alx Uranium Corp
ALD	Aldever Resources Inc
ALEF	Aleafia Health Inc.
ALG	Algold Resources Ltd
ALL.H	Allante Resources Ltd
ALM	Alliance Mining Corp
ALT	Alturas Minerals Corp
ALTA	Altamira Gold Corp
ALTS	Altus Strategies Plc
ALV	Alvopetro Energy Ltd
ALY	Analytixinsight Inc
ALZ	Aldershot Resources Ltd
AME	Abacus Mining and Exploration
AMK	American Creek Resources Ltd
AMO	Altan Rio Minerals Limited
AMR	Am Resources Corp
AMX	AMEX Exploration Inc
AMY	American Manganese Inc
AMZ	Azucar Minerals Ltd.
AN	Arena Minerals Inc
ANC.H	Anchor Capital Corporation
ANE	Altan Nevada Minerals Limited
ANG	Angel Gold Corp
ANK	Angkor Gold Corp
ANL.H	Atlantic Industrial Minerals Inc
ANTL	Antler Gold Inc
ANZ	Alianza Minerals Ltd
AORO	Aloro Mining Corp
AOT	Ascot Resources Ltd
APC	Advanced Proteome Therapeutics Corp
APII.P	Apolo II Acquisition Corp
APN	Altiplano Minerals Ltd
APX	Apex Resources Inc
AQS	Aequus Pharmaceuticals Inc
ARA	Anconia Resources Corp
ARCH	Arch Biopartners Inc
ARD	Armada Data Corp
