Symbol	Description
A6	Australian Dollar
A6.C	Australian Dollar Continuation
A6H19	Australian Dollar {Mar 19}
A6H20	Australian Dollar {Mar 20}
A6H21	Australian Dollar {Mar 21}
A6H22	Australian Dollar {Mar 22}
A6H23	Australian Dollar {Mar 23}
A6M19	Australian Dollar {Jun 19}
A6M20	Australian Dollar {Jun 20}
A6M21	Australian Dollar {Jun 21}
A6M22	Australian Dollar {Jun 22}
A6M23	Australian Dollar {Jun 23}
A6N18	Australian Dollar {Jul 18}
A6Q18	Australian Dollar {Aug 18}
A6U18	Australian Dollar {Sep 18}
A6U19	Australian Dollar {Sep 19}
A6U20	Australian Dollar {Sep 20}
A6U21	Australian Dollar {Sep 21}
A6U22	Australian Dollar {Sep 22}
A6V18	Australian Dollar {Oct 18}
A6X18	Australian Dollar {Nov 18}
A6Z18	Australian Dollar {Dec 18}
A6Z19	Australian Dollar {Dec 19}
A6Z20	Australian Dollar {Dec 20}
A6Z21	Australian Dollar {Dec 21}
A6Z22	Australian Dollar {Dec 22}
AD	Australian Dollar(P)
AD.C	Australian Dollar(P) Continuation
ADH19	Australian Dollar(P) {Mar 19}
ADH20	Australian Dollar(P) {Mar 20}
ADH21	Australian Dollar(P) {Mar 21}
ADH22	Australian Dollar(P) {Mar 22}
ADH23	Australian Dollar(P) {Mar 23}
ADM19	Australian Dollar(P) {Jun 19}
ADM20	Australian Dollar(P) {Jun 20}
ADM21	Australian Dollar(P) {Jun 21}
ADM22	Australian Dollar(P) {Jun 22}
ADM23	Australian Dollar(P) {Jun 23}
ADN18	Australian Dollar(P) {Jul 18}
ADQ18	Australian Dollar(P) {Aug 18}
ADU18	Australian Dollar(P) {Sep 18}
ADU19	Australian Dollar(P) {Sep 19}
ADU20	Australian Dollar(P) {Sep 20}
ADU21	Australian Dollar(P) {Sep 21}
ADU22	Australian Dollar(P) {Sep 22}
ADV18	Australian Dollar(P) {Oct 18}
ADX18	Australian Dollar(P) {Nov 18}
ADZ18	Australian Dollar(P) {Dec 18}
ADZ19	Australian Dollar(P) {Dec 19}
ADZ20	Australian Dollar(P) {Dec 20}
ADZ21	Australian Dollar(P) {Dec 21}
ADZ22	Australian Dollar(P) {Dec 22}
B6	British Pound
B6.C	British Pound Continuation
B6H19	British Pound {Mar 19}
B6H20	British Pound {Mar 20}
B6H21	British Pound {Mar 21}
B6H22	British Pound {Mar 22}
B6H23	British Pound {Mar 23}
B6M19	British Pound {Jun 19}
B6M20	British Pound {Jun 20}
B6M21	British Pound {Jun 21}
B6M22	British Pound {Jun 22}
B6M23	British Pound {Jun 23}
B6N18	British Pound {Jul 18}
B6Q18	British Pound {Aug 18}
B6U18	British Pound {Sep 18}
B6U19	British Pound {Sep 19}
B6U20	British Pound {Sep 20}
B6U21	British Pound {Sep 21}
B6U22	British Pound {Sep 22}
B6V18	British Pound {Oct 18}
B6X18	British Pound {Nov 18}
B6Z18	British Pound {Dec 18}
B6Z19	British Pound {Dec 19}
B6Z20	British Pound {Dec 20}
B6Z21	British Pound {Dec 21}
B6Z22	British Pound {Dec 22}
BA.C	CME Dollar Spot Inde Continuation
BAH19	CME Dollar Spot Inde {Mar 19}
BAM19	CME Dollar Spot Inde {Jun 19}
BAU18	CME Dollar Spot Inde {Sep 18}
BAZ18	CME Dollar Spot Inde {Dec 18}
BD.C	Butter Cash-Settled Continuation
BDF19	Butter Cash-Settled {Jan 19}
BDF20	Butter Cash-Settled {Jan 20}
BDG19	Butter Cash-Settled {Feb 19}
BDG20	Butter Cash-Settled {Feb 20}
BDH19	Butter Cash-Settled {Mar 19}
BDH20	Butter Cash-Settled {Mar 20}
BDJ19	Butter Cash-Settled {Apr 19}
BDJ20	Butter Cash-Settled {Apr 20}
BDK19	Butter Cash-Settled {May 19}
BDK20	Butter Cash-Settled {May 20}
BDM18	Butter Cash-Settled {Jun 18}
BDM19	Butter Cash-Settled {Jun 19}
BDM20	Butter Cash-Settled {Jun 20}
BDN18	Butter Cash-Settled {Jul 18}
BDN19	Butter Cash-Settled {Jul 19}
BDQ18	Butter Cash-Settled {Aug 18}
BDQ19	Butter Cash-Settled {Aug 19}
BDU18	Butter Cash-Settled {Sep 18}
BDU19	Butter Cash-Settled {Sep 19}
BDV18	Butter Cash-Settled {Oct 18}
BDV19	Butter Cash-Settled {Oct 19}
BDX18	Butter Cash-Settled {Nov 18}
BDX19	Butter Cash-Settled {Nov 19}
BDZ18	Butter Cash-Settled {Dec 18}
BDZ19	Butter Cash-Settled {Dec 19}
BI	S&P 500 Cons Disc
BI.C	S&P 500 Cons Disc Continuation
BIH19	S&P 500 Cons Disc {Mar 19}
BIM19	S&P 500 Cons Disc {Jun 19}
