Symbol	Description
00001	Cheung Kong (Holdings) Ltd
00002	CLP Holdings Ltd
00003	Hong Kong and China Gas Co. Ltd
00004	Wharf (Holdings) Ltd
00005	HSBC Holdings plc
00006	Power Asset Holdings
00007	Hoifu Energy
00008	PCCW Ltd
00009	Mandarin Entertainment (Holdings) Ltd
00010	Hang Lung Group Ltd
00011	Hang Seng Bank Ltd
00012	Henderson Land Development Co. Ltd
00014	Hysan Development Co. Ltd
00015	Vantage International (Holdings) Ltd
00016	Sun Hung Kai Properties Ltd
00017	New World Development Co. Ltd
00018	Oriental Press Group Ltd
00019	Swire Pacific Ltd 'A'
00020	Wheelock and Co. Ltd
00021	Beauforte Investors Corporation Ltd
00022	Mexan Ltd
00023	Bank of East Asia Ltd
00024	Burwill Holdings Ltd
00025	Chevalier International Holdings Ltd
00026	China Motor Bus Co. Ltd
00027	Galaxy Entertainment Group Ltd
00028	Tian An China Investments Co. Ltd
00029	Dynamic Holdings Ltd
00030	ABC Communications Ltd
00031	China Aerospace International Holdings Ltd
00032	Cross-Harbour (Holdings) Ltd
00033	Elec & Eltek International Holdings Ltd
00034	Kowloon Development Co. Ltd
00035	Far East Consortium International Ltd
00036	Far East Technology International Ltd
00037	Far East Hotels & Entertainment Ltd
00038	First Tractor Co Ltd
00039	Wealthmark International (Holdings) Ltd
00040	Gold Peak Industries (Holdings) Ltd
00041	Great Eagle Holdings Ltd
00042	Northeast Electric Development Co. Ltd
00043	C. P. Pokphand Co. Ltd
00044	HAECO
00045	Hongkong and Shanghai Hotels Ltd
00046	Computer And Technologies Holdings Ltd
00047	Hop Hing Holdings Ltd
00048	C Auto Int Deco
00050	Hong Kong Ferry (Holdings) Co. Ltd
00051	Harbour Centre Development Ltd
00052	Fairwood Holdings Ltd
00053	Guoco Group Ltd
00054	Hopewell Holdings Ltd
00055	Chung Tai Printing Holdings Ltd
00056	Allied Properties (HK) Ltd
00057	Chen Hsong Holdings Ltd
00058	Sunway International Holdings Ltd
00059	Skyfame Realty (Holdings) Ltd
00060	Four Seas Food Investment Holdings Ltd
00061	Venture International Investment Holdings Ltd
00062	Transport International Holdings Ltd
00063	Winfoong International Ltd
00064	Get Nice Holdings Ltd
00065	Pacific Century Insurance Holdings Ltd
00066	MTR Corporation Ltd
00067	Lumena Resources
00068	Lee Hing Development Ltd
00069	Shangri-La Asia Ltd
00070	Massive Resources International Corporation Ltd
00071	Miramar Hotel & Investment Co. Ltd
00072	King Pacific International Holdings Ltd
00073	Alpha General (holdings)
00075	Y. T. Realty Group Ltd
00076	South Sea Petroleum Holdings Ltd
00077	AMS Public Transport Holdings Ltd
00078	Regal Hotels International Holdings Ltd
00079	Century Legend (Holdings) Ltd
00080	Shaw Brothers (Hong Kong) Ltd
00081	Shell Electric Mfg (Holdings) Co. Ltd
00082	Yanion International Holdings Ltd
00083	Sino Land Co. Ltd
00084	Stelux Holdings International Ltd
00085	China Electronics Corporation Holdings Co. Ltd
00086	Sun Hung Kai & Co. Ltd
00087	Swire Pacific Ltd 'B'
00088	Tai Cheung Holdings Ltd
00089	Tai Sang Land Development Ltd
00090	Gold Wo International Holdings
00091	New Smart Holdings Ltd
00092	Champion Technology Holdings Ltd
00093	Termbray Industries International (Holdings) Ltd
00094	Greenheart Group Limited
00095	New Heritage Holdings Ltd
00096	Wing Lung Bank Ltd
00097	Henderson Investment Ltd
00098	Xingfa Aluminium Holdings Ltd
00099	Wong's International (Holdings) Ltd
00100	Clear Media Ltd
00101	Hang Lung Properties Ltd
00102	Arnhold Holdings Ltd
00103	Shougang Concord Century Holdings Ltd
00104	Asia Commercial Holdings Ltd
00105	Associated International Hotels Ltd
00106	Shenzhen High-Tech Holdings Ltd
00107	Sichuan Expressway Co. Ltd
00108	Buildmore International Ltd
00109	Wonderful World Holdings Ltd
00110	Fortune Telecom Holdings Ltd
00111	Hantec Investment Holdings Ltd
00112	Chi Cheung Investment Co. Ltd
00113	Dickson Concepts (International) Ltd
00114	Herald Holdings Ltd
00115	Grand Field Group Holdings Ltd
00116	Chow Sang Sang Holdings International Ltd
00117	Eyang Holdings Group
00118	Cosmos Machinery Enterprises Ltd
00119	Poly (Hong Kong) Investments Ltd
00120	Cosmopolitan International Holdings Ltd
00121	Chia Tai Enterprises International Ltd
00122	Crocodile Garments Ltd
00123	Yuexiu Property
00124	Kingway Brewery Holdings Ltd
00125	Sun Hing Vision Group Holdings Ltd
00126	Tak Sing Alliance Holdings Ltd
00127	Chinese Estates Holdings Ltd
00128	ENM Holdings Ltd
00129	Asia Standard International Group Ltd
00130	Moiselle International Holdings Ltd
00131	Cheuk Nang (Holdings) Ltd
00132	China Investments Holdings Ltd
00133	China Merchants China Direct Investments Ltd
00135	Kunlun Energy
00136	Mascotte Holdings Ltd
00137	Jinhui Holdings Co. Ltd
00138	CCT Telecom Holdings Ltd
00139	139 Holdings Ltd
00141	Great China Holdings Ltd
00142	First Pacific Co. Ltd
00143	Global Tech (Holdings) Ltd
00144	China Merchants Holdings (International) Co. Ltd
00145	Hong Kong Building and Loan Agency Ltd
00146	Tai Ping Carpets International Ltd
00147	Graneagle Holdings Ltd
00148	Kingboard Chemical Holdings Ltd
00149	China Velocity Group Ltd
00151	Want Want China Holdings Ltd
00152	Shenzhen International Holdings Ltd
00153	QPL International Holdings Ltd Warrants 2007
00154	Beijing Development (Hong Kong) Ltd
00155	China Solar Energy Holdings Ltd
00156	Lippo China Resources Ltd
00157	Natural Beauty Bio-Technology Ltd
00158	Melbourne Enterprises Ltd
00159	Wah Nam International Holdings Ltd
00160	Hon Kwok Land Investment Co. Ltd
00161	CATIC Shenzhen Holdings Ltd
00162	China Golden Development Holdings Ltd
00163	Emperor International Holdings Ltd
00164	Premium Land Ltd
00165	China Everbright Ltd
00166	New Times Group Holdings Ltd
00167	IDT International Ltd
00168	Tsingtao Brewery Co. Ltd
00169	China Fair Land Holdings Ltd
00171	Silver Grant International Industries Ltd
00172	Goldbond Group Holdings Ltd
00173	K. Wah International Holdings Ltd
00174	Kee Shing (Holdings) Ltd
00175	Geely Automobile Holdings Ltd
00176	United Pacific Industries Ltd
00177	Jiangsu Expressway Co. Ltd
00178	Sa Sa International Holdings Ltd
00179	Johnson Electric Holdings Ltd
00180	Kader Holdings Co. Ltd
00181	Fujian Holdings Ltd
00182	China WindPower Group Ltd
00183	CITIC International Financial Holdings Ltd
00184	Keck Seng Investments (Hong Kong) Ltd
00185	China Credit Holdings Ltd
00186	Grande Holdings Ltd
00187	Beiren Printing Machinery Holdings Ltd
00188	SW Kingsway Capital Holdings Ltd
00189	Dongyue Group Ltd
00190	Hong Kong Construction (Holdings) Ltd
00191	Lai Sun Garment (International) Ltd
00193	Capital Estate Ltd
00194	Liu Chong Hing Investment Ltd
00195	Grand Hotel Holdings A
00196	Honghua Group Ltd
00197	Heng Tai Consumables Group Ltd
00198	SMI Corporation Ltd
00199	Macau Prime Properties Holdings Ltd
00200	Melco International Development Ltd
