Symbol	Description
ADDA	AMEX Advance Decline Difference
ADDD	OTC Advance Decline Difference
ADDE	ETFS Advance - Decline
ADDN	NYSE Advance Decline Difference
ADDQ	NASD Advance Decline Difference
ADDS	TSX Advance Decline Difference
ADDT	Total Advance Decline Difference
ADDV	Tsxv Advance Decline Difference
ADDX	CAD Total Advance Decline Difference
ADRA	AMEX Advance Decline Ratio
ADRD	OTC Advance Decline Ratio
ADRE	ETFS  Advance Decline Ratio
ADRN	NYSE Advance Decline Ratio
ADRQ	NASD Advance Decline Ratio
ADRS	TSX Advance Decline Ratio
ADRT	Total Advance Decline Ratio
ADRV	Tsxv Advance Decline Ratio
ADRX	CAD Total Advance Decline Ratio
ADVA	AMEX Advancing Stocks
ADVD	OTC Advancing Stocks
ADVE	ETFS  Advancing Stocks
ADVN	NYSE Advancing Stocks
ADVQ	NASD Advancing Stocks
ADVS	TSX Advancing Stocks
ADVT	Total Advancing Stocks
ADVV	Tsxv Advancing Stocks
ADVX	CAD Total Advancing Stocks
ASHD	AMEX Declining Stocks
ASHF	AMEX Advances - Declines
ASHR	AMEX Advance Decline Ratio
ASHU	AMEX Advancing Stocks
AVDA	AMEX Advances Declines Volume Difference
AVDD	OTC Advance Decline Volume Difference
AVDE	ETFS  Advances - Declines Volume
AVDN	NYSE Advances Declines Volume Difference
AVDQ	NASD Advances Declines Volume Difference
AVDS	TSX Advance Decline Volume Difference
AVDT	Total Advances Declines Volume Difference
AVDV	Tsxv Advance Decline Volume Difference
AVDX	CAD Total Advance Decline Volume Difference
AVLD	AMEX Declining Volume
AVLF	AMEX Advance Decline Volume Difference
AVLR	AMEX Advance Decline Vol Ratio
AVLU	AMEX Advancing Volume
AVRA	AMEX Advance Decline Volume Ratio
AVRD	OTC Advance Decline Volume Ratio
AVRE	ETFS  Advance / Decline Volume
AVRN	NYSE Advance Decline Volume Ratio
AVRQ	NASD Advance Decline Volume Ratio
AVRS	TSX Advance Decline Volume Ratio
AVRT	Total Advance Decline Volume Ratio
AVRV	Tsxv Advance Decline Volume Ratio
AVRX	CAD Total Advance Decline Volume Ratio
AVVA	AMEX Advancing Volume
AVVD	OTC Advancing Volume
AVVE	ETFS  Advancing Volume
AVVN	NYSE Advancing Volume
AVVQ	NASD Advancing Volume
AVVS	TSX Advancing Volume
AVVT	Total Advancing Volume
AVVV	Tsxv Advancing Volume
AVVX	CAD Total Advancing Volume
BANK	Nasdaq Bank
BCMA	Barchart Market Momentum Index Advances
BCMC	Barchart TSX Market Momentum Index
BCMD	Barchart Market Momentum Index Declines
BCME	Barchart TSX Market Momentum Index Advances
BCMF	Barchart TSX Market Momentum Index Declines
BCMG	Barchart TSX Market Momentum Index Unch
BCMM	Barchart Market Momentum Index
BCMU	Barchart Market Momentum Index Unch
BDMA	Barchart Market Momentum Advances Yesterday
BDMC	Barchart TSX Market Momentum Yesterday
BDMD	Barchart Market Momentum Declines Yesterday
BDME	Barchart TSX Market Momentum Advances Yesterday
BDMF	Barchart TSX Market Momentum Declines Yesterday
BDMG	Barchart TSX Market Momentum Unch Yesterday
BDMM	Barchart Market Momentum Yesterday
BDMU	Barchart Market Momentum Unch Yesterday
BFMA	Barchart Market Momentum Advances Last Week
BFMC	Barchart TSX Market Momentum Last Week
BFMD	Barchart Market Momentum Declines Last Week
BFME	Barchart TSX Market Momentum Advances Last Week
BFMF	Barchart TSX Market Momentum Declines Last Week
BFMG	Barchart TSX Market Momentum Unch Last Week
BFMM	Barchart Market Momentum Last Week
BFMU	Barchart Market Momentum Unch Last Week
BGMA	Barchart Market Momentum Advances Last Month
