Symbol	Description
A7.C	MSCI EMI Continuation
A7H19	MSCI EMI {Mar 19}
A7M19	MSCI EMI {Jun 19}
A7U18	MSCI EMI {Sep 18}
A7U19	MSCI EMI {Sep 19}
A7Z18	MSCI EMI {Dec 18}
A8.C	MSCI Far East ex-Japan Continuation
A8H19	MSCI Far East ex-Japan {Mar 19}
A8M19	MSCI Far East ex-Japan {Jun 19}
A8M20	MSCI Far East ex-Japan {Jun 20}
A8N18	MSCI Far East ex-Japan {Jul 18}
A8Q18	MSCI Far East ex-Japan {Aug 18}
A8U18	MSCI Far East ex-Japan {Sep 18}
A8U19	MSCI Far East ex-Japan {Sep 19}
A8V18	MSCI Far East ex-Japan {Oct 18}
A8X18	MSCI Far East ex-Japan {Nov 18}
A8Z18	MSCI Far East ex-Japan {Dec 18}
A8Z19	MSCI Far East ex-Japan {Dec 19}
AE	Wheat {Mar 13}
CA.C	No. 7 Cocoa Continuation
CAH19	No. 7 Cocoa {Mar 19}
CAH20	No. 7 Cocoa {Mar 20}
CAK19	No. 7 Cocoa {May 19}
CAK20	No. 7 Cocoa {May 20}
CAN18	No. 7 Cocoa {Jul 18}
CAN19	No. 7 Cocoa {Jul 19}
CAN20	No. 7 Cocoa {Jul 20}
CAU18	No. 7 Cocoa {Sep 18}
CAU19	No. 7 Cocoa {Sep 19}
CAZ18	No. 7 Cocoa {Dec 18}
CAZ19	No. 7 Cocoa {Dec 19}
EG.C	EuroDollar Continuation
EGH19	EuroDollar {Mar 19}
EGH20	EuroDollar {Mar 20}
EGH21	EuroDollar {Mar 21}
EGH22	EuroDollar {Mar 22}
EGH23	EuroDollar {Mar 23}
EGM19	EuroDollar {Jun 19}
EGM20	EuroDollar {Jun 20}
EGM21	EuroDollar {Jun 21}
EGM22	EuroDollar {Jun 22}
EGM23	EuroDollar {Jun 23}
EGN18	EuroDollar {Jul 18}
EGQ18	EuroDollar {Aug 18}
EGU18	EuroDollar {Sep 18}
EGU19	EuroDollar {Sep 19}
EGU20	EuroDollar {Sep 20}
EGU21	EuroDollar {Sep 21}
EGU22	EuroDollar {Sep 22}
EGU23	EuroDollar {Sep 23}
EGV18	EuroDollar {Oct 18}
EGZ18	EuroDollar {Dec 18}
EGZ19	EuroDollar {Dec 19}
EGZ20	EuroDollar {Dec 20}
EGZ21	EuroDollar {Dec 21}
EGZ22	EuroDollar {Dec 22}
F.C	3-Month Euroswiss Continuation
F6.C	MSCI World NTR Index Continuation
