Symbol	Description
A9H19	MSCI EAFE NTR Index {Mar 19}
A9M19	MSCI EAFE NTR Index {Jun 19}
A9U18	MSCI EAFE NTR Index {Sep 18}
A9U19	MSCI EAFE NTR Index {Sep 19}
A9Z18	MSCI EAFE NTR Index {Dec 18}
AFH19	MSCI USA Value {Mar 19}
AFM19	MSCI USA Value {Jun 19}
AFU18	MSCI USA Value {Sep 18}
AFU19	MSCI USA Value {Sep 19}
AFZ18	MSCI USA Value {Dec 18}
AMH19	MSCI EM Asia NTR {Mar 19}
AMM19	MSCI EM Asia NTR {Jun 19}
AMU18	MSCI EM Asia NTR {Sep 18}
AMU19	MSCI EM Asia NTR {Sep 19}
AMZ18	MSCI EM Asia NTR {Dec 18}
ANH19	MSCI Euro Index {Mar 19}
ANM19	MSCI Euro Index {Jun 19}
ANU18	MSCI Euro Index {Sep 18}
ANU19	MSCI Euro Index {Sep 19}
ANZ18	MSCI Euro Index {Dec 18}
AOH19	MSCI Pan-Euro Index {Mar 19}
AOM19	MSCI Pan-Euro Index {Jun 19}
AOU18	MSCI Pan-Euro Index {Sep 18}
AOU19	MSCI Pan-Euro Index {Sep 19}
AOZ18	MSCI Pan-Euro Index {Dec 18}
AR	Aussie/New Zealand
ARH19	Aussie/New Zealand {Mar 19}
ARM19	Aussie/New Zealand {Jun 19}
ARU18	Aussie/New Zealand {Sep 18}
ARZ18	Aussie/New Zealand {Dec 18}
AS	Aussie/Canadian
ASH19	Aussie/Canadian {Mar 19}
ASM19	Aussie/Canadian {Jun 19}
ASU18	Aussie/Canadian {Sep 18}
ASZ18	Aussie/Canadian {Dec 18}
AU	Australian Dollar
AUH19	Australian Dollar {Mar 19}
AUM19	Australian Dollar {Jun 19}
AUU18	Australian Dollar {Sep 18}
AUZ18	Australian Dollar {Dec 18}
CC	Cocoa
CCH19	Cocoa {Mar 19}
CCH20	Cocoa {Mar 20}
CCK19	Cocoa {May 19}
CCK20	Cocoa {May 20}
CCN18	Cocoa {Jul 18}
CCN19	Cocoa {Jul 19}
CCU18	Cocoa {Sep 18}
CCU19	Cocoa {Sep 19}
CCZ18	Cocoa {Dec 18}
CCZ19	Cocoa {Dec 19}
CT	Cotton #2
CTH19	Cotton #2 {Mar 19}
CTH20	Cotton #2 {Mar 20}
CTH21	Cotton #2 {Mar 21}
CTK19	Cotton #2 {May 19}
CTK20	Cotton #2 {May 20}
CTK21	Cotton #2 {May 21}
CTN18	Cotton #2 {Jul 18}
CTN19	Cotton #2 {Jul 19}
CTN20	Cotton #2 {Jul 20}
CTV18	Cotton #2 {Oct 18}
CTV19	Cotton #2 {Oct 19}
CTV20	Cotton #2 {Oct 20}
CTZ18	Cotton #2 {Dec 18}
CTZ19	Cotton #2 {Dec 19}
CTZ20	Cotton #2 {Dec 20}
DEH19	MSCI EMI Index {Mar 19}
DEM19	MSCI EMI Index {Jun 19}
DEU18	MSCI EMI Index {Sep 18}
DEU19	MSCI EMI Index {Sep 19}
DEZ18	MSCI EMI Index {Dec 18}
DIH19	MSCI EAFE Index {Mar 19}
DIM19	MSCI EAFE Index {Jun 19}
DIU18	MSCI EAFE Index {Sep 18}
DIU19	MSCI EAFE Index {Sep 19}
DIZ18	MSCI EAFE Index {Dec 18}
DQH19	MSCI USA Index {Mar 19}
DQM19	MSCI USA Index {Jun 19}
DQU18	MSCI USA Index {Sep 18}
DQU19	MSCI USA Index {Sep 19}
DQZ18	MSCI USA Index {Dec 18}
DX	U.S. Dollar Index
DXH19	U.S. Dollar Index {Mar 19}
DXM19	U.S. Dollar Index {Jun 19}
DXU18	U.S. Dollar Index {Sep 18}
DXZ18	U.S. Dollar Index {Dec 18}
EHH19	MSCI Europe Index {Mar 19}
EHM19	MSCI Europe Index {Jun 19}
EHU18	MSCI Europe Index {Sep 18}
EHU19	MSCI Europe Index {Sep 19}
EHZ18	MSCI Europe Index {Dec 18}
EJ	Euro/Yen
EJH19	Euro/Yen {Mar 19}
EJM19	Euro/Yen {Jun 19}
EJU18	Euro/Yen {Sep 18}
EJZ18	Euro/Yen {Dec 18}
EK	Krone/Krona
EKH19	Krone/Krona {Mar 19}
EKM19	Krone/Krona {Jun 19}
EKU18	Krone/Krona {Sep 18}
EKZ18	Krone/Krona {Dec 18}
ELH19	MSCI Europe Growth {Mar 19}
ELM19	MSCI Europe Growth {Jun 19}
ELU18	MSCI Europe Growth {Sep 18}
ELU19	MSCI Europe Growth {Sep 19}
ELZ18	MSCI Europe Growth {Dec 18}
ENH19	MSCI Europe Value {Mar 19}
ENM19	MSCI Europe Value {Jun 19}
ENU18	MSCI Europe Value {Sep 18}
ENU19	MSCI Europe Value {Sep 19}
ENZ18	MSCI Europe Value {Dec 18}
EP	Euro/Canadian
EPH19	Euro/Canadian {Mar 19}
EPM19	Euro/Canadian {Jun 19}
EPU18	Euro/Canadian {Sep 18}
EPZ18	Euro/Canadian {Dec 18}
EQ	Euro/Australian
EQH19	Euro/Australian {Mar 19}
EQM19	Euro/Australian {Jun 19}
EQU18	Euro/Australian {Sep 18}
EQZ18	Euro/Australian {Dec 18}
EU	Euro Futures
EUH19	Euro Futures {Mar 19}
EUM19	Euro Futures {Jun 19}
EUU18	Euro Futures {Sep 18}
EUZ18	Euro Futures {Dec 18}
FGH19	FANG Index {Mar 19}
FGM19	FANG Index {Jun 19}
FGU18	FANG Index {Sep 18}
FGZ18	FANG Index {Dec 18}
G8H19	ICE Gold Miners {Mar 19}
G8M19	ICE Gold Miners {Jun 19}
G8U18	ICE Gold Miners {Sep 18}
G8U19	ICE Gold Miners {Sep 19}
G8Z18	ICE Gold Miners {Dec 18}
GB	Euro/Pound
GBH19	Euro/Pound {Mar 19}
GBM19	Euro/Pound {Jun 19}
GBU18	Euro/Pound {Sep 18}
