Symbol	Description
BH.C	ULSD NY Harbor (F) Continuation
BHF19	ULSD NY Harbor (F) {Jan 19}
BHF20	ULSD NY Harbor (F) {Jan 20}
BHG19	ULSD NY Harbor (F) {Feb 19}
BHG20	ULSD NY Harbor (F) {Feb 20}
BHH19	ULSD NY Harbor (F) {Mar 19}
BHH20	ULSD NY Harbor (F) {Mar 20}
BHJ19	ULSD NY Harbor (F) {Apr 19}
BHJ20	ULSD NY Harbor (F) {Apr 20}
BHK19	ULSD NY Harbor (F) {May 19}
BHK20	ULSD NY Harbor (F) {May 20}
BHM19	ULSD NY Harbor (F) {Jun 19}
BHM20	ULSD NY Harbor (F) {Jun 20}
BHN19	ULSD NY Harbor (F) {Jul 19}
BHN20	ULSD NY Harbor (F) {Jul 20}
BHQ18	ULSD NY Harbor (F) {Aug 18}
BHQ19	ULSD NY Harbor (F) {Aug 19}
BHQ20	ULSD NY Harbor (F) {Aug 20}
BHU18	ULSD NY Harbor (F) {Sep 18}
BHU19	ULSD NY Harbor (F) {Sep 19}
BHU20	ULSD NY Harbor (F) {Sep 20}
BHV18	ULSD NY Harbor (F) {Oct 18}
BHV19	ULSD NY Harbor (F) {Oct 19}
BHV20	ULSD NY Harbor (F) {Oct 20}
BHX18	ULSD NY Harbor (F) {Nov 18}
BHX19	ULSD NY Harbor (F) {Nov 19}
BHX20	ULSD NY Harbor (F) {Nov 20}
BHZ18	ULSD NY Harbor (F) {Dec 18}
BHZ19	ULSD NY Harbor (F) {Dec 19}
BHZ20	ULSD NY Harbor (F) {Dec 20}
CJ.C	CME Cocoa Continuation
CJH19	CME Cocoa {Mar 19}
CJH20	CME Cocoa {Mar 20}
CJK19	CME Cocoa {May 19}
CJK20	CME Cocoa {May 20}
CJN19	CME Cocoa {Jul 19}
CJU18	CME Cocoa {Sep 18}
CJU19	CME Cocoa {Sep 19}
CJZ18	CME Cocoa {Dec 18}
CJZ19	CME Cocoa {Dec 19}
CL	Crude Oil WTI
CL.C	Crude Oil WTI Continuation
CLF19	Crude Oil WTI {Jan 19}
CLF20	Crude Oil WTI {Jan 20}
CLF21	Crude Oil WTI {Jan 21}
CLF22	Crude Oil WTI {Jan 22}
CLF23	Crude Oil WTI {Jan 23}
CLF24	Crude Oil WTI {Jan 24}
CLF25	Crude Oil WTI {Jan 25}
CLF26	Crude Oil WTI {Jan 26}
CLF27	Crude Oil WTI {Jan 27}
CLG19	Crude Oil WTI {Feb 19}
CLG20	Crude Oil WTI {Feb 20}
CLG21	Crude Oil WTI {Feb 21}
CLG22	Crude Oil WTI {Feb 22}
CLG23	Crude Oil WTI {Feb 23}
CLG24	Crude Oil WTI {Feb 24}
CLG25	Crude Oil WTI {Feb 25}
CLG26	Crude Oil WTI {Feb 26}
CLG27	Crude Oil WTI {Feb 27}
CLH19	Crude Oil WTI {Mar 19}
CLH20	Crude Oil WTI {Mar 20}
CLH21	Crude Oil WTI {Mar 21}
CLH22	Crude Oil WTI {Mar 22}
CLH23	Crude Oil WTI {Mar 23}
CLH24	Crude Oil WTI {Mar 24}
CLH25	Crude Oil WTI {Mar 25}
CLH26	Crude Oil WTI {Mar 26}
CLJ19	Crude Oil WTI {Apr 19}
CLJ20	Crude Oil WTI {Apr 20}
CLJ21	Crude Oil WTI {Apr 21}
CLJ22	Crude Oil WTI {Apr 22}
CLJ23	Crude Oil WTI {Apr 23}
CLJ24	Crude Oil WTI {Apr 24}
CLJ25	Crude Oil WTI {Apr 25}
CLJ26	Crude Oil WTI {Apr 26}
CLK19	Crude Oil WTI {May 19}
CLK20	Crude Oil WTI {May 20}
CLK21	Crude Oil WTI {May 21}
CLK22	Crude Oil WTI {May 22}
CLK23	Crude Oil WTI {May 23}
CLK24	Crude Oil WTI {May 24}
CLK25	Crude Oil WTI {May 25}
CLK26	Crude Oil WTI {May 26}
CLM19	Crude Oil WTI {Jun 19}
CLM20	Crude Oil WTI {Jun 20}
CLM21	Crude Oil WTI {Jun 21}
CLM22	Crude Oil WTI {Jun 22}
CLM23	Crude Oil WTI {Jun 23}
CLM24	Crude Oil WTI {Jun 24}
CLM25	Crude Oil WTI {Jun 25}
CLM26	Crude Oil WTI {Jun 26}
CLN19	Crude Oil WTI {Jul 19}
CLN20	Crude Oil WTI {Jul 20}
CLN21	Crude Oil WTI {Jul 21}
CLN22	Crude Oil WTI {Jul 22}
CLN23	Crude Oil WTI {Jul 23}
CLN24	Crude Oil WTI {Jul 24}
CLN25	Crude Oil WTI {Jul 25}
CLN26	Crude Oil WTI {Jul 26}
CLQ18	Crude Oil WTI {Aug 18}
CLQ19	Crude Oil WTI {Aug 19}
CLQ20	Crude Oil WTI {Aug 20}
CLQ21	Crude Oil WTI {Aug 21}
CLQ22	Crude Oil WTI {Aug 22}
CLQ23	Crude Oil WTI {Aug 23}
CLQ24	Crude Oil WTI {Aug 24}
CLQ25	Crude Oil WTI {Aug 25}
CLQ26	Crude Oil WTI {Aug 26}
CLU18	Crude Oil WTI {Sep 18}
CLU19	Crude Oil WTI {Sep 19}
CLU20	Crude Oil WTI {Sep 20}
CLU21	Crude Oil WTI {Sep 21}
CLU22	Crude Oil WTI {Sep 22}
CLU23	Crude Oil WTI {Sep 23}
CLU24	Crude Oil WTI {Sep 24}
CLU25	Crude Oil WTI {Sep 25}
CLU26	Crude Oil WTI {Sep 26}
CLV18	Crude Oil WTI {Oct 18}
CLV19	Crude Oil WTI {Oct 19}
CLV20	Crude Oil WTI {Oct 20}
CLV21	Crude Oil WTI {Oct 21}
