Linear Interpolation Prediction for ABB from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 22, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 23, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 24, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 25, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 26, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 27, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 28, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 29, Interpolated Closest Days: 2, distance 1.383746
Analysed days: 29, Interpolated Closest Days: 12, distance 1.637937
Analysed days: 29, Interpolated Closest Days: 13, distance 1.680498
Analysed days: 29, Interpolated Closest Days: 5, distance 1.708844
Analysed days: 25, Interpolated Closest Days: 11, distance 1.709669
Analysed days: 26, Interpolated Closest Days: 11, distance 1.709669
Analysed days: 27, Interpolated Closest Days: 11, distance 1.709669
Analysed days: 28, Interpolated Closest Days: 11, distance 1.709669
Analysed days: 24, Interpolated Closest Days: 10, distance 1.740144
Analysed days: 25, Interpolated Closest Days: 12, distance 1.751119
Analysed days: 26, Interpolated Closest Days: 12, distance 1.751119
Analysed days: 27, Interpolated Closest Days: 12, distance 1.751119
Analysed days: 28, Interpolated Closest Days: 12, distance 1.751119
Analysed days: 24, Interpolated Closest Days: 11, distance 1.783144
Analysed days: 29, Interpolated Closest Days: 11, distance 1.796241
Analysed days: 29, Interpolated Closest Days: 8, distance 1.820741
Analysed days: 29, Interpolated Closest Days: 10, distance 1.834145
Analysed days: 29, Interpolated Closest Days: 4, distance 1.841992
Analysed days: 29, Interpolated Closest Days: 9, distance 1.855433
Analysed days: 29, Interpolated Closest Days: 17, distance 1.873646
Analysed days: 25, Interpolated Closest Days: 10, distance 1.890835
Analysed days: 26, Interpolated Closest Days: 10, distance 1.890835
Analysed days: 27, Interpolated Closest Days: 10, distance 1.890835
Analysed days: 28, Interpolated Closest Days: 10, distance 1.890835
Analysed days: 29, Interpolated Closest Days: 15, distance 1.898150
Analysed days: 29, Interpolated Closest Days: 16, distance 1.903540
Analysed days: 22, Interpolated Closest Days: 4, distance 1.903844
Analysed days: 23, Interpolated Closest Days: 4, distance 1.903844
Analysed days: 24, Interpolated Closest Days: 4, distance 1.903844
Analysed days: 25, Interpolated Closest Days: 4, distance 1.903844
Analysed days: 26, Interpolated Closest Days: 4, distance 1.903844
Analysed days: 27, Interpolated Closest Days: 4, distance 1.903844
Analysed days: 28, Interpolated Closest Days: 4, distance 1.903844
Analysed days: 29, Interpolated Closest Days: 14, distance 1.936129
Analysed days: 22, Interpolated Closest Days: 9, distance 1.942764
Analysed days: 23, Interpolated Closest Days: 9, distance 1.942764
Analysed days: 24, Interpolated Closest Days: 9, distance 1.942764
Analysed days: 25, Interpolated Closest Days: 9, distance 1.942764
Analysed days: 26, Interpolated Closest Days: 9, distance 1.942764
Analysed days: 27, Interpolated Closest Days: 9, distance 1.942764
Analysed days: 28, Interpolated Closest Days: 9, distance 1.942764
Analysed days: 29, Interpolated Closest Days: 6, distance 1.943086
Analysed days: 25, Interpolated Closest Days: 16, distance 1.943088
Analysed days: 26, Interpolated Closest Days: 16, distance 1.943088
Analysed days: 27, Interpolated Closest Days: 16, distance 1.943088
Analysed days: 28, Interpolated Closest Days: 16, distance 1.943088
Analysed days: 22, Interpolated Closest Days: 7, distance 1.955118
Analysed days: 23, Interpolated Closest Days: 7, distance 1.955118
Analysed days: 24, Interpolated Closest Days: 7, distance 1.955118
Analysed days: 25, Interpolated Closest Days: 7, distance 1.955118
Analysed days: 26, Interpolated Closest Days: 7, distance 1.955118
Analysed days: 27, Interpolated Closest Days: 7, distance 1.955118
Analysed days: 28, Interpolated Closest Days: 7, distance 1.955118
Analysed days: 22, Interpolated Closest Days: 10, distance 1.972973
Analysed days: 23, Interpolated Closest Days: 10, distance 1.972973
Analysed days: 25, Interpolated Closest Days: 14, distance 1.977860
Analysed days: 26, Interpolated Closest Days: 14, distance 1.977860
Analysed days: 27, Interpolated Closest Days: 14, distance 1.977860
Analysed days: 28, Interpolated Closest Days: 14, distance 1.977860
Analysed days: 25, Interpolated Closest Days: 15, distance 1.979032
Analysed days: 26, Interpolated Closest Days: 15, distance 1.979032
Analysed days: 27, Interpolated Closest Days: 15, distance 1.979032
Analysed days: 28, Interpolated Closest Days: 15, distance 1.979032
Analysed days: 22, Interpolated Closest Days: 8, distance 1.979662
Analysed days: 23, Interpolated Closest Days: 8, distance 1.979662
Analysed days: 24, Interpolated Closest Days: 8, distance 1.979662
Analysed days: 25, Interpolated Closest Days: 8, distance 1.979662
Analysed days: 26, Interpolated Closest Days: 8, distance 1.979662
Analysed days: 27, Interpolated Closest Days: 8, distance 1.979662
Analysed days: 28, Interpolated Closest Days: 8, distance 1.979662
Analysed days: 24, Interpolated Closest Days: 15, distance 1.980932
Analysed days: 29, Interpolated Closest Days: 18, distance 1.981411
Analysed days: 29, Interpolated Closest Days: 19, distance 1.981411
Analysed days: 29, Interpolated Closest Days: 20, distance 1.981411
Analysed days: 29, Interpolated Closest Days: 21, distance 1.981411
Analysed days: 29, Interpolated Closest Days: 22, distance 1.981411
