Linear Interpolation Prediction for ACB.TO from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 29, Interpolated Closest Days: 11, distance 1.656817
Analysed days: 29, Interpolated Closest Days: 12, distance 1.764302
Analysed days: 29, Interpolated Closest Days: 13, distance 1.825529
Analysed days: 29, Interpolated Closest Days: 10, distance 1.836295
Analysed days: 29, Interpolated Closest Days: 14, distance 1.967138
Analysed days: 29, Interpolated Closest Days: 17, distance 2.037926
Analysed days: 8, Interpolated Closest Days: 5, distance 2.050131
Analysed days: 8, Interpolated Closest Days: 6, distance 2.050131
Analysed days: 8, Interpolated Closest Days: 7, distance 2.050131
Analysed days: 29, Interpolated Closest Days: 18, distance 2.106305
Analysed days: 29, Interpolated Closest Days: 19, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 20, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 21, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 22, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 23, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 24, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 25, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 26, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 27, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 28, distance 2.116821
Analysed days: 29, Interpolated Closest Days: 16, distance 2.209864
Analysed days: 5, Interpolated Closest Days: 4, distance 2.248988
Analysed days: 6, Interpolated Closest Days: 4, distance 2.248988
Analysed days: 6, Interpolated Closest Days: 5, distance 2.248988
Analysed days: 7, Interpolated Closest Days: 4, distance 2.248988
Analysed days: 7, Interpolated Closest Days: 5, distance 2.248988
Analysed days: 7, Interpolated Closest Days: 6, distance 2.248988
Analysed days: 22, Interpolated Closest Days: 13, distance 2.273160
Analysed days: 19, Interpolated Closest Days: 12, distance 2.275360
Analysed days: 20, Interpolated Closest Days: 12, distance 2.275360
Analysed days: 21, Interpolated Closest Days: 12, distance 2.275360
Analysed days: 19, Interpolated Closest Days: 13, distance 2.333018
Analysed days: 20, Interpolated Closest Days: 13, distance 2.333018
Analysed days: 21, Interpolated Closest Days: 13, distance 2.333018
Analysed days: 19, Interpolated Closest Days: 14, distance 2.333808
Analysed days: 19, Interpolated Closest Days: 15, distance 2.333808
Analysed days: 19, Interpolated Closest Days: 16, distance 2.333808
Analysed days: 19, Interpolated Closest Days: 17, distance 2.333808
Analysed days: 19, Interpolated Closest Days: 18, distance 2.333808
Analysed days: 20, Interpolated Closest Days: 14, distance 2.333808
Analysed days: 20, Interpolated Closest Days: 15, distance 2.333808
Analysed days: 20, Interpolated Closest Days: 16, distance 2.333808
Analysed days: 20, Interpolated Closest Days: 17, distance 2.333808
Analysed days: 20, Interpolated Closest Days: 18, distance 2.333808
Analysed days: 20, Interpolated Closest Days: 19, distance 2.333808
Analysed days: 21, Interpolated Closest Days: 14, distance 2.333808
Analysed days: 21, Interpolated Closest Days: 15, distance 2.333808
Analysed days: 21, Interpolated Closest Days: 16, distance 2.333808
Analysed days: 21, Interpolated Closest Days: 17, distance 2.333808
Analysed days: 21, Interpolated Closest Days: 18, distance 2.333808
Analysed days: 21, Interpolated Closest Days: 19, distance 2.333808
Analysed days: 21, Interpolated Closest Days: 20, distance 2.333808
Analysed days: 18, Interpolated Closest Days: 11, distance 2.334678
Analysed days: 29, Interpolated Closest Days: 15, distance 2.376970
Analysed days: 18, Interpolated Closest Days: 13, distance 2.395854
Analysed days: 18, Interpolated Closest Days: 14, distance 2.395854
Analysed days: 18, Interpolated Closest Days: 15, distance 2.395854
Analysed days: 18, Interpolated Closest Days: 16, distance 2.395854
Analysed days: 18, Interpolated Closest Days: 17, distance 2.395854
Analysed days: 4, Interpolated Closest Days: 2, distance 2.396413
Analysed days: 18, Interpolated Closest Days: 12, distance 2.398095
Analysed days: 11, Interpolated Closest Days: 8, distance 2.401043
Analysed days: 11, Interpolated Closest Days: 9, distance 2.401043
Analysed days: 11, Interpolated Closest Days: 10, distance 2.401043
Analysed days: 12, Interpolated Closest Days: 8, distance 2.401043
Analysed days: 13, Interpolated Closest Days: 8, distance 2.401043
Analysed days: 14, Interpolated Closest Days: 8, distance 2.401043
Analysed days: 15, Interpolated Closest Days: 8, distance 2.401043
Analysed days: 22, Interpolated Closest Days: 15, distance 2.402294
Analysed days: 22, Interpolated Closest Days: 16, distance 2.402294
Analysed days: 22, Interpolated Closest Days: 17, distance 2.402294
Analysed days: 22, Interpolated Closest Days: 18, distance 2.402294
Analysed days: 22, Interpolated Closest Days: 19, distance 2.402294
Analysed days: 22, Interpolated Closest Days: 20, distance 2.402294
Analysed days: 22, Interpolated Closest Days: 21, distance 2.402294
Analysed days: 8, Interpolated Closest Days: 4, distance 2.407232
Analysed days: 22, Interpolated Closest Days: 14, distance 2.409107
Analysed days: 12, Interpolated Closest Days: 9, distance 2.414926
Analysed days: 12, Interpolated Closest Days: 10, distance 2.414926
Analysed days: 12, Interpolated Closest Days: 11, distance 2.414926
Analysed days: 13, Interpolated Closest Days: 9, distance 2.414926
Analysed days: 13, Interpolated Closest Days: 10, distance 2.414926
Analysed days: 13, Interpolated Closest Days: 11, distance 2.414926
Analysed days: 13, Interpolated Closest Days: 12, distance 2.414926
Analysed days: 14, Interpolated Closest Days: 9, distance 2.414926
Analysed days: 14, Interpolated Closest Days: 10, distance 2.414926
Analysed days: 14, Interpolated Closest Days: 11, distance 2.414926
Analysed days: 14, Interpolated Closest Days: 12, distance 2.414926
Analysed days: 14, Interpolated Closest Days: 13, distance 2.414926
Analysed days: 5, Interpolated Closest Days: 3, distance 2.493776
Analysed days: 6, Interpolated Closest Days: 3, distance 2.493776
Analysed days: 7, Interpolated Closest Days: 3, distance 2.493776
Analysed days: 19, Interpolated Closest Days: 11, distance 2.537796
Analysed days: 20, Interpolated Closest Days: 11, distance 2.537796
Analysed days: 21, Interpolated Closest Days: 11, distance 2.537796
Analysed days: 22, Interpolated Closest Days: 12, distance 2.567053
Analysed days: 16, Interpolated Closest Days: 9, distance 2.588299
Analysed days: 17, Interpolated Closest Days: 10, distance 2.613911
Analysed days: 18, Interpolated Closest Days: 10, distance 2.635751
Analysed days: 18, Interpolated Closest Days: 3, distance 2.637278
Analysed days: 19, Interpolated Closest Days: 3, distance 2.637278
Analysed days: 20, Interpolated Closest Days: 3, distance 2.637278
Analysed days: 21, Interpolated Closest Days: 3, distance 2.637278
Analysed days: 22, Interpolated Closest Days: 3, distance 2.637278
Analysed days: 23, Interpolated Closest Days: 3, distance 2.637278
Analysed days: 24, Interpolated Closest Days: 9, distance 2.704364
Analysed days: 25, Interpolated Closest Days: 9, distance 2.704364
Analysed days: 26, Interpolated Closest Days: 9, distance 2.704364
Analysed days: 27, Interpolated Closest Days: 9, distance 2.704364
Analysed days: 28, Interpolated Closest Days: 9, distance 2.704364
Analysed days: 29, Interpolated Closest Days: 9, distance 2.704364
Analysed days: 19, Interpolated Closest Days: 8, distance 2.710029
Analysed days: 20, Interpolated Closest Days: 8, distance 2.710029
Analysed days: 21, Interpolated Closest Days: 8, distance 2.710029
Analysed days: 22, Interpolated Closest Days: 8, distance 2.710029
Analysed days: 23, Interpolated Closest Days: 8, distance 2.710029
Analysed days: 15, Interpolated Closest Days: 10, distance 2.713388
Analysed days: 15, Interpolated Closest Days: 11, distance 2.713388
Analysed days: 15, Interpolated Closest Days: 12, distance 2.713388
Analysed days: 15, Interpolated Closest Days: 13, distance 2.713388
Analysed days: 15, Interpolated Closest Days: 14, distance 2.713388
Analysed days: 19, Interpolated Closest Days: 9, distance 2.713580
Analysed days: 20, Interpolated Closest Days: 9, distance 2.713580
Analysed days: 21, Interpolated Closest Days: 9, distance 2.713580
Analysed days: 24, Interpolated Closest Days: 11, distance 2.740744
Analysed days: 24, Interpolated Closest Days: 10, distance 2.744779
Analysed days: 25, Interpolated Closest Days: 10, distance 2.744779
Analysed days: 26, Interpolated Closest Days: 10, distance 2.744779
Analysed days: 27, Interpolated Closest Days: 10, distance 2.744779
Analysed days: 28, Interpolated Closest Days: 10, distance 2.744779
Analysed days: 22, Interpolated Closest Days: 10, distance 2.757546
Analysed days: 23, Interpolated Closest Days: 10, distance 2.757546
Analysed days: 15, Interpolated Closest Days: 9, distance 2.762651
Analysed days: 22, Interpolated Closest Days: 9, distance 2.763309
Analysed days: 23, Interpolated Closest Days: 9, distance 2.763309
Analysed days: 24, Interpolated Closest Days: 4, distance 2.763327
Analysed days: 25, Interpolated Closest Days: 4, distance 2.763327
Analysed days: 26, Interpolated Closest Days: 4, distance 2.763327
Analysed days: 27, Interpolated Closest Days: 4, distance 2.763327
Analysed days: 28, Interpolated Closest Days: 4, distance 2.763327
Analysed days: 29, Interpolated Closest Days: 4, distance 2.763327
Analysed days: 24, Interpolated Closest Days: 15, distance 2.764281
Analysed days: 19, Interpolated Closest Days: 10, distance 2.809202
