Linear Interpolation Prediction for ADDYY from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 2, Interpolated Closest Days: 1, distance 7.094016
Analysed days: 16, Interpolated Closest Days: 5, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 6, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 7, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 8, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 9, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 10, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 11, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 12, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 13, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 14, distance 12.956045
Analysed days: 16, Interpolated Closest Days: 15, distance 12.956045
Analysed days: 22, Interpolated Closest Days: 7, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 8, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 9, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 10, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 11, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 12, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 13, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 14, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 15, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 16, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 17, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 18, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 19, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 20, distance 13.040949
Analysed days: 22, Interpolated Closest Days: 21, distance 13.040949
Analysed days: 4, Interpolated Closest Days: 3, distance 13.340994
Analysed days: 5, Interpolated Closest Days: 3, distance 13.340994
Analysed days: 5, Interpolated Closest Days: 4, distance 13.340994
Analysed days: 6, Interpolated Closest Days: 3, distance 13.340994
Analysed days: 6, Interpolated Closest Days: 4, distance 13.340994
Analysed days: 6, Interpolated Closest Days: 5, distance 13.340994
Analysed days: 7, Interpolated Closest Days: 3, distance 13.340994
Analysed days: 7, Interpolated Closest Days: 4, distance 13.340994
Analysed days: 7, Interpolated Closest Days: 5, distance 13.340994
Analysed days: 7, Interpolated Closest Days: 6, distance 13.340994
Analysed days: 8, Interpolated Closest Days: 3, distance 13.340994
Analysed days: 8, Interpolated Closest Days: 4, distance 13.340994
Analysed days: 8, Interpolated Closest Days: 5, distance 13.340994
Analysed days: 8, Interpolated Closest Days: 6, distance 13.340994
Analysed days: 8, Interpolated Closest Days: 7, distance 13.340994
Analysed days: 9, Interpolated Closest Days: 3, distance 13.340994
Analysed days: 9, Interpolated Closest Days: 4, distance 13.340994
Analysed days: 9, Interpolated Closest Days: 5, distance 13.340994
Analysed days: 9, Interpolated Closest Days: 6, distance 13.340994
Analysed days: 9, Interpolated Closest Days: 7, distance 13.340994
Analysed days: 9, Interpolated Closest Days: 8, distance 13.340994
Analysed days: 10, Interpolated Closest Days: 3, distance 13.340994
Analysed days: 10, Interpolated Closest Days: 4, distance 13.340994
Analysed days: 10, Interpolated Closest Days: 5, distance 13.340994
Analysed days: 10, Interpolated Closest Days: 6, distance 13.340994
Analysed days: 10, Interpolated Closest Days: 7, distance 13.340994
Analysed days: 10, Interpolated Closest Days: 8, distance 13.340994
Analysed days: 10, Interpolated Closest Days: 9, distance 13.340994
Analysed days: 24, Interpolated Closest Days: 9, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 10, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 11, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 12, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 13, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 14, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 15, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 16, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 17, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 18, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 19, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 20, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 21, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 22, distance 13.621915
Analysed days: 24, Interpolated Closest Days: 23, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 9, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 10, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 11, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 12, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 13, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 14, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 15, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 16, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 17, distance 13.621915
Analysed days: 25, Interpolated Closest Days: 18, distance 13.621915
