Linear Interpolation Prediction for ADSK from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 11, Interpolated Closest Days: 7, distance 5.142884
Analysed days: 11, Interpolated Closest Days: 8, distance 5.142884
Analysed days: 11, Interpolated Closest Days: 9, distance 5.142884
Analysed days: 11, Interpolated Closest Days: 10, distance 5.142884
Analysed days: 12, Interpolated Closest Days: 7, distance 5.142884
Analysed days: 12, Interpolated Closest Days: 8, distance 5.142884
Analysed days: 12, Interpolated Closest Days: 9, distance 5.142884
Analysed days: 12, Interpolated Closest Days: 10, distance 5.142884
Analysed days: 12, Interpolated Closest Days: 11, distance 5.142884
Analysed days: 13, Interpolated Closest Days: 7, distance 5.142884
Analysed days: 13, Interpolated Closest Days: 8, distance 5.142884
Analysed days: 13, Interpolated Closest Days: 9, distance 5.142884
Analysed days: 13, Interpolated Closest Days: 10, distance 5.142884
Analysed days: 13, Interpolated Closest Days: 11, distance 5.142884
Analysed days: 13, Interpolated Closest Days: 12, distance 5.142884
Analysed days: 14, Interpolated Closest Days: 7, distance 5.142884
Analysed days: 14, Interpolated Closest Days: 8, distance 5.142884
Analysed days: 14, Interpolated Closest Days: 9, distance 5.142884
Analysed days: 14, Interpolated Closest Days: 10, distance 5.142884
Analysed days: 14, Interpolated Closest Days: 11, distance 5.142884
Analysed days: 14, Interpolated Closest Days: 12, distance 5.142884
Analysed days: 14, Interpolated Closest Days: 13, distance 5.142884
Analysed days: 11, Interpolated Closest Days: 6, distance 5.187801
Analysed days: 12, Interpolated Closest Days: 6, distance 5.187801
Analysed days: 13, Interpolated Closest Days: 6, distance 5.187801
Analysed days: 14, Interpolated Closest Days: 6, distance 5.187801
Analysed days: 5, Interpolated Closest Days: 4, distance 5.668535
Analysed days: 6, Interpolated Closest Days: 4, distance 5.668535
Analysed days: 6, Interpolated Closest Days: 5, distance 5.668535
Analysed days: 7, Interpolated Closest Days: 4, distance 5.668535
Analysed days: 7, Interpolated Closest Days: 5, distance 5.668535
Analysed days: 7, Interpolated Closest Days: 6, distance 5.668535
Analysed days: 4, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 5, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 6, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 7, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 8, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 9, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 10, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 11, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 12, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 13, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 14, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 15, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 16, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 17, Interpolated Closest Days: 3, distance 5.911324
Analysed days: 15, Interpolated Closest Days: 8, distance 6.444267
Analysed days: 15, Interpolated Closest Days: 9, distance 6.444267
Analysed days: 15, Interpolated Closest Days: 10, distance 6.444267
Analysed days: 15, Interpolated Closest Days: 11, distance 6.444267
Analysed days: 15, Interpolated Closest Days: 12, distance 6.444267
Analysed days: 15, Interpolated Closest Days: 13, distance 6.444267
Analysed days: 15, Interpolated Closest Days: 14, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 8, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 9, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 10, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 11, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 12, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 13, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 14, distance 6.444267
Analysed days: 16, Interpolated Closest Days: 15, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 8, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 9, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 10, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 11, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 12, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 13, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 14, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 15, distance 6.444267
Analysed days: 17, Interpolated Closest Days: 16, distance 6.444267
Analysed days: 29, Interpolated Closest Days: 2, distance 6.516413
Analysed days: 15, Interpolated Closest Days: 7, distance 6.599812
Analysed days: 16, Interpolated Closest Days: 7, distance 6.599812
Analysed days: 17, Interpolated Closest Days: 7, distance 6.599812
Analysed days: 22, Interpolated Closest Days: 5, distance 6.760752
Analysed days: 23, Interpolated Closest Days: 5, distance 6.760752
Analysed days: 24, Interpolated Closest Days: 5, distance 6.760752
Analysed days: 18, Interpolated Closest Days: 9, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 10, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 11, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 12, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 13, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 14, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 15, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 16, distance 7.085465
Analysed days: 18, Interpolated Closest Days: 17, distance 7.085465
Analysed days: 9, Interpolated Closest Days: 6, distance 7.239390
Analysed days: 9, Interpolated Closest Days: 7, distance 7.239390
Analysed days: 9, Interpolated Closest Days: 8, distance 7.239390
Analysed days: 10, Interpolated Closest Days: 6, distance 7.239390
Analysed days: 10, Interpolated Closest Days: 7, distance 7.239390
Analysed days: 10, Interpolated Closest Days: 8, distance 7.239390
Analysed days: 10, Interpolated Closest Days: 9, distance 7.239390
Analysed days: 18, Interpolated Closest Days: 8, distance 7.243109
Analysed days: 18, Interpolated Closest Days: 4, distance 7.275164
Analysed days: 19, Interpolated Closest Days: 4, distance 7.275164
Analysed days: 20, Interpolated Closest Days: 4, distance 7.275164
Analysed days: 21, Interpolated Closest Days: 4, distance 7.275164
Analysed days: 22, Interpolated Closest Days: 3, distance 7.292352
Analysed days: 23, Interpolated Closest Days: 3, distance 7.292352
Analysed days: 24, Interpolated Closest Days: 3, distance 7.292352
Analysed days: 9, Interpolated Closest Days: 5, distance 7.474903
Analysed days: 10, Interpolated Closest Days: 5, distance 7.474903
