Linear Interpolation Prediction for ALB from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 23, Interpolated Closest Days: 1, distance 8.404467
Analysed days: 24, Interpolated Closest Days: 1, distance 8.404467
Analysed days: 25, Interpolated Closest Days: 1, distance 8.404467
Analysed days: 26, Interpolated Closest Days: 1, distance 8.404467
Analysed days: 27, Interpolated Closest Days: 1, distance 8.404467
Analysed days: 28, Interpolated Closest Days: 1, distance 8.404467
Analysed days: 4, Interpolated Closest Days: 2, distance 14.916729
Analysed days: 5, Interpolated Closest Days: 2, distance 14.916729
Analysed days: 6, Interpolated Closest Days: 2, distance 14.916729
Analysed days: 7, Interpolated Closest Days: 2, distance 14.916729
Analysed days: 8, Interpolated Closest Days: 2, distance 14.916729
Analysed days: 9, Interpolated Closest Days: 2, distance 14.916729
Analysed days: 23, Interpolated Closest Days: 3, distance 17.432047
Analysed days: 10, Interpolated Closest Days: 3, distance 18.998449
Analysed days: 11, Interpolated Closest Days: 3, distance 18.998449
Analysed days: 12, Interpolated Closest Days: 3, distance 18.998449
Analysed days: 13, Interpolated Closest Days: 3, distance 18.998449
Analysed days: 14, Interpolated Closest Days: 3, distance 18.998449
Analysed days: 24, Interpolated Closest Days: 4, distance 19.239961
Analysed days: 25, Interpolated Closest Days: 4, distance 19.239961
Analysed days: 26, Interpolated Closest Days: 4, distance 19.239961
Analysed days: 27, Interpolated Closest Days: 4, distance 19.239961
Analysed days: 28, Interpolated Closest Days: 4, distance 19.239961
Analysed days: 23, Interpolated Closest Days: 2, distance 20.222644
Analysed days: 24, Interpolated Closest Days: 2, distance 20.222644
Analysed days: 25, Interpolated Closest Days: 2, distance 20.222644
Analysed days: 26, Interpolated Closest Days: 2, distance 20.222644
Analysed days: 27, Interpolated Closest Days: 2, distance 20.222644
Analysed days: 28, Interpolated Closest Days: 2, distance 20.222644
Analysed days: 23, Interpolated Closest Days: 4, distance 20.599320
Analysed days: 23, Interpolated Closest Days: 8, distance 20.605387
Analysed days: 23, Interpolated Closest Days: 5, distance 20.708215
Analysed days: 25, Interpolated Closest Days: 10, distance 20.812465
Analysed days: 26, Interpolated Closest Days: 10, distance 20.812465
Analysed days: 27, Interpolated Closest Days: 10, distance 20.812465
Analysed days: 28, Interpolated Closest Days: 10, distance 20.812465
Analysed days: 29, Interpolated Closest Days: 2, distance 20.958146
Analysed days: 24, Interpolated Closest Days: 9, distance 21.069330
Analysed days: 25, Interpolated Closest Days: 9, distance 21.069330
Analysed days: 26, Interpolated Closest Days: 9, distance 21.069330
Analysed days: 27, Interpolated Closest Days: 9, distance 21.069330
Analysed days: 28, Interpolated Closest Days: 9, distance 21.069330
Analysed days: 24, Interpolated Closest Days: 5, distance 21.364213
Analysed days: 25, Interpolated Closest Days: 5, distance 21.364213
Analysed days: 26, Interpolated Closest Days: 5, distance 21.364213
Analysed days: 27, Interpolated Closest Days: 5, distance 21.364213
Analysed days: 28, Interpolated Closest Days: 5, distance 21.364213
Analysed days: 24, Interpolated Closest Days: 6, distance 21.366370
Analysed days: 25, Interpolated Closest Days: 6, distance 21.366370
Analysed days: 26, Interpolated Closest Days: 6, distance 21.366370
Analysed days: 27, Interpolated Closest Days: 6, distance 21.366370
Analysed days: 28, Interpolated Closest Days: 6, distance 21.366370
Analysed days: 23, Interpolated Closest Days: 6, distance 21.495009
Analysed days: 24, Interpolated Closest Days: 3, distance 21.811523
Analysed days: 25, Interpolated Closest Days: 3, distance 21.811523
Analysed days: 26, Interpolated Closest Days: 3, distance 21.811523
Analysed days: 27, Interpolated Closest Days: 3, distance 21.811523
Analysed days: 28, Interpolated Closest Days: 3, distance 21.811523
Analysed days: 24, Interpolated Closest Days: 7, distance 21.947927
Analysed days: 25, Interpolated Closest Days: 7, distance 21.947927
Analysed days: 26, Interpolated Closest Days: 7, distance 21.947927
Analysed days: 27, Interpolated Closest Days: 7, distance 21.947927
Analysed days: 28, Interpolated Closest Days: 7, distance 21.947927
Analysed days: 3, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 4, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 5, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 6, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 7, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 8, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 9, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 10, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 11, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 12, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 13, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 14, Interpolated Closest Days: 1, distance 22.081715
Analysed days: 15, Interpolated Closest Days: 4, distance 22.193778
Analysed days: 29, Interpolated Closest Days: 11, distance 22.410674
Analysed days: 23, Interpolated Closest Days: 7, distance 22.413646
Analysed days: 25, Interpolated Closest Days: 11, distance 22.657764
Analysed days: 26, Interpolated Closest Days: 11, distance 22.657764
Analysed days: 27, Interpolated Closest Days: 11, distance 22.657764
Analysed days: 28, Interpolated Closest Days: 11, distance 22.657764
Analysed days: 24, Interpolated Closest Days: 8, distance 22.683158
Analysed days: 25, Interpolated Closest Days: 8, distance 22.683158
Analysed days: 26, Interpolated Closest Days: 8, distance 22.683158
Analysed days: 27, Interpolated Closest Days: 8, distance 22.683158
Analysed days: 28, Interpolated Closest Days: 8, distance 22.683158
Analysed days: 29, Interpolated Closest Days: 5, distance 22.769194
Analysed days: 29, Interpolated Closest Days: 10, distance 22.777434
Analysed days: 17, Interpolated Closest Days: 6, distance 22.823362
Analysed days: 23, Interpolated Closest Days: 9, distance 22.892802
Analysed days: 25, Interpolated Closest Days: 12, distance 23.000149
Analysed days: 26, Interpolated Closest Days: 12, distance 23.000149
Analysed days: 27, Interpolated Closest Days: 12, distance 23.000149
Analysed days: 28, Interpolated Closest Days: 12, distance 23.000149
Analysed days: 24, Interpolated Closest Days: 10, distance 23.063738
Analysed days: 18, Interpolated Closest Days: 7, distance 23.254325
Analysed days: 19, Interpolated Closest Days: 7, distance 23.254325
Analysed days: 20, Interpolated Closest Days: 7, distance 23.254325
Analysed days: 21, Interpolated Closest Days: 7, distance 23.254325
Analysed days: 22, Interpolated Closest Days: 7, distance 23.254325
Analysed days: 23, Interpolated Closest Days: 10, distance 23.285101
Analysed days: 24, Interpolated Closest Days: 11, distance 23.406190
Analysed days: 29, Interpolated Closest Days: 7, distance 23.638671
Analysed days: 4, Interpolated Closest Days: 3, distance 23.686767
Analysed days: 5, Interpolated Closest Days: 3, distance 23.686767
Analysed days: 5, Interpolated Closest Days: 4, distance 23.686767
Analysed days: 6, Interpolated Closest Days: 3, distance 23.686767
Analysed days: 6, Interpolated Closest Days: 4, distance 23.686767
Analysed days: 6, Interpolated Closest Days: 5, distance 23.686767
Analysed days: 7, Interpolated Closest Days: 3, distance 23.686767
Analysed days: 7, Interpolated Closest Days: 4, distance 23.686767
Analysed days: 7, Interpolated Closest Days: 5, distance 23.686767
Analysed days: 7, Interpolated Closest Days: 6, distance 23.686767
Analysed days: 8, Interpolated Closest Days: 3, distance 23.686767
Analysed days: 8, Interpolated Closest Days: 4, distance 23.686767
Analysed days: 8, Interpolated Closest Days: 5, distance 23.686767
Analysed days: 8, Interpolated Closest Days: 6, distance 23.686767
Analysed days: 8, Interpolated Closest Days: 7, distance 23.686767
Analysed days: 9, Interpolated Closest Days: 3, distance 23.686767
Analysed days: 29, Interpolated Closest Days: 8, distance 23.889039
Analysed days: 25, Interpolated Closest Days: 13, distance 23.916119
Analysed days: 26, Interpolated Closest Days: 13, distance 23.916119
Analysed days: 27, Interpolated Closest Days: 13, distance 23.916119
Analysed days: 28, Interpolated Closest Days: 13, distance 23.916119
Analysed days: 29, Interpolated Closest Days: 12, distance 23.955350
Analysed days: 29, Interpolated Closest Days: 6, distance 23.981606
Analysed days: 17, Interpolated Closest Days: 2, distance 24.053981
Analysed days: 18, Interpolated Closest Days: 2, distance 24.053981
Analysed days: 19, Interpolated Closest Days: 2, distance 24.053981
Analysed days: 20, Interpolated Closest Days: 2, distance 24.053981
Analysed days: 21, Interpolated Closest Days: 2, distance 24.053981
Analysed days: 22, Interpolated Closest Days: 2, distance 24.053981
Analysed days: 29, Interpolated Closest Days: 13, distance 24.191000
Analysed days: 29, Interpolated Closest Days: 9, distance 24.341009
Analysed days: 23, Interpolated Closest Days: 11, distance 24.360873
Analysed days: 24, Interpolated Closest Days: 12, distance 24.371132
Analysed days: 25, Interpolated Closest Days: 14, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 15, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 16, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 17, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 18, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 19, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 20, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 21, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 22, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 23, distance 24.863239
Analysed days: 25, Interpolated Closest Days: 24, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 14, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 15, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 16, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 17, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 18, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 19, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 20, distance 24.863239
Analysed days: 26, Interpolated Closest Days: 21, distance 24.863239
