Linear Interpolation Prediction for AMZN from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 15, Interpolated Closest Days: 3, distance 61.824870
Analysed days: 16, Interpolated Closest Days: 3, distance 61.824870
Analysed days: 17, Interpolated Closest Days: 3, distance 61.824870
Analysed days: 18, Interpolated Closest Days: 3, distance 61.824870
Analysed days: 19, Interpolated Closest Days: 3, distance 61.824870
Analysed days: 20, Interpolated Closest Days: 3, distance 61.824870
Analysed days: 8, Interpolated Closest Days: 2, distance 63.591649
Analysed days: 9, Interpolated Closest Days: 2, distance 63.591649
Analysed days: 10, Interpolated Closest Days: 2, distance 63.591649
Analysed days: 11, Interpolated Closest Days: 2, distance 63.591649
Analysed days: 12, Interpolated Closest Days: 2, distance 63.591649
Analysed days: 13, Interpolated Closest Days: 2, distance 63.591649
Analysed days: 14, Interpolated Closest Days: 2, distance 63.591649
Analysed days: 15, Interpolated Closest Days: 4, distance 64.021513
Analysed days: 16, Interpolated Closest Days: 4, distance 64.021513
Analysed days: 17, Interpolated Closest Days: 4, distance 64.021513
Analysed days: 18, Interpolated Closest Days: 4, distance 64.021513
Analysed days: 19, Interpolated Closest Days: 4, distance 64.021513
Analysed days: 20, Interpolated Closest Days: 4, distance 64.021513
Analysed days: 14, Interpolated Closest Days: 3, distance 65.844062
Analysed days: 21, Interpolated Closest Days: 4, distance 66.207237
Analysed days: 21, Interpolated Closest Days: 5, distance 67.750734
Analysed days: 4, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 5, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 6, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 7, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 8, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 9, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 10, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 11, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 12, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 13, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 14, Interpolated Closest Days: 1, distance 72.588568
Analysed days: 15, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 16, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 17, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 18, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 19, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 20, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 21, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 22, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 23, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 24, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 25, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 26, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 27, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 28, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 29, Interpolated Closest Days: 2, distance 73.263291
Analysed days: 21, Interpolated Closest Days: 3, distance 75.893588
Analysed days: 17, Interpolated Closest Days: 5, distance 78.130929
Analysed days: 18, Interpolated Closest Days: 5, distance 78.130929
Analysed days: 19, Interpolated Closest Days: 5, distance 78.130929
Analysed days: 20, Interpolated Closest Days: 5, distance 78.130929
Analysed days: 21, Interpolated Closest Days: 6, distance 79.625787
Analysed days: 15, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 16, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 17, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 18, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 19, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 20, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 21, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 22, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 23, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 24, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 25, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 26, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 27, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 28, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 29, Interpolated Closest Days: 1, distance 81.280687
Analysed days: 15, Interpolated Closest Days: 5, distance 83.465877
Analysed days: 16, Interpolated Closest Days: 5, distance 83.465877
Analysed days: 21, Interpolated Closest Days: 7, distance 93.254910
Analysed days: 14, Interpolated Closest Days: 4, distance 93.963262
Analysed days: 17, Interpolated Closest Days: 6, distance 94.232505
Analysed days: 18, Interpolated Closest Days: 6, distance 94.232505
Analysed days: 19, Interpolated Closest Days: 6, distance 94.232505
Analysed days: 20, Interpolated Closest Days: 6, distance 94.232505
Analysed days: 22, Interpolated Closest Days: 6, distance 94.565742
Analysed days: 23, Interpolated Closest Days: 7, distance 94.656673
Analysed days: 24, Interpolated Closest Days: 8, distance 95.526794
Analysed days: 25, Interpolated Closest Days: 8, distance 95.526794
Analysed days: 26, Interpolated Closest Days: 8, distance 95.526794
Analysed days: 27, Interpolated Closest Days: 8, distance 95.526794
Analysed days: 23, Interpolated Closest Days: 6, distance 96.825347
Analysed days: 22, Interpolated Closest Days: 5, distance 97.170279
