Linear Interpolation Prediction for APH.TO from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 22, Interpolated Closest Days: 10, distance 3.203133
Analysed days: 25, Interpolated Closest Days: 18, distance 3.253537
Analysed days: 25, Interpolated Closest Days: 19, distance 3.253537
Analysed days: 25, Interpolated Closest Days: 20, distance 3.253537
Analysed days: 25, Interpolated Closest Days: 21, distance 3.253537
Analysed days: 25, Interpolated Closest Days: 22, distance 3.253537
Analysed days: 25, Interpolated Closest Days: 23, distance 3.253537
Analysed days: 25, Interpolated Closest Days: 24, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 18, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 19, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 20, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 21, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 22, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 23, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 24, distance 3.253537
Analysed days: 26, Interpolated Closest Days: 25, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 18, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 19, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 20, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 21, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 22, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 23, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 24, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 25, distance 3.253537
Analysed days: 27, Interpolated Closest Days: 26, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 18, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 19, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 20, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 21, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 22, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 23, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 24, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 25, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 26, distance 3.253537
Analysed days: 28, Interpolated Closest Days: 27, distance 3.253537
Analysed days: 22, Interpolated Closest Days: 11, distance 3.315952
Analysed days: 15, Interpolated Closest Days: 10, distance 3.348762
Analysed days: 15, Interpolated Closest Days: 11, distance 3.348762
Analysed days: 15, Interpolated Closest Days: 12, distance 3.348762
Analysed days: 15, Interpolated Closest Days: 13, distance 3.348762
Analysed days: 15, Interpolated Closest Days: 14, distance 3.348762
Analysed days: 16, Interpolated Closest Days: 11, distance 3.370547
Analysed days: 16, Interpolated Closest Days: 12, distance 3.370547
Analysed days: 16, Interpolated Closest Days: 13, distance 3.370547
Analysed days: 16, Interpolated Closest Days: 14, distance 3.370547
Analysed days: 16, Interpolated Closest Days: 15, distance 3.370547
Analysed days: 22, Interpolated Closest Days: 15, distance 3.389850
Analysed days: 22, Interpolated Closest Days: 16, distance 3.389850
Analysed days: 22, Interpolated Closest Days: 17, distance 3.389850
Analysed days: 22, Interpolated Closest Days: 18, distance 3.389850
Analysed days: 22, Interpolated Closest Days: 19, distance 3.389850
Analysed days: 22, Interpolated Closest Days: 20, distance 3.389850
Analysed days: 22, Interpolated Closest Days: 21, distance 3.389850
Analysed days: 25, Interpolated Closest Days: 17, distance 3.424745
Analysed days: 26, Interpolated Closest Days: 17, distance 3.424745
Analysed days: 27, Interpolated Closest Days: 17, distance 3.424745
Analysed days: 28, Interpolated Closest Days: 17, distance 3.424745
Analysed days: 25, Interpolated Closest Days: 15, distance 3.431263
Analysed days: 26, Interpolated Closest Days: 15, distance 3.431263
