Linear Interpolation Prediction for APHQF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 19, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 20, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 21, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 22, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 23, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 24, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 25, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 26, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 27, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 28, Interpolated Closest Days: 4, distance 2.114776
Analysed days: 24, Interpolated Closest Days: 8, distance 2.163738
Analysed days: 25, Interpolated Closest Days: 8, distance 2.163738
Analysed days: 26, Interpolated Closest Days: 8, distance 2.163738
Analysed days: 27, Interpolated Closest Days: 8, distance 2.163738
Analysed days: 28, Interpolated Closest Days: 8, distance 2.163738
Analysed days: 19, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 20, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 21, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 22, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 23, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 24, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 25, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 26, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 27, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 28, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 29, Interpolated Closest Days: 3, distance 2.172614
Analysed days: 19, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 20, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 21, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 22, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 23, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 24, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 25, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 26, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 27, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 28, Interpolated Closest Days: 5, distance 2.216031
Analysed days: 19, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 20, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 21, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 22, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 23, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 24, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 25, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 26, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 27, Interpolated Closest Days: 7, distance 2.330110
Analysed days: 28, Interpolated Closest Days: 7, distance 2.330110
