Linear Interpolation Prediction for BA from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 16, Interpolated Closest Days: 8, distance 9.121638
Analysed days: 16, Interpolated Closest Days: 10, distance 9.286341
Analysed days: 16, Interpolated Closest Days: 11, distance 9.286341
Analysed days: 16, Interpolated Closest Days: 12, distance 9.286341
Analysed days: 16, Interpolated Closest Days: 13, distance 9.286341
Analysed days: 16, Interpolated Closest Days: 14, distance 9.286341
Analysed days: 16, Interpolated Closest Days: 15, distance 9.286341
Analysed days: 17, Interpolated Closest Days: 8, distance 9.310870
Analysed days: 17, Interpolated Closest Days: 11, distance 9.947698
Analysed days: 17, Interpolated Closest Days: 12, distance 9.947698
Analysed days: 17, Interpolated Closest Days: 13, distance 9.947698
Analysed days: 17, Interpolated Closest Days: 14, distance 9.947698
Analysed days: 17, Interpolated Closest Days: 15, distance 9.947698
Analysed days: 17, Interpolated Closest Days: 16, distance 9.947698
Analysed days: 17, Interpolated Closest Days: 7, distance 9.980885
Analysed days: 10, Interpolated Closest Days: 7, distance 10.715596
Analysed days: 10, Interpolated Closest Days: 8, distance 10.715596
Analysed days: 10, Interpolated Closest Days: 9, distance 10.715596
Analysed days: 11, Interpolated Closest Days: 7, distance 10.715596
Analysed days: 12, Interpolated Closest Days: 7, distance 10.715596
Analysed days: 13, Interpolated Closest Days: 7, distance 10.715596
Analysed days: 14, Interpolated Closest Days: 7, distance 10.715596
Analysed days: 15, Interpolated Closest Days: 8, distance 10.732604
Analysed days: 15, Interpolated Closest Days: 7, distance 11.287536
Analysed days: 17, Interpolated Closest Days: 9, distance 11.287697
Analysed days: 15, Interpolated Closest Days: 9, distance 11.406804
Analysed days: 15, Interpolated Closest Days: 10, distance 11.406804
Analysed days: 15, Interpolated Closest Days: 11, distance 11.406804
Analysed days: 15, Interpolated Closest Days: 12, distance 11.406804
Analysed days: 15, Interpolated Closest Days: 13, distance 11.406804
Analysed days: 15, Interpolated Closest Days: 14, distance 11.406804
Analysed days: 16, Interpolated Closest Days: 4, distance 11.423844
Analysed days: 16, Interpolated Closest Days: 5, distance 11.474265
Analysed days: 8, Interpolated Closest Days: 5, distance 11.484973
Analysed days: 8, Interpolated Closest Days: 6, distance 11.484973
Analysed days: 8, Interpolated Closest Days: 7, distance 11.484973
Analysed days: 16, Interpolated Closest Days: 7, distance 11.686712
Analysed days: 17, Interpolated Closest Days: 6, distance 11.861488
Analysed days: 19, Interpolated Closest Days: 2, distance 11.881352
Analysed days: 20, Interpolated Closest Days: 2, distance 11.881352
Analysed days: 21, Interpolated Closest Days: 2, distance 11.881352
Analysed days: 16, Interpolated Closest Days: 9, distance 12.014732
Analysed days: 3, Interpolated Closest Days: 2, distance 12.067165
Analysed days: 4, Interpolated Closest Days: 3, distance 12.957258
Analysed days: 25, Interpolated Closest Days: 1, distance 12.973586
Analysed days: 26, Interpolated Closest Days: 1, distance 12.973586
Analysed days: 27, Interpolated Closest Days: 1, distance 12.973586
Analysed days: 28, Interpolated Closest Days: 1, distance 12.973586
Analysed days: 29, Interpolated Closest Days: 1, distance 12.973586
Analysed days: 5, Interpolated Closest Days: 4, distance 13.288749
Analysed days: 6, Interpolated Closest Days: 4, distance 13.288749
Analysed days: 6, Interpolated Closest Days: 5, distance 13.288749
Analysed days: 7, Interpolated Closest Days: 4, distance 13.288749
Analysed days: 7, Interpolated Closest Days: 5, distance 13.288749
Analysed days: 7, Interpolated Closest Days: 6, distance 13.288749
Analysed days: 18, Interpolated Closest Days: 8, distance 13.307893
Analysed days: 18, Interpolated Closest Days: 12, distance 13.710839
Analysed days: 18, Interpolated Closest Days: 13, distance 13.710839
Analysed days: 18, Interpolated Closest Days: 14, distance 13.710839
Analysed days: 18, Interpolated Closest Days: 15, distance 13.710839
Analysed days: 18, Interpolated Closest Days: 16, distance 13.710839
Analysed days: 18, Interpolated Closest Days: 17, distance 13.710839
Analysed days: 18, Interpolated Closest Days: 9, distance 13.720082
Analysed days: 5, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 6, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 7, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 8, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 9, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 10, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 11, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 12, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 13, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 14, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 15, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 16, Interpolated Closest Days: 3, distance 14.048812
Analysed days: 11, Interpolated Closest Days: 8, distance 14.639327
Analysed days: 11, Interpolated Closest Days: 9, distance 14.639327
Analysed days: 11, Interpolated Closest Days: 10, distance 14.639327
Analysed days: 12, Interpolated Closest Days: 8, distance 14.639327
Analysed days: 12, Interpolated Closest Days: 9, distance 14.639327
Analysed days: 12, Interpolated Closest Days: 10, distance 14.639327
Analysed days: 12, Interpolated Closest Days: 11, distance 14.639327
Analysed days: 13, Interpolated Closest Days: 8, distance 14.639327
Analysed days: 13, Interpolated Closest Days: 9, distance 14.639327
Analysed days: 13, Interpolated Closest Days: 10, distance 14.639327
Analysed days: 13, Interpolated Closest Days: 11, distance 14.639327
Analysed days: 13, Interpolated Closest Days: 12, distance 14.639327
Analysed days: 14, Interpolated Closest Days: 8, distance 14.639327
Analysed days: 14, Interpolated Closest Days: 9, distance 14.639327
Analysed days: 14, Interpolated Closest Days: 10, distance 14.639327
Analysed days: 14, Interpolated Closest Days: 11, distance 14.639327
Analysed days: 14, Interpolated Closest Days: 12, distance 14.639327
Analysed days: 14, Interpolated Closest Days: 13, distance 14.639327
Analysed days: 9, Interpolated Closest Days: 6, distance 15.534349
Analysed days: 9, Interpolated Closest Days: 7, distance 15.534349
Analysed days: 9, Interpolated Closest Days: 8, distance 15.534349
Analysed days: 10, Interpolated Closest Days: 6, distance 15.534349
Analysed days: 11, Interpolated Closest Days: 6, distance 15.534349
Analysed days: 12, Interpolated Closest Days: 6, distance 15.534349
Analysed days: 13, Interpolated Closest Days: 6, distance 15.534349
Analysed days: 14, Interpolated Closest Days: 6, distance 15.534349
Analysed days: 16, Interpolated Closest Days: 6, distance 16.054111
Analysed days: 18, Interpolated Closest Days: 10, distance 16.190758
Analysed days: 29, Interpolated Closest Days: 7, distance 16.358215
Analysed days: 15, Interpolated Closest Days: 6, distance 16.422243
Analysed days: 19, Interpolated Closest Days: 13, distance 16.437567
Analysed days: 19, Interpolated Closest Days: 14, distance 16.437567
Analysed days: 19, Interpolated Closest Days: 15, distance 16.437567
Analysed days: 19, Interpolated Closest Days: 16, distance 16.437567
Analysed days: 19, Interpolated Closest Days: 17, distance 16.437567
Analysed days: 19, Interpolated Closest Days: 18, distance 16.437567
Analysed days: 20, Interpolated Closest Days: 13, distance 16.437567
Analysed days: 20, Interpolated Closest Days: 14, distance 16.437567
Analysed days: 20, Interpolated Closest Days: 15, distance 16.437567
Analysed days: 20, Interpolated Closest Days: 16, distance 16.437567
Analysed days: 20, Interpolated Closest Days: 17, distance 16.437567
Analysed days: 20, Interpolated Closest Days: 18, distance 16.437567
Analysed days: 20, Interpolated Closest Days: 19, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 13, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 14, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 15, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 16, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 17, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 18, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 19, distance 16.437567
Analysed days: 21, Interpolated Closest Days: 20, distance 16.437567
Analysed days: 19, Interpolated Closest Days: 9, distance 16.718688
Analysed days: 20, Interpolated Closest Days: 9, distance 16.718688
Analysed days: 21, Interpolated Closest Days: 9, distance 16.718688
Analysed days: 5, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 6, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 7, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 8, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 9, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 10, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 11, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 12, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 13, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 14, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 15, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 16, Interpolated Closest Days: 2, distance 16.851203
Analysed days: 17, Interpolated Closest Days: 2, distance 16.936900
Analysed days: 18, Interpolated Closest Days: 2, distance 16.936900
Analysed days: 29, Interpolated Closest Days: 18, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 19, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 20, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 21, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 22, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 23, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 24, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 25, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 26, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 27, distance 16.972661
Analysed days: 29, Interpolated Closest Days: 28, distance 16.972661
Analysed days: 17, Interpolated Closest Days: 4, distance 17.044988
Analysed days: 18, Interpolated Closest Days: 4, distance 17.044988
Analysed days: 17, Interpolated Closest Days: 10, distance 17.086166
