Linear Interpolation Prediction for BABA from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 2, Interpolated Closest Days: 1, distance 12.555029
Analysed days: 10, Interpolated Closest Days: 7, distance 39.777992
Analysed days: 10, Interpolated Closest Days: 8, distance 39.777992
Analysed days: 10, Interpolated Closest Days: 9, distance 39.777992
Analysed days: 5, Interpolated Closest Days: 4, distance 41.775454
Analysed days: 6, Interpolated Closest Days: 4, distance 41.775454
Analysed days: 6, Interpolated Closest Days: 5, distance 41.775454
Analysed days: 7, Interpolated Closest Days: 4, distance 41.775454
Analysed days: 7, Interpolated Closest Days: 5, distance 41.775454
Analysed days: 7, Interpolated Closest Days: 6, distance 41.775454
Analysed days: 10, Interpolated Closest Days: 6, distance 44.169046
Analysed days: 8, Interpolated Closest Days: 5, distance 44.756037
Analysed days: 8, Interpolated Closest Days: 6, distance 44.756037
Analysed days: 8, Interpolated Closest Days: 7, distance 44.756037
Analysed days: 9, Interpolated Closest Days: 6, distance 44.935140
Analysed days: 9, Interpolated Closest Days: 7, distance 44.935140
Analysed days: 9, Interpolated Closest Days: 8, distance 44.935140
Analysed days: 4, Interpolated Closest Days: 3, distance 47.539646
Analysed days: 10, Interpolated Closest Days: 5, distance 49.341293
Analysed days: 29, Interpolated Closest Days: 18, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 19, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 20, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 21, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 22, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 23, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 24, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 25, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 26, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 27, distance 49.759200
Analysed days: 29, Interpolated Closest Days: 28, distance 49.759200
Analysed days: 10, Interpolated Closest Days: 4, distance 50.212068
Analysed days: 25, Interpolated Closest Days: 17, distance 50.705700
Analysed days: 25, Interpolated Closest Days: 18, distance 50.705700
Analysed days: 25, Interpolated Closest Days: 19, distance 50.705700
Analysed days: 25, Interpolated Closest Days: 20, distance 50.705700
Analysed days: 25, Interpolated Closest Days: 21, distance 50.705700
Analysed days: 25, Interpolated Closest Days: 22, distance 50.705700
Analysed days: 25, Interpolated Closest Days: 23, distance 50.705700
Analysed days: 25, Interpolated Closest Days: 24, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 17, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 18, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 19, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 20, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 21, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 22, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 23, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 24, distance 50.705700
Analysed days: 26, Interpolated Closest Days: 25, distance 50.705700
Analysed days: 27, Interpolated Closest Days: 17, distance 50.705700
Analysed days: 27, Interpolated Closest Days: 18, distance 50.705700
