Linear Interpolation Prediction for C from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 8, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 9, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 10, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 11, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 12, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 13, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 14, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 15, Interpolated Closest Days: 1, distance 11.155977
Analysed days: 4, Interpolated Closest Days: 2, distance 11.501877
Analysed days: 4, Interpolated Closest Days: 3, distance 11.915298
Analysed days: 15, Interpolated Closest Days: 5, distance 11.931545
Analysed days: 15, Interpolated Closest Days: 9, distance 12.040707
Analysed days: 15, Interpolated Closest Days: 10, distance 12.040707
Analysed days: 15, Interpolated Closest Days: 11, distance 12.040707
Analysed days: 15, Interpolated Closest Days: 12, distance 12.040707
Analysed days: 15, Interpolated Closest Days: 13, distance 12.040707
Analysed days: 15, Interpolated Closest Days: 14, distance 12.040707
Analysed days: 15, Interpolated Closest Days: 6, distance 12.100532
Analysed days: 18, Interpolated Closest Days: 12, distance 12.272026
Analysed days: 18, Interpolated Closest Days: 13, distance 12.272026
Analysed days: 18, Interpolated Closest Days: 14, distance 12.272026
Analysed days: 18, Interpolated Closest Days: 15, distance 12.272026
Analysed days: 18, Interpolated Closest Days: 16, distance 12.272026
Analysed days: 18, Interpolated Closest Days: 17, distance 12.272026
Analysed days: 18, Interpolated Closest Days: 8, distance 12.296986
Analysed days: 18, Interpolated Closest Days: 9, distance 12.368746
Analysed days: 10, Interpolated Closest Days: 7, distance 12.402898
Analysed days: 10, Interpolated Closest Days: 8, distance 12.402898
Analysed days: 10, Interpolated Closest Days: 9, distance 12.402898
Analysed days: 19, Interpolated Closest Days: 13, distance 12.415138
Analysed days: 19, Interpolated Closest Days: 14, distance 12.415138
Analysed days: 19, Interpolated Closest Days: 15, distance 12.415138
Analysed days: 19, Interpolated Closest Days: 16, distance 12.415138
Analysed days: 19, Interpolated Closest Days: 17, distance 12.415138
Analysed days: 19, Interpolated Closest Days: 18, distance 12.415138
Analysed days: 20, Interpolated Closest Days: 13, distance 12.415138
Analysed days: 20, Interpolated Closest Days: 14, distance 12.415138
Analysed days: 20, Interpolated Closest Days: 15, distance 12.415138
Analysed days: 20, Interpolated Closest Days: 16, distance 12.415138
Analysed days: 20, Interpolated Closest Days: 17, distance 12.415138
Analysed days: 20, Interpolated Closest Days: 18, distance 12.415138
Analysed days: 20, Interpolated Closest Days: 19, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 13, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 14, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 15, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 16, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 17, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 18, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 19, distance 12.415138
Analysed days: 21, Interpolated Closest Days: 20, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 13, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 14, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 15, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 16, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 17, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 18, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 19, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 20, distance 12.415138
Analysed days: 22, Interpolated Closest Days: 21, distance 12.415138
Analysed days: 17, Interpolated Closest Days: 11, distance 12.447487
Analysed days: 17, Interpolated Closest Days: 12, distance 12.447487
Analysed days: 17, Interpolated Closest Days: 13, distance 12.447487
Analysed days: 17, Interpolated Closest Days: 14, distance 12.447487
Analysed days: 17, Interpolated Closest Days: 15, distance 12.447487
Analysed days: 17, Interpolated Closest Days: 16, distance 12.447487
Analysed days: 19, Interpolated Closest Days: 9, distance 12.486350
Analysed days: 20, Interpolated Closest Days: 9, distance 12.486350
Analysed days: 21, Interpolated Closest Days: 9, distance 12.486350
Analysed days: 22, Interpolated Closest Days: 9, distance 12.486350
Analysed days: 23, Interpolated Closest Days: 9, distance 12.486350
Analysed days: 24, Interpolated Closest Days: 9, distance 12.486350
Analysed days: 19, Interpolated Closest Days: 10, distance 12.536855
Analysed days: 20, Interpolated Closest Days: 10, distance 12.536855
Analysed days: 21, Interpolated Closest Days: 10, distance 12.536855
Analysed days: 22, Interpolated Closest Days: 10, distance 12.536855
Analysed days: 23, Interpolated Closest Days: 10, distance 12.536855
Analysed days: 17, Interpolated Closest Days: 7, distance 12.552188
Analysed days: 16, Interpolated Closest Days: 10, distance 12.595781
Analysed days: 16, Interpolated Closest Days: 11, distance 12.595781
Analysed days: 16, Interpolated Closest Days: 12, distance 12.595781
Analysed days: 16, Interpolated Closest Days: 13, distance 12.595781
Analysed days: 16, Interpolated Closest Days: 14, distance 12.595781
Analysed days: 16, Interpolated Closest Days: 15, distance 12.595781
Analysed days: 17, Interpolated Closest Days: 8, distance 12.607502
Analysed days: 15, Interpolated Closest Days: 7, distance 12.678802
Analysed days: 15, Interpolated Closest Days: 8, distance 12.683542
Analysed days: 23, Interpolated Closest Days: 14, distance 12.712830
Analysed days: 23, Interpolated Closest Days: 15, distance 12.712830
Analysed days: 23, Interpolated Closest Days: 16, distance 12.712830
Analysed days: 23, Interpolated Closest Days: 17, distance 12.712830
