Linear Interpolation Prediction for CELG from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 29, Interpolated Closest Days: 2, distance 8.097193
Analysed days: 29, Interpolated Closest Days: 3, distance 10.252896
Analysed days: 29, Interpolated Closest Days: 4, distance 15.056681
Analysed days: 29, Interpolated Closest Days: 1, distance 15.185416
Analysed days: 7, Interpolated Closest Days: 2, distance 15.772503
Analysed days: 8, Interpolated Closest Days: 2, distance 15.772503
Analysed days: 9, Interpolated Closest Days: 2, distance 15.772503
Analysed days: 10, Interpolated Closest Days: 2, distance 15.772503
Analysed days: 11, Interpolated Closest Days: 2, distance 15.772503
Analysed days: 12, Interpolated Closest Days: 2, distance 15.772503
Analysed days: 9, Interpolated Closest Days: 4, distance 16.128292
Analysed days: 10, Interpolated Closest Days: 4, distance 16.128292
Analysed days: 11, Interpolated Closest Days: 4, distance 16.128292
Analysed days: 12, Interpolated Closest Days: 4, distance 16.128292
Analysed days: 29, Interpolated Closest Days: 5, distance 16.168267
Analysed days: 14, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 15, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 16, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 17, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 18, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 19, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 20, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 21, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 22, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 23, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 24, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 25, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 26, Interpolated Closest Days: 1, distance 16.952765
Analysed days: 20, Interpolated Closest Days: 9, distance 17.338938
Analysed days: 21, Interpolated Closest Days: 9, distance 17.338938
Analysed days: 29, Interpolated Closest Days: 8, distance 17.637027
Analysed days: 21, Interpolated Closest Days: 10, distance 17.847933
Analysed days: 20, Interpolated Closest Days: 8, distance 18.022488
Analysed days: 21, Interpolated Closest Days: 8, distance 18.022488
Analysed days: 17, Interpolated Closest Days: 8, distance 18.048437
Analysed days: 18, Interpolated Closest Days: 8, distance 18.048437
Analysed days: 19, Interpolated Closest Days: 8, distance 18.048437
Analysed days: 9, Interpolated Closest Days: 6, distance 18.132015
Analysed days: 9, Interpolated Closest Days: 7, distance 18.132015
Analysed days: 9, Interpolated Closest Days: 8, distance 18.132015
Analysed days: 10, Interpolated Closest Days: 6, distance 18.132015
Analysed days: 10, Interpolated Closest Days: 7, distance 18.132015
Analysed days: 10, Interpolated Closest Days: 8, distance 18.132015
Analysed days: 10, Interpolated Closest Days: 9, distance 18.132015
Analysed days: 11, Interpolated Closest Days: 6, distance 18.132015
Analysed days: 11, Interpolated Closest Days: 7, distance 18.132015
Analysed days: 11, Interpolated Closest Days: 8, distance 18.132015
Analysed days: 11, Interpolated Closest Days: 9, distance 18.132015
Analysed days: 11, Interpolated Closest Days: 10, distance 18.132015
Analysed days: 12, Interpolated Closest Days: 6, distance 18.132015
Analysed days: 12, Interpolated Closest Days: 7, distance 18.132015
Analysed days: 12, Interpolated Closest Days: 8, distance 18.132015
Analysed days: 12, Interpolated Closest Days: 9, distance 18.132015
Analysed days: 12, Interpolated Closest Days: 10, distance 18.132015
Analysed days: 12, Interpolated Closest Days: 11, distance 18.132015
Analysed days: 20, Interpolated Closest Days: 10, distance 18.576708
Analysed days: 29, Interpolated Closest Days: 6, distance 18.587489
Analysed days: 9, Interpolated Closest Days: 5, distance 18.633932
Analysed days: 10, Interpolated Closest Days: 5, distance 18.633932
Analysed days: 11, Interpolated Closest Days: 5, distance 18.633932
Analysed days: 12, Interpolated Closest Days: 5, distance 18.633932
Analysed days: 29, Interpolated Closest Days: 7, distance 18.676599
Analysed days: 29, Interpolated Closest Days: 14, distance 18.709748
Analysed days: 14, Interpolated Closest Days: 6, distance 18.855426
Analysed days: 15, Interpolated Closest Days: 7, distance 18.911306
Analysed days: 16, Interpolated Closest Days: 7, distance 18.911306
Analysed days: 17, Interpolated Closest Days: 7, distance 18.911306
Analysed days: 18, Interpolated Closest Days: 7, distance 18.911306
Analysed days: 19, Interpolated Closest Days: 7, distance 18.911306
Analysed days: 20, Interpolated Closest Days: 7, distance 18.911306
Analysed days: 21, Interpolated Closest Days: 7, distance 18.911306
Analysed days: 21, Interpolated Closest Days: 11, distance 18.969944
Analysed days: 29, Interpolated Closest Days: 15, distance 18.971889
Analysed days: 29, Interpolated Closest Days: 9, distance 19.001689
Analysed days: 22, Interpolated Closest Days: 10, distance 19.126147
Analysed days: 14, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 15, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 16, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 17, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 18, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 19, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 20, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 21, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 22, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 23, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 24, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 25, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 26, Interpolated Closest Days: 2, distance 19.199181
Analysed days: 29, Interpolated Closest Days: 13, distance 19.226739
Analysed days: 20, Interpolated Closest Days: 12, distance 19.294688
Analysed days: 20, Interpolated Closest Days: 13, distance 19.294688
Analysed days: 20, Interpolated Closest Days: 14, distance 19.294688
Analysed days: 20, Interpolated Closest Days: 15, distance 19.294688
Analysed days: 20, Interpolated Closest Days: 16, distance 19.294688
Analysed days: 20, Interpolated Closest Days: 17, distance 19.294688
Analysed days: 20, Interpolated Closest Days: 18, distance 19.294688
Analysed days: 20, Interpolated Closest Days: 19, distance 19.294688
Analysed days: 13, Interpolated Closest Days: 5, distance 19.318844
Analysed days: 17, Interpolated Closest Days: 9, distance 19.343999
Analysed days: 18, Interpolated Closest Days: 9, distance 19.343999
Analysed days: 19, Interpolated Closest Days: 9, distance 19.343999
Analysed days: 22, Interpolated Closest Days: 11, distance 19.474687
Analysed days: 20, Interpolated Closest Days: 11, distance 19.601198
Analysed days: 21, Interpolated Closest Days: 13, distance 19.603534
Analysed days: 21, Interpolated Closest Days: 14, distance 19.603534
Analysed days: 21, Interpolated Closest Days: 15, distance 19.603534
Analysed days: 21, Interpolated Closest Days: 16, distance 19.603534
Analysed days: 21, Interpolated Closest Days: 17, distance 19.603534
Analysed days: 21, Interpolated Closest Days: 18, distance 19.603534
Analysed days: 21, Interpolated Closest Days: 19, distance 19.603534
Analysed days: 21, Interpolated Closest Days: 20, distance 19.603534
Analysed days: 27, Interpolated Closest Days: 2, distance 19.647345
Analysed days: 28, Interpolated Closest Days: 2, distance 19.647345
Analysed days: 29, Interpolated Closest Days: 16, distance 19.651558
Analysed days: 29, Interpolated Closest Days: 12, distance 19.813522
Analysed days: 15, Interpolated Closest Days: 9, distance 19.834810
Analysed days: 15, Interpolated Closest Days: 10, distance 19.834810
Analysed days: 15, Interpolated Closest Days: 11, distance 19.834810
Analysed days: 15, Interpolated Closest Days: 12, distance 19.834810
Analysed days: 15, Interpolated Closest Days: 13, distance 19.834810
Analysed days: 15, Interpolated Closest Days: 14, distance 19.834810
Analysed days: 22, Interpolated Closest Days: 9, distance 19.897248
Analysed days: 21, Interpolated Closest Days: 12, distance 19.903767
Analysed days: 14, Interpolated Closest Days: 8, distance 19.914985
Analysed days: 14, Interpolated Closest Days: 9, distance 19.914985
Analysed days: 14, Interpolated Closest Days: 10, distance 19.914985
Analysed days: 14, Interpolated Closest Days: 11, distance 19.914985
Analysed days: 14, Interpolated Closest Days: 12, distance 19.914985
Analysed days: 14, Interpolated Closest Days: 13, distance 19.914985
Analysed days: 15, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 16, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 17, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 18, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 19, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 20, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 21, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 22, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 23, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 24, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 25, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 26, Interpolated Closest Days: 5, distance 19.975543
Analysed days: 17, Interpolated Closest Days: 11, distance 20.025503
