Linear Interpolation Prediction for DB from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 29, Interpolated Closest Days: 14, distance 0.340193
Analysed days: 29, Interpolated Closest Days: 17, distance 0.340946
Analysed days: 24, Interpolated Closest Days: 15, distance 0.342679
Analysed days: 24, Interpolated Closest Days: 13, distance 0.345613
Analysed days: 25, Interpolated Closest Days: 13, distance 0.345613
Analysed days: 26, Interpolated Closest Days: 13, distance 0.345613
Analysed days: 27, Interpolated Closest Days: 13, distance 0.345613
Analysed days: 28, Interpolated Closest Days: 13, distance 0.345613
Analysed days: 18, Interpolated Closest Days: 12, distance 0.348496
Analysed days: 18, Interpolated Closest Days: 13, distance 0.348496
Analysed days: 18, Interpolated Closest Days: 14, distance 0.348496
Analysed days: 18, Interpolated Closest Days: 15, distance 0.348496
Analysed days: 18, Interpolated Closest Days: 16, distance 0.348496
Analysed days: 18, Interpolated Closest Days: 17, distance 0.348496
Analysed days: 17, Interpolated Closest Days: 11, distance 0.350156
Analysed days: 17, Interpolated Closest Days: 12, distance 0.350156
Analysed days: 17, Interpolated Closest Days: 13, distance 0.350156
Analysed days: 17, Interpolated Closest Days: 14, distance 0.350156
Analysed days: 17, Interpolated Closest Days: 15, distance 0.350156
Analysed days: 17, Interpolated Closest Days: 16, distance 0.350156
Analysed days: 29, Interpolated Closest Days: 15, distance 0.350544
Analysed days: 29, Interpolated Closest Days: 12, distance 0.354994
Analysed days: 25, Interpolated Closest Days: 16, distance 0.360359
Analysed days: 26, Interpolated Closest Days: 16, distance 0.360359
Analysed days: 27, Interpolated Closest Days: 16, distance 0.360359
Analysed days: 28, Interpolated Closest Days: 16, distance 0.360359
Analysed days: 15, Interpolated Closest Days: 9, distance 0.363320
Analysed days: 15, Interpolated Closest Days: 10, distance 0.363320
Analysed days: 15, Interpolated Closest Days: 11, distance 0.363320
Analysed days: 15, Interpolated Closest Days: 12, distance 0.363320
Analysed days: 15, Interpolated Closest Days: 13, distance 0.363320
Analysed days: 15, Interpolated Closest Days: 14, distance 0.363320
Analysed days: 29, Interpolated Closest Days: 16, distance 0.363424
Analysed days: 24, Interpolated Closest Days: 14, distance 0.365424
Analysed days: 25, Interpolated Closest Days: 14, distance 0.365424
Analysed days: 26, Interpolated Closest Days: 14, distance 0.365424
Analysed days: 27, Interpolated Closest Days: 14, distance 0.365424
Analysed days: 28, Interpolated Closest Days: 14, distance 0.365424
Analysed days: 16, Interpolated Closest Days: 10, distance 0.367966
Analysed days: 16, Interpolated Closest Days: 11, distance 0.367966
Analysed days: 16, Interpolated Closest Days: 12, distance 0.367966
Analysed days: 16, Interpolated Closest Days: 13, distance 0.367966
Analysed days: 16, Interpolated Closest Days: 14, distance 0.367966
Analysed days: 16, Interpolated Closest Days: 15, distance 0.367966
Analysed days: 29, Interpolated Closest Days: 13, distance 0.370170
Analysed days: 18, Interpolated Closest Days: 11, distance 0.373756
Analysed days: 19, Interpolated Closest Days: 11, distance 0.373756
Analysed days: 20, Interpolated Closest Days: 11, distance 0.373756
Analysed days: 21, Interpolated Closest Days: 11, distance 0.373756
Analysed days: 22, Interpolated Closest Days: 11, distance 0.373756
Analysed days: 17, Interpolated Closest Days: 10, distance 0.376412
Analysed days: 25, Interpolated Closest Days: 15, distance 0.382026
Analysed days: 26, Interpolated Closest Days: 15, distance 0.382026
Analysed days: 27, Interpolated Closest Days: 15, distance 0.382026
Analysed days: 28, Interpolated Closest Days: 15, distance 0.382026
Analysed days: 24, Interpolated Closest Days: 11, distance 0.386744
Analysed days: 25, Interpolated Closest Days: 11, distance 0.386744
Analysed days: 26, Interpolated Closest Days: 11, distance 0.386744
Analysed days: 27, Interpolated Closest Days: 11, distance 0.386744
Analysed days: 28, Interpolated Closest Days: 11, distance 0.386744
Analysed days: 23, Interpolated Closest Days: 12, distance 0.390993
Analysed days: 19, Interpolated Closest Days: 13, distance 0.394327
Analysed days: 19, Interpolated Closest Days: 14, distance 0.394327
Analysed days: 19, Interpolated Closest Days: 15, distance 0.394327
Analysed days: 19, Interpolated Closest Days: 16, distance 0.394327
Analysed days: 19, Interpolated Closest Days: 17, distance 0.394327
Analysed days: 19, Interpolated Closest Days: 18, distance 0.394327
Analysed days: 20, Interpolated Closest Days: 13, distance 0.394327
Analysed days: 20, Interpolated Closest Days: 14, distance 0.394327
Analysed days: 20, Interpolated Closest Days: 15, distance 0.394327
Analysed days: 20, Interpolated Closest Days: 16, distance 0.394327
Analysed days: 20, Interpolated Closest Days: 17, distance 0.394327
Analysed days: 20, Interpolated Closest Days: 18, distance 0.394327
Analysed days: 20, Interpolated Closest Days: 19, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 13, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 14, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 15, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 16, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 17, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 18, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 19, distance 0.394327
Analysed days: 21, Interpolated Closest Days: 20, distance 0.394327
Analysed days: 22, Interpolated Closest Days: 13, distance 0.394327
Analysed days: 29, Interpolated Closest Days: 18, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 19, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 20, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 21, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 22, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 23, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 24, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 25, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 26, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 27, distance 0.399343
Analysed days: 29, Interpolated Closest Days: 28, distance 0.399343
Analysed days: 24, Interpolated Closest Days: 12, distance 0.401469
Analysed days: 25, Interpolated Closest Days: 12, distance 0.401469
Analysed days: 26, Interpolated Closest Days: 12, distance 0.401469
Analysed days: 27, Interpolated Closest Days: 12, distance 0.401469
Analysed days: 28, Interpolated Closest Days: 12, distance 0.401469
Analysed days: 23, Interpolated Closest Days: 14, distance 0.404314
Analysed days: 19, Interpolated Closest Days: 12, distance 0.411531
Analysed days: 20, Interpolated Closest Days: 12, distance 0.411531
Analysed days: 21, Interpolated Closest Days: 12, distance 0.411531
Analysed days: 22, Interpolated Closest Days: 12, distance 0.411531
Analysed days: 16, Interpolated Closest Days: 9, distance 0.413923
Analysed days: 24, Interpolated Closest Days: 16, distance 0.417105
Analysed days: 24, Interpolated Closest Days: 17, distance 0.417105
Analysed days: 24, Interpolated Closest Days: 18, distance 0.417105
Analysed days: 24, Interpolated Closest Days: 19, distance 0.417105
Analysed days: 24, Interpolated Closest Days: 20, distance 0.417105
Analysed days: 24, Interpolated Closest Days: 21, distance 0.417105
Analysed days: 24, Interpolated Closest Days: 22, distance 0.417105
Analysed days: 24, Interpolated Closest Days: 23, distance 0.417105
Analysed days: 15, Interpolated Closest Days: 8, distance 0.420419
Analysed days: 10, Interpolated Closest Days: 7, distance 0.422492
Analysed days: 10, Interpolated Closest Days: 8, distance 0.422492
Analysed days: 10, Interpolated Closest Days: 9, distance 0.422492
Analysed days: 9, Interpolated Closest Days: 6, distance 0.422714
Analysed days: 9, Interpolated Closest Days: 7, distance 0.422714
Analysed days: 9, Interpolated Closest Days: 8, distance 0.422714
Analysed days: 23, Interpolated Closest Days: 13, distance 0.424351
Analysed days: 29, Interpolated Closest Days: 11, distance 0.428114
Analysed days: 25, Interpolated Closest Days: 17, distance 0.435175
Analysed days: 25, Interpolated Closest Days: 18, distance 0.435175
Analysed days: 25, Interpolated Closest Days: 19, distance 0.435175
Analysed days: 25, Interpolated Closest Days: 20, distance 0.435175
Analysed days: 25, Interpolated Closest Days: 21, distance 0.435175
Analysed days: 25, Interpolated Closest Days: 22, distance 0.435175
Analysed days: 25, Interpolated Closest Days: 23, distance 0.435175
Analysed days: 25, Interpolated Closest Days: 24, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 17, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 18, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 19, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 20, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 21, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 22, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 23, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 24, distance 0.435175
Analysed days: 26, Interpolated Closest Days: 25, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 17, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 18, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 19, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 20, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 21, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 22, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 23, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 24, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 25, distance 0.435175
Analysed days: 27, Interpolated Closest Days: 26, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 17, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 18, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 19, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 20, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 21, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 22, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 23, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 24, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 25, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 26, distance 0.435175
Analysed days: 28, Interpolated Closest Days: 27, distance 0.435175
Analysed days: 11, Interpolated Closest Days: 8, distance 0.436988
Analysed days: 11, Interpolated Closest Days: 9, distance 0.436988
Analysed days: 11, Interpolated Closest Days: 10, distance 0.436988
Analysed days: 12, Interpolated Closest Days: 8, distance 0.436988
Analysed days: 12, Interpolated Closest Days: 9, distance 0.436988
Analysed days: 12, Interpolated Closest Days: 10, distance 0.436988
Analysed days: 12, Interpolated Closest Days: 11, distance 0.436988
Analysed days: 13, Interpolated Closest Days: 8, distance 0.436988
Analysed days: 13, Interpolated Closest Days: 9, distance 0.436988
Analysed days: 13, Interpolated Closest Days: 10, distance 0.436988
Analysed days: 13, Interpolated Closest Days: 11, distance 0.436988
Analysed days: 13, Interpolated Closest Days: 12, distance 0.436988
Analysed days: 14, Interpolated Closest Days: 8, distance 0.436988
Analysed days: 14, Interpolated Closest Days: 9, distance 0.436988
Analysed days: 14, Interpolated Closest Days: 10, distance 0.436988
Analysed days: 14, Interpolated Closest Days: 11, distance 0.436988
Analysed days: 14, Interpolated Closest Days: 12, distance 0.436988
Analysed days: 14, Interpolated Closest Days: 13, distance 0.436988
Analysed days: 8, Interpolated Closest Days: 5, distance 0.441208
Analysed days: 8, Interpolated Closest Days: 6, distance 0.441208
Analysed days: 8, Interpolated Closest Days: 7, distance 0.441208
Analysed days: 11, Interpolated Closest Days: 7, distance 0.471589
Analysed days: 12, Interpolated Closest Days: 7, distance 0.471589
Analysed days: 13, Interpolated Closest Days: 7, distance 0.471589
Analysed days: 14, Interpolated Closest Days: 7, distance 0.471589
Analysed days: 18, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 19, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 20, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 21, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 22, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 23, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 24, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 25, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 26, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 27, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 28, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 29, Interpolated Closest Days: 10, distance 0.482087
Analysed days: 17, Interpolated Closest Days: 9, distance 0.482963
Analysed days: 23, Interpolated Closest Days: 11, distance 0.489601
Analysed days: 23, Interpolated Closest Days: 15, distance 0.500294
Analysed days: 23, Interpolated Closest Days: 16, distance 0.500294
Analysed days: 23, Interpolated Closest Days: 17, distance 0.500294
Analysed days: 23, Interpolated Closest Days: 18, distance 0.500294
