Linear Interpolation Prediction for DIS from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 10, Interpolated Closest Days: 1, distance 7.688137
Analysed days: 10, Interpolated Closest Days: 2, distance 11.828389
Analysed days: 25, Interpolated Closest Days: 5, distance 13.142221
Analysed days: 26, Interpolated Closest Days: 5, distance 13.142221
Analysed days: 27, Interpolated Closest Days: 5, distance 13.142221
Analysed days: 28, Interpolated Closest Days: 5, distance 13.142221
Analysed days: 25, Interpolated Closest Days: 4, distance 13.401450
Analysed days: 26, Interpolated Closest Days: 4, distance 13.401450
Analysed days: 27, Interpolated Closest Days: 4, distance 13.401450
Analysed days: 28, Interpolated Closest Days: 4, distance 13.401450
Analysed days: 25, Interpolated Closest Days: 2, distance 13.684599
Analysed days: 26, Interpolated Closest Days: 2, distance 13.684599
Analysed days: 27, Interpolated Closest Days: 2, distance 13.684599
Analysed days: 28, Interpolated Closest Days: 2, distance 13.684599
Analysed days: 25, Interpolated Closest Days: 6, distance 13.875575
Analysed days: 26, Interpolated Closest Days: 6, distance 13.875575
Analysed days: 27, Interpolated Closest Days: 6, distance 13.875575
Analysed days: 28, Interpolated Closest Days: 6, distance 13.875575
Analysed days: 29, Interpolated Closest Days: 6, distance 14.469797
Analysed days: 29, Interpolated Closest Days: 7, distance 14.913520
Analysed days: 29, Interpolated Closest Days: 5, distance 14.953423
Analysed days: 25, Interpolated Closest Days: 7, distance 15.022154
Analysed days: 26, Interpolated Closest Days: 7, distance 15.022154
Analysed days: 27, Interpolated Closest Days: 7, distance 15.022154
Analysed days: 28, Interpolated Closest Days: 7, distance 15.022154
Analysed days: 10, Interpolated Closest Days: 3, distance 15.038256
Analysed days: 29, Interpolated Closest Days: 8, distance 15.806492
Analysed days: 25, Interpolated Closest Days: 8, distance 16.035374
Analysed days: 26, Interpolated Closest Days: 8, distance 16.035374
Analysed days: 27, Interpolated Closest Days: 8, distance 16.035374
Analysed days: 28, Interpolated Closest Days: 8, distance 16.035374
Analysed days: 29, Interpolated Closest Days: 3, distance 16.122837
Analysed days: 25, Interpolated Closest Days: 3, distance 16.206687
Analysed days: 26, Interpolated Closest Days: 3, distance 16.206687
Analysed days: 27, Interpolated Closest Days: 3, distance 16.206687
Analysed days: 28, Interpolated Closest Days: 3, distance 16.206687
Analysed days: 29, Interpolated Closest Days: 9, distance 16.630589
Analysed days: 16, Interpolated Closest Days: 3, distance 16.817155
Analysed days: 17, Interpolated Closest Days: 3, distance 16.817155
Analysed days: 25, Interpolated Closest Days: 9, distance 17.005088
Analysed days: 26, Interpolated Closest Days: 9, distance 17.005088
Analysed days: 27, Interpolated Closest Days: 9, distance 17.005088
Analysed days: 28, Interpolated Closest Days: 9, distance 17.005088
Analysed days: 16, Interpolated Closest Days: 4, distance 17.042969
Analysed days: 17, Interpolated Closest Days: 4, distance 17.042969
Analysed days: 10, Interpolated Closest Days: 4, distance 17.123616
Analysed days: 25, Interpolated Closest Days: 10, distance 17.216504
Analysed days: 26, Interpolated Closest Days: 10, distance 17.216504
Analysed days: 27, Interpolated Closest Days: 10, distance 17.216504
Analysed days: 28, Interpolated Closest Days: 10, distance 17.216504
Analysed days: 29, Interpolated Closest Days: 10, distance 17.449793
Analysed days: 29, Interpolated Closest Days: 4, distance 17.452559
Analysed days: 29, Interpolated Closest Days: 11, distance 17.606379
Analysed days: 18, Interpolated Closest Days: 5, distance 17.893262
Analysed days: 19, Interpolated Closest Days: 5, distance 17.893262
Analysed days: 20, Interpolated Closest Days: 5, distance 17.893262
Analysed days: 21, Interpolated Closest Days: 5, distance 17.893262
Analysed days: 22, Interpolated Closest Days: 5, distance 17.893262
Analysed days: 23, Interpolated Closest Days: 5, distance 17.893262
Analysed days: 24, Interpolated Closest Days: 5, distance 17.893262
Analysed days: 18, Interpolated Closest Days: 4, distance 17.934110
Analysed days: 19, Interpolated Closest Days: 4, distance 17.934110
Analysed days: 20, Interpolated Closest Days: 4, distance 17.934110
Analysed days: 21, Interpolated Closest Days: 4, distance 17.934110
Analysed days: 22, Interpolated Closest Days: 4, distance 17.934110
Analysed days: 23, Interpolated Closest Days: 4, distance 17.934110
Analysed days: 24, Interpolated Closest Days: 4, distance 17.934110
Analysed days: 25, Interpolated Closest Days: 11, distance 18.038052
Analysed days: 26, Interpolated Closest Days: 11, distance 18.038052
Analysed days: 27, Interpolated Closest Days: 11, distance 18.038052
Analysed days: 28, Interpolated Closest Days: 11, distance 18.038052
Analysed days: 4, Interpolated Closest Days: 1, distance 18.040223
Analysed days: 5, Interpolated Closest Days: 1, distance 18.040223
Analysed days: 6, Interpolated Closest Days: 1, distance 18.040223
Analysed days: 7, Interpolated Closest Days: 1, distance 18.040223
Analysed days: 8, Interpolated Closest Days: 1, distance 18.040223
Analysed days: 9, Interpolated Closest Days: 1, distance 18.040223
