Linear Interpolation Prediction for EMHTF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 5, Interpolated Closest Days: 4, distance 1.873779
Analysed days: 6, Interpolated Closest Days: 4, distance 1.873779
Analysed days: 6, Interpolated Closest Days: 5, distance 1.873779
Analysed days: 7, Interpolated Closest Days: 4, distance 1.873779
Analysed days: 7, Interpolated Closest Days: 5, distance 1.873779
Analysed days: 7, Interpolated Closest Days: 6, distance 1.873779
Analysed days: 5, Interpolated Closest Days: 2, distance 1.886797
Analysed days: 6, Interpolated Closest Days: 2, distance 1.886797
Analysed days: 7, Interpolated Closest Days: 2, distance 1.886797
Analysed days: 8, Interpolated Closest Days: 5, distance 2.136287
Analysed days: 8, Interpolated Closest Days: 6, distance 2.136287
Analysed days: 8, Interpolated Closest Days: 7, distance 2.136287
Analysed days: 9, Interpolated Closest Days: 5, distance 2.149725
Analysed days: 4, Interpolated Closest Days: 3, distance 2.160107
Analysed days: 8, Interpolated Closest Days: 4, distance 2.161942
Analysed days: 8, Interpolated Closest Days: 2, distance 2.177816
Analysed days: 9, Interpolated Closest Days: 2, distance 2.177816
Analysed days: 8, Interpolated Closest Days: 3, distance 2.329075
Analysed days: 9, Interpolated Closest Days: 3, distance 2.329075
Analysed days: 15, Interpolated Closest Days: 8, distance 2.370943
Analysed days: 16, Interpolated Closest Days: 9, distance 2.377630
Analysed days: 9, Interpolated Closest Days: 6, distance 2.424803
Analysed days: 9, Interpolated Closest Days: 7, distance 2.424803
Analysed days: 9, Interpolated Closest Days: 8, distance 2.424803
Analysed days: 10, Interpolated Closest Days: 6, distance 2.458314
Analysed days: 3, Interpolated Closest Days: 2, distance 2.474518
Analysed days: 17, Interpolated Closest Days: 10, distance 2.484593
Analysed days: 16, Interpolated Closest Days: 8, distance 2.492050
Analysed days: 11, Interpolated Closest Days: 7, distance 2.511741
Analysed days: 12, Interpolated Closest Days: 7, distance 2.511741
Analysed days: 13, Interpolated Closest Days: 7, distance 2.511741
Analysed days: 14, Interpolated Closest Days: 7, distance 2.511741
Analysed days: 15, Interpolated Closest Days: 7, distance 2.511741
Analysed days: 16, Interpolated Closest Days: 10, distance 2.512823
Analysed days: 16, Interpolated Closest Days: 11, distance 2.512823
Analysed days: 16, Interpolated Closest Days: 12, distance 2.512823
Analysed days: 16, Interpolated Closest Days: 13, distance 2.512823
Analysed days: 16, Interpolated Closest Days: 14, distance 2.512823
Analysed days: 16, Interpolated Closest Days: 15, distance 2.512823
Analysed days: 10, Interpolated Closest Days: 7, distance 2.566450
Analysed days: 10, Interpolated Closest Days: 8, distance 2.566450
Analysed days: 10, Interpolated Closest Days: 9, distance 2.566450
Analysed days: 15, Interpolated Closest Days: 9, distance 2.567310
Analysed days: 15, Interpolated Closest Days: 10, distance 2.567310
Analysed days: 15, Interpolated Closest Days: 11, distance 2.567310
Analysed days: 15, Interpolated Closest Days: 12, distance 2.567310
Analysed days: 15, Interpolated Closest Days: 13, distance 2.567310
Analysed days: 15, Interpolated Closest Days: 14, distance 2.567310
Analysed days: 19, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 20, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 21, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 22, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 23, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 24, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 25, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 26, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 27, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 28, Interpolated Closest Days: 4, distance 2.586734
Analysed days: 29, Interpolated Closest Days: 4, distance 2.586734
