Linear Interpolation Prediction for EMMBF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 19, Interpolated Closest Days: 8, distance 0.196952
Analysed days: 20, Interpolated Closest Days: 8, distance 0.196952
Analysed days: 21, Interpolated Closest Days: 8, distance 0.196952
Analysed days: 22, Interpolated Closest Days: 8, distance 0.196952
Analysed days: 23, Interpolated Closest Days: 8, distance 0.196952
Analysed days: 24, Interpolated Closest Days: 9, distance 0.200572
Analysed days: 29, Interpolated Closest Days: 10, distance 0.206562
Analysed days: 29, Interpolated Closest Days: 12, distance 0.208295
Analysed days: 29, Interpolated Closest Days: 16, distance 0.213003
Analysed days: 24, Interpolated Closest Days: 10, distance 0.214916
Analysed days: 19, Interpolated Closest Days: 9, distance 0.215202
Analysed days: 20, Interpolated Closest Days: 9, distance 0.215202
Analysed days: 21, Interpolated Closest Days: 9, distance 0.215202
Analysed days: 22, Interpolated Closest Days: 9, distance 0.215202
Analysed days: 23, Interpolated Closest Days: 9, distance 0.215202
Analysed days: 25, Interpolated Closest Days: 12, distance 0.218270
Analysed days: 26, Interpolated Closest Days: 12, distance 0.218270
Analysed days: 27, Interpolated Closest Days: 12, distance 0.218270
Analysed days: 28, Interpolated Closest Days: 12, distance 0.218270
Analysed days: 25, Interpolated Closest Days: 10, distance 0.220735
Analysed days: 26, Interpolated Closest Days: 10, distance 0.220735
Analysed days: 27, Interpolated Closest Days: 10, distance 0.220735
Analysed days: 28, Interpolated Closest Days: 10, distance 0.220735
Analysed days: 29, Interpolated Closest Days: 11, distance 0.223330
Analysed days: 29, Interpolated Closest Days: 15, distance 0.224156
Analysed days: 19, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 20, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 21, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 22, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 23, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 24, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 25, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 26, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 27, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 28, Interpolated Closest Days: 5, distance 0.225307
Analysed days: 19, Interpolated Closest Days: 7, distance 0.229755
Analysed days: 20, Interpolated Closest Days: 7, distance 0.229755
Analysed days: 21, Interpolated Closest Days: 7, distance 0.229755
Analysed days: 22, Interpolated Closest Days: 7, distance 0.229755
Analysed days: 23, Interpolated Closest Days: 7, distance 0.229755
Analysed days: 24, Interpolated Closest Days: 8, distance 0.229986
Analysed days: 29, Interpolated Closest Days: 9, distance 0.231378
Analysed days: 24, Interpolated Closest Days: 11, distance 0.232000
Analysed days: 24, Interpolated Closest Days: 7, distance 0.232012
