Linear Interpolation Prediction for GD from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 4, Interpolated Closest Days: 2, distance 9.287090
Analysed days: 5, Interpolated Closest Days: 4, distance 9.982504
Analysed days: 6, Interpolated Closest Days: 4, distance 9.982504
Analysed days: 6, Interpolated Closest Days: 5, distance 9.982504
Analysed days: 7, Interpolated Closest Days: 4, distance 9.982504
Analysed days: 7, Interpolated Closest Days: 5, distance 9.982504
Analysed days: 7, Interpolated Closest Days: 6, distance 9.982504
Analysed days: 4, Interpolated Closest Days: 3, distance 11.265178
Analysed days: 8, Interpolated Closest Days: 5, distance 12.347093
Analysed days: 8, Interpolated Closest Days: 6, distance 12.347093
Analysed days: 8, Interpolated Closest Days: 7, distance 12.347093
Analysed days: 10, Interpolated Closest Days: 7, distance 16.638199
Analysed days: 10, Interpolated Closest Days: 8, distance 16.638199
Analysed days: 10, Interpolated Closest Days: 9, distance 16.638199
Analysed days: 5, Interpolated Closest Days: 3, distance 16.842279
Analysed days: 6, Interpolated Closest Days: 3, distance 16.842279
Analysed days: 7, Interpolated Closest Days: 3, distance 16.842279
Analysed days: 9, Interpolated Closest Days: 6, distance 17.351965
Analysed days: 9, Interpolated Closest Days: 7, distance 17.351965
Analysed days: 9, Interpolated Closest Days: 8, distance 17.351965
Analysed days: 8, Interpolated Closest Days: 4, distance 18.070935
Analysed days: 10, Interpolated Closest Days: 6, distance 20.966414
Analysed days: 9, Interpolated Closest Days: 5, distance 22.655634
Analysed days: 11, Interpolated Closest Days: 8, distance 23.545288
Analysed days: 11, Interpolated Closest Days: 9, distance 23.545288
Analysed days: 11, Interpolated Closest Days: 10, distance 23.545288
Analysed days: 12, Interpolated Closest Days: 8, distance 23.545288
Analysed days: 12, Interpolated Closest Days: 9, distance 23.545288
Analysed days: 12, Interpolated Closest Days: 10, distance 23.545288
Analysed days: 12, Interpolated Closest Days: 11, distance 23.545288
Analysed days: 13, Interpolated Closest Days: 8, distance 23.545288
Analysed days: 13, Interpolated Closest Days: 9, distance 23.545288
Analysed days: 13, Interpolated Closest Days: 10, distance 23.545288
Analysed days: 13, Interpolated Closest Days: 11, distance 23.545288
Analysed days: 13, Interpolated Closest Days: 12, distance 23.545288
Analysed days: 14, Interpolated Closest Days: 8, distance 23.545288
Analysed days: 14, Interpolated Closest Days: 9, distance 23.545288
Analysed days: 14, Interpolated Closest Days: 10, distance 23.545288
Analysed days: 14, Interpolated Closest Days: 11, distance 23.545288
Analysed days: 14, Interpolated Closest Days: 12, distance 23.545288
Analysed days: 14, Interpolated Closest Days: 13, distance 23.545288
