Linear Interpolation Prediction for GOOG from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 25, Interpolated Closest Days: 14, distance 40.396745
Analysed days: 26, Interpolated Closest Days: 14, distance 40.396745
Analysed days: 27, Interpolated Closest Days: 14, distance 40.396745
Analysed days: 28, Interpolated Closest Days: 14, distance 40.396745
Analysed days: 10, Interpolated Closest Days: 7, distance 40.723094
Analysed days: 10, Interpolated Closest Days: 8, distance 40.723094
Analysed days: 10, Interpolated Closest Days: 9, distance 40.723094
Analysed days: 25, Interpolated Closest Days: 15, distance 41.644528
Analysed days: 26, Interpolated Closest Days: 15, distance 41.644528
Analysed days: 27, Interpolated Closest Days: 15, distance 41.644528
Analysed days: 28, Interpolated Closest Days: 15, distance 41.644528
Analysed days: 15, Interpolated Closest Days: 7, distance 42.442616
Analysed days: 25, Interpolated Closest Days: 9, distance 42.743792
Analysed days: 26, Interpolated Closest Days: 9, distance 42.743792
Analysed days: 27, Interpolated Closest Days: 9, distance 42.743792
Analysed days: 28, Interpolated Closest Days: 9, distance 42.743792
Analysed days: 24, Interpolated Closest Days: 13, distance 42.991202
Analysed days: 10, Interpolated Closest Days: 6, distance 43.026118
Analysed days: 11, Interpolated Closest Days: 6, distance 43.026118
Analysed days: 12, Interpolated Closest Days: 6, distance 43.026118
Analysed days: 13, Interpolated Closest Days: 6, distance 43.026118
Analysed days: 14, Interpolated Closest Days: 6, distance 43.026118
Analysed days: 17, Interpolated Closest Days: 9, distance 43.175626
Analysed days: 18, Interpolated Closest Days: 9, distance 43.175626
Analysed days: 29, Interpolated Closest Days: 15, distance 43.583776
Analysed days: 24, Interpolated Closest Days: 8, distance 43.656945
Analysed days: 24, Interpolated Closest Days: 14, distance 44.040841
Analysed days: 25, Interpolated Closest Days: 13, distance 44.268860
Analysed days: 26, Interpolated Closest Days: 13, distance 44.268860
Analysed days: 27, Interpolated Closest Days: 13, distance 44.268860
Analysed days: 28, Interpolated Closest Days: 13, distance 44.268860
Analysed days: 25, Interpolated Closest Days: 10, distance 44.349114
Analysed days: 26, Interpolated Closest Days: 10, distance 44.349114
Analysed days: 27, Interpolated Closest Days: 10, distance 44.349114
Analysed days: 28, Interpolated Closest Days: 10, distance 44.349114
Analysed days: 17, Interpolated Closest Days: 4, distance 44.364530
Analysed days: 18, Interpolated Closest Days: 4, distance 44.364530
Analysed days: 18, Interpolated Closest Days: 10, distance 44.384422
Analysed days: 29, Interpolated Closest Days: 16, distance 44.506149
Analysed days: 29, Interpolated Closest Days: 10, distance 44.766285
Analysed days: 25, Interpolated Closest Days: 4, distance 45.120187
Analysed days: 26, Interpolated Closest Days: 4, distance 45.120187
Analysed days: 27, Interpolated Closest Days: 4, distance 45.120187
Analysed days: 28, Interpolated Closest Days: 4, distance 45.120187
Analysed days: 25, Interpolated Closest Days: 3, distance 45.165748
Analysed days: 26, Interpolated Closest Days: 3, distance 45.165748
Analysed days: 27, Interpolated Closest Days: 3, distance 45.165748
Analysed days: 28, Interpolated Closest Days: 3, distance 45.165748
Analysed days: 25, Interpolated Closest Days: 6, distance 45.645975
Analysed days: 26, Interpolated Closest Days: 6, distance 45.645975
Analysed days: 27, Interpolated Closest Days: 6, distance 45.645975
Analysed days: 28, Interpolated Closest Days: 6, distance 45.645975
Analysed days: 25, Interpolated Closest Days: 7, distance 45.701970
Analysed days: 26, Interpolated Closest Days: 7, distance 45.701970
Analysed days: 27, Interpolated Closest Days: 7, distance 45.701970
Analysed days: 28, Interpolated Closest Days: 7, distance 45.701970
Analysed days: 25, Interpolated Closest Days: 17, distance 46.249010
Analysed days: 25, Interpolated Closest Days: 18, distance 46.249010
Analysed days: 25, Interpolated Closest Days: 19, distance 46.249010
Analysed days: 25, Interpolated Closest Days: 20, distance 46.249010
Analysed days: 25, Interpolated Closest Days: 21, distance 46.249010
Analysed days: 25, Interpolated Closest Days: 22, distance 46.249010
Analysed days: 25, Interpolated Closest Days: 23, distance 46.249010
Analysed days: 25, Interpolated Closest Days: 24, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 17, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 18, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 19, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 20, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 21, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 22, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 23, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 24, distance 46.249010
Analysed days: 26, Interpolated Closest Days: 25, distance 46.249010
Analysed days: 27, Interpolated Closest Days: 17, distance 46.249010
Analysed days: 27, Interpolated Closest Days: 18, distance 46.249010
Analysed days: 27, Interpolated Closest Days: 19, distance 46.249010
Analysed days: 27, Interpolated Closest Days: 20, distance 46.249010
Analysed days: 27, Interpolated Closest Days: 21, distance 46.249010
Analysed days: 27, Interpolated Closest Days: 22, distance 46.249010
