Linear Interpolation Prediction for HII from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 8, Interpolated Closest Days: 2, distance 33.964292
Analysed days: 16, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 17, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 18, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 19, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 20, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 21, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 22, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 23, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 24, Interpolated Closest Days: 4, distance 39.102185
Analysed days: 8, Interpolated Closest Days: 3, distance 40.216562
Analysed days: 8, Interpolated Closest Days: 4, distance 40.216562
Analysed days: 8, Interpolated Closest Days: 5, distance 40.216562
Analysed days: 8, Interpolated Closest Days: 6, distance 40.216562
Analysed days: 8, Interpolated Closest Days: 7, distance 40.216562
Analysed days: 9, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 10, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 11, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 12, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 13, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 14, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 15, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 16, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 17, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 18, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 19, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 20, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 21, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 22, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 23, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 24, Interpolated Closest Days: 3, distance 44.693334
Analysed days: 9, Interpolated Closest Days: 4, distance 47.411572
Analysed days: 9, Interpolated Closest Days: 5, distance 47.411572
Analysed days: 9, Interpolated Closest Days: 6, distance 47.411572
Analysed days: 9, Interpolated Closest Days: 7, distance 47.411572
Analysed days: 9, Interpolated Closest Days: 8, distance 47.411572
Analysed days: 10, Interpolated Closest Days: 4, distance 47.411572
Analysed days: 10, Interpolated Closest Days: 5, distance 47.411572
Analysed days: 10, Interpolated Closest Days: 6, distance 47.411572
Analysed days: 10, Interpolated Closest Days: 7, distance 47.411572
Analysed days: 10, Interpolated Closest Days: 8, distance 47.411572
Analysed days: 10, Interpolated Closest Days: 9, distance 47.411572
Analysed days: 25, Interpolated Closest Days: 5, distance 48.766065
Analysed days: 26, Interpolated Closest Days: 5, distance 48.766065
Analysed days: 27, Interpolated Closest Days: 5, distance 48.766065
Analysed days: 28, Interpolated Closest Days: 5, distance 48.766065
Analysed days: 29, Interpolated Closest Days: 6, distance 52.026063
Analysed days: 5, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 6, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 7, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 8, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 9, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 10, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 11, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 12, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 13, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 14, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 15, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 16, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 17, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 18, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 19, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 20, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 21, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 22, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 23, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 24, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 25, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 26, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 27, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 28, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 29, Interpolated Closest Days: 1, distance 53.295225
Analysed days: 25, Interpolated Closest Days: 4, distance 55.527342
Analysed days: 26, Interpolated Closest Days: 4, distance 55.527342
Analysed days: 27, Interpolated Closest Days: 4, distance 55.527342
Analysed days: 28, Interpolated Closest Days: 4, distance 55.527342
Analysed days: 5, Interpolated Closest Days: 2, distance 55.969901
Analysed days: 5, Interpolated Closest Days: 3, distance 55.969901
Analysed days: 5, Interpolated Closest Days: 4, distance 55.969901
Analysed days: 6, Interpolated Closest Days: 2, distance 55.969901
