Linear Interpolation Prediction for HMMJ.TO from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 15, Interpolated Closest Days: 10, distance 1.970439
Analysed days: 15, Interpolated Closest Days: 11, distance 1.970439
Analysed days: 15, Interpolated Closest Days: 12, distance 1.970439
Analysed days: 15, Interpolated Closest Days: 13, distance 1.970439
Analysed days: 15, Interpolated Closest Days: 14, distance 1.970439
Analysed days: 8, Interpolated Closest Days: 1, distance 2.100345
Analysed days: 16, Interpolated Closest Days: 11, distance 2.150571
Analysed days: 16, Interpolated Closest Days: 12, distance 2.150571
Analysed days: 16, Interpolated Closest Days: 13, distance 2.150571
Analysed days: 16, Interpolated Closest Days: 14, distance 2.150571
Analysed days: 16, Interpolated Closest Days: 15, distance 2.150571
Analysed days: 17, Interpolated Closest Days: 12, distance 2.180498
Analysed days: 17, Interpolated Closest Days: 13, distance 2.180498
Analysed days: 17, Interpolated Closest Days: 14, distance 2.180498
Analysed days: 17, Interpolated Closest Days: 15, distance 2.180498
Analysed days: 17, Interpolated Closest Days: 16, distance 2.180498
Analysed days: 25, Interpolated Closest Days: 17, distance 2.183902
Analysed days: 26, Interpolated Closest Days: 17, distance 2.183902
Analysed days: 27, Interpolated Closest Days: 17, distance 2.183902
Analysed days: 28, Interpolated Closest Days: 17, distance 2.183902
Analysed days: 8, Interpolated Closest Days: 4, distance 2.221994
Analysed days: 24, Interpolated Closest Days: 16, distance 2.328596
Analysed days: 22, Interpolated Closest Days: 15, distance 2.334229
Analysed days: 22, Interpolated Closest Days: 16, distance 2.334229
Analysed days: 22, Interpolated Closest Days: 17, distance 2.334229
Analysed days: 22, Interpolated Closest Days: 18, distance 2.334229
Analysed days: 22, Interpolated Closest Days: 19, distance 2.334229
Analysed days: 22, Interpolated Closest Days: 20, distance 2.334229
Analysed days: 22, Interpolated Closest Days: 21, distance 2.334229
Analysed days: 23, Interpolated Closest Days: 15, distance 2.334229
Analysed days: 25, Interpolated Closest Days: 16, distance 2.351021
Analysed days: 26, Interpolated Closest Days: 16, distance 2.351021
Analysed days: 27, Interpolated Closest Days: 16, distance 2.351021
Analysed days: 28, Interpolated Closest Days: 16, distance 2.351021
Analysed days: 9, Interpolated Closest Days: 6, distance 2.353723
Analysed days: 9, Interpolated Closest Days: 7, distance 2.353723
Analysed days: 9, Interpolated Closest Days: 8, distance 2.353723
Analysed days: 5, Interpolated Closest Days: 3, distance 2.372257
Analysed days: 6, Interpolated Closest Days: 3, distance 2.372257
Analysed days: 7, Interpolated Closest Days: 3, distance 2.372257
Analysed days: 29, Interpolated Closest Days: 19, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 20, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 21, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 22, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 23, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 24, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 25, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 26, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 27, distance 2.446096
Analysed days: 29, Interpolated Closest Days: 28, distance 2.446096
Analysed days: 25, Interpolated Closest Days: 18, distance 2.491468
