Linear Interpolation Prediction for ILMN from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 8, Interpolated Closest Days: 5, distance 8.416788
Analysed days: 8, Interpolated Closest Days: 6, distance 8.416788
Analysed days: 8, Interpolated Closest Days: 7, distance 8.416788
Analysed days: 8, Interpolated Closest Days: 3, distance 8.951659
Analysed days: 4, Interpolated Closest Days: 3, distance 9.101808
Analysed days: 5, Interpolated Closest Days: 4, distance 9.501818
Analysed days: 6, Interpolated Closest Days: 4, distance 9.501818
Analysed days: 6, Interpolated Closest Days: 5, distance 9.501818
Analysed days: 7, Interpolated Closest Days: 4, distance 9.501818
Analysed days: 7, Interpolated Closest Days: 5, distance 9.501818
Analysed days: 7, Interpolated Closest Days: 6, distance 9.501818
Analysed days: 2, Interpolated Closest Days: 1, distance 9.548672
Analysed days: 8, Interpolated Closest Days: 4, distance 10.113396
Analysed days: 10, Interpolated Closest Days: 7, distance 11.052026
Analysed days: 10, Interpolated Closest Days: 8, distance 11.052026
Analysed days: 10, Interpolated Closest Days: 9, distance 11.052026
Analysed days: 9, Interpolated Closest Days: 6, distance 12.264015
Analysed days: 9, Interpolated Closest Days: 7, distance 12.264015
Analysed days: 9, Interpolated Closest Days: 8, distance 12.264015
Analysed days: 5, Interpolated Closest Days: 3, distance 12.341821
Analysed days: 6, Interpolated Closest Days: 3, distance 12.341821
Analysed days: 7, Interpolated Closest Days: 3, distance 12.341821
Analysed days: 10, Interpolated Closest Days: 5, distance 12.649086
Analysed days: 10, Interpolated Closest Days: 6, distance 12.669674
Analysed days: 4, Interpolated Closest Days: 2, distance 12.800605
Analysed days: 5, Interpolated Closest Days: 2, distance 12.800605
Analysed days: 6, Interpolated Closest Days: 2, distance 12.800605
Analysed days: 7, Interpolated Closest Days: 2, distance 12.800605
Analysed days: 25, Interpolated Closest Days: 17, distance 13.139970
Analysed days: 25, Interpolated Closest Days: 18, distance 13.139970
Analysed days: 25, Interpolated Closest Days: 19, distance 13.139970
Analysed days: 25, Interpolated Closest Days: 20, distance 13.139970
Analysed days: 25, Interpolated Closest Days: 21, distance 13.139970
Analysed days: 25, Interpolated Closest Days: 22, distance 13.139970
Analysed days: 25, Interpolated Closest Days: 23, distance 13.139970
Analysed days: 25, Interpolated Closest Days: 24, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 17, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 18, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 19, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 20, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 21, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 22, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 23, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 24, distance 13.139970
Analysed days: 26, Interpolated Closest Days: 25, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 17, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 18, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 19, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 20, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 21, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 22, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 23, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 24, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 25, distance 13.139970
Analysed days: 27, Interpolated Closest Days: 26, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 17, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 18, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 19, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 20, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 21, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 22, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 23, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 24, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 25, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 26, distance 13.139970
Analysed days: 28, Interpolated Closest Days: 27, distance 13.139970
Analysed days: 24, Interpolated Closest Days: 16, distance 13.328543
Analysed days: 24, Interpolated Closest Days: 17, distance 13.328543
Analysed days: 24, Interpolated Closest Days: 18, distance 13.328543
Analysed days: 24, Interpolated Closest Days: 19, distance 13.328543
Analysed days: 24, Interpolated Closest Days: 20, distance 13.328543
Analysed days: 24, Interpolated Closest Days: 21, distance 13.328543
Analysed days: 24, Interpolated Closest Days: 22, distance 13.328543
Analysed days: 24, Interpolated Closest Days: 23, distance 13.328543
Analysed days: 8, Interpolated Closest Days: 2, distance 13.377018
Analysed days: 3, Interpolated Closest Days: 2, distance 13.392794
Analysed days: 29, Interpolated Closest Days: 18, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 19, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 20, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 21, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 22, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 23, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 24, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 25, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 26, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 27, distance 13.487388
Analysed days: 29, Interpolated Closest Days: 28, distance 13.487388
Analysed days: 19, Interpolated Closest Days: 13, distance 13.590983
Analysed days: 19, Interpolated Closest Days: 14, distance 13.590983
Analysed days: 19, Interpolated Closest Days: 15, distance 13.590983
Analysed days: 19, Interpolated Closest Days: 16, distance 13.590983
Analysed days: 19, Interpolated Closest Days: 17, distance 13.590983
Analysed days: 19, Interpolated Closest Days: 18, distance 13.590983
Analysed days: 20, Interpolated Closest Days: 13, distance 13.590983
Analysed days: 20, Interpolated Closest Days: 14, distance 13.590983
Analysed days: 20, Interpolated Closest Days: 15, distance 13.590983
Analysed days: 20, Interpolated Closest Days: 16, distance 13.590983
Analysed days: 20, Interpolated Closest Days: 17, distance 13.590983
Analysed days: 20, Interpolated Closest Days: 18, distance 13.590983
Analysed days: 20, Interpolated Closest Days: 19, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 13, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 14, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 15, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 16, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 17, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 18, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 19, distance 13.590983
Analysed days: 21, Interpolated Closest Days: 20, distance 13.590983
Analysed days: 18, Interpolated Closest Days: 12, distance 13.640326
Analysed days: 18, Interpolated Closest Days: 13, distance 13.640326
Analysed days: 18, Interpolated Closest Days: 14, distance 13.640326
Analysed days: 18, Interpolated Closest Days: 15, distance 13.640326
Analysed days: 18, Interpolated Closest Days: 16, distance 13.640326
Analysed days: 18, Interpolated Closest Days: 17, distance 13.640326
Analysed days: 22, Interpolated Closest Days: 14, distance 13.979711
Analysed days: 22, Interpolated Closest Days: 15, distance 13.979711
Analysed days: 22, Interpolated Closest Days: 16, distance 13.979711
Analysed days: 22, Interpolated Closest Days: 17, distance 13.979711
Analysed days: 22, Interpolated Closest Days: 18, distance 13.979711
Analysed days: 22, Interpolated Closest Days: 19, distance 13.979711
Analysed days: 22, Interpolated Closest Days: 20, distance 13.979711
Analysed days: 22, Interpolated Closest Days: 21, distance 13.979711
Analysed days: 23, Interpolated Closest Days: 15, distance 14.156778
Analysed days: 23, Interpolated Closest Days: 16, distance 14.156778
Analysed days: 23, Interpolated Closest Days: 17, distance 14.156778
