Linear Interpolation Prediction for INTU from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 10, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 11, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 12, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 13, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 14, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 15, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 16, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 17, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 18, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 19, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 20, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 21, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 22, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 23, Interpolated Closest Days: 3, distance 5.107611
Analysed days: 8, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 9, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 10, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 11, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 12, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 13, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 14, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 15, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 16, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 17, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 18, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 19, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 20, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 21, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 22, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 23, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 24, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 25, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 26, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 27, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 28, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 29, Interpolated Closest Days: 2, distance 5.797633
Analysed days: 8, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 9, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 10, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 11, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 12, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 13, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 14, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 15, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 16, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 17, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 18, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 19, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 20, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 21, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 22, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 23, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 24, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 25, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 26, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 27, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 28, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 29, Interpolated Closest Days: 1, distance 6.417704
Analysed days: 24, Interpolated Closest Days: 4, distance 8.293913
Analysed days: 25, Interpolated Closest Days: 4, distance 8.293913
Analysed days: 26, Interpolated Closest Days: 4, distance 8.293913
Analysed days: 27, Interpolated Closest Days: 4, distance 8.293913
Analysed days: 28, Interpolated Closest Days: 4, distance 8.293913
Analysed days: 29, Interpolated Closest Days: 4, distance 8.293913
Analysed days: 24, Interpolated Closest Days: 3, distance 10.640342
Analysed days: 25, Interpolated Closest Days: 3, distance 10.640342
Analysed days: 26, Interpolated Closest Days: 3, distance 10.640342
Analysed days: 27, Interpolated Closest Days: 3, distance 10.640342
Analysed days: 28, Interpolated Closest Days: 3, distance 10.640342
Analysed days: 29, Interpolated Closest Days: 3, distance 10.640342
Analysed days: 10, Interpolated Closest Days: 4, distance 11.352262
Analysed days: 10, Interpolated Closest Days: 5, distance 12.235486
Analysed days: 11, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 12, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 13, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 14, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 15, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 16, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 17, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 18, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 19, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 20, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 21, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 22, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 23, Interpolated Closest Days: 4, distance 12.875561
Analysed days: 10, Interpolated Closest Days: 6, distance 13.100938
Analysed days: 10, Interpolated Closest Days: 7, distance 13.100938
Analysed days: 10, Interpolated Closest Days: 8, distance 13.100938
Analysed days: 10, Interpolated Closest Days: 9, distance 13.100938
Analysed days: 17, Interpolated Closest Days: 5, distance 13.505009
Analysed days: 18, Interpolated Closest Days: 5, distance 13.505009
Analysed days: 19, Interpolated Closest Days: 5, distance 13.505009
Analysed days: 20, Interpolated Closest Days: 5, distance 13.505009
Analysed days: 21, Interpolated Closest Days: 5, distance 13.505009
Analysed days: 22, Interpolated Closest Days: 5, distance 13.505009
Analysed days: 23, Interpolated Closest Days: 5, distance 13.505009
Analysed days: 22, Interpolated Closest Days: 9, distance 13.756886
Analysed days: 5, Interpolated Closest Days: 1, distance 14.000288
Analysed days: 6, Interpolated Closest Days: 1, distance 14.000288
Analysed days: 7, Interpolated Closest Days: 1, distance 14.000288
Analysed days: 22, Interpolated Closest Days: 10, distance 14.034177
Analysed days: 19, Interpolated Closest Days: 8, distance 14.384691
Analysed days: 20, Interpolated Closest Days: 8, distance 14.384691
Analysed days: 21, Interpolated Closest Days: 8, distance 14.384691
Analysed days: 22, Interpolated Closest Days: 11, distance 14.384999
Analysed days: 23, Interpolated Closest Days: 10, distance 14.425340
Analysed days: 19, Interpolated Closest Days: 9, distance 14.633293
Analysed days: 20, Interpolated Closest Days: 9, distance 14.633293
Analysed days: 21, Interpolated Closest Days: 9, distance 14.633293
Analysed days: 23, Interpolated Closest Days: 11, distance 14.634272
Analysed days: 22, Interpolated Closest Days: 12, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 13, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 14, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 15, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 16, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 17, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 18, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 19, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 20, distance 14.690968
Analysed days: 22, Interpolated Closest Days: 21, distance 14.690968
Analysed days: 23, Interpolated Closest Days: 6, distance 14.704612
Analysed days: 24, Interpolated Closest Days: 5, distance 14.707575
Analysed days: 25, Interpolated Closest Days: 5, distance 14.707575
Analysed days: 26, Interpolated Closest Days: 5, distance 14.707575
Analysed days: 27, Interpolated Closest Days: 5, distance 14.707575
Analysed days: 28, Interpolated Closest Days: 5, distance 14.707575
Analysed days: 29, Interpolated Closest Days: 5, distance 14.707575
Analysed days: 23, Interpolated Closest Days: 12, distance 14.899716
Analysed days: 8, Interpolated Closest Days: 3, distance 14.904068
Analysed days: 9, Interpolated Closest Days: 3, distance 14.904068
Analysed days: 19, Interpolated Closest Days: 10, distance 14.977468
Analysed days: 20, Interpolated Closest Days: 10, distance 14.977468
Analysed days: 21, Interpolated Closest Days: 10, distance 14.977468
Analysed days: 24, Interpolated Closest Days: 6, distance 15.025349
Analysed days: 25, Interpolated Closest Days: 6, distance 15.025349
Analysed days: 26, Interpolated Closest Days: 6, distance 15.025349
Analysed days: 27, Interpolated Closest Days: 6, distance 15.025349
Analysed days: 28, Interpolated Closest Days: 6, distance 15.025349
Analysed days: 29, Interpolated Closest Days: 6, distance 15.025349
Analysed days: 18, Interpolated Closest Days: 7, distance 15.132576
Analysed days: 23, Interpolated Closest Days: 13, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 14, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 15, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 16, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 17, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 18, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 19, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 20, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 21, distance 15.149701
Analysed days: 23, Interpolated Closest Days: 22, distance 15.149701
Analysed days: 24, Interpolated Closest Days: 11, distance 15.185269
Analysed days: 19, Interpolated Closest Days: 11, distance 15.270571
Analysed days: 19, Interpolated Closest Days: 12, distance 15.270571
Analysed days: 19, Interpolated Closest Days: 13, distance 15.270571
Analysed days: 19, Interpolated Closest Days: 14, distance 15.270571
Analysed days: 19, Interpolated Closest Days: 15, distance 15.270571
Analysed days: 19, Interpolated Closest Days: 16, distance 15.270571
Analysed days: 19, Interpolated Closest Days: 17, distance 15.270571
Analysed days: 19, Interpolated Closest Days: 18, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 11, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 12, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 13, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 14, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 15, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 16, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 17, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 18, distance 15.270571
Analysed days: 20, Interpolated Closest Days: 19, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 11, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 12, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 13, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 14, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 15, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 16, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 17, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 18, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 19, distance 15.270571
Analysed days: 21, Interpolated Closest Days: 20, distance 15.270571
Analysed days: 22, Interpolated Closest Days: 8, distance 15.318322
Analysed days: 24, Interpolated Closest Days: 12, distance 15.323503
Analysed days: 8, Interpolated Closest Days: 4, distance 15.333874
Analysed days: 8, Interpolated Closest Days: 5, distance 15.333874
Analysed days: 8, Interpolated Closest Days: 6, distance 15.333874
Analysed days: 8, Interpolated Closest Days: 7, distance 15.333874
