Linear Interpolation Prediction for IRBT from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 28, Interpolated Closest Days: 3, distance 25.642779
Analysed days: 29, Interpolated Closest Days: 3, distance 25.642779
Analysed days: 28, Interpolated Closest Days: 4, distance 25.686027
Analysed days: 29, Interpolated Closest Days: 4, distance 25.686027
Analysed days: 10, Interpolated Closest Days: 6, distance 26.034514
Analysed days: 11, Interpolated Closest Days: 6, distance 26.034514
Analysed days: 12, Interpolated Closest Days: 6, distance 26.034514
Analysed days: 13, Interpolated Closest Days: 6, distance 26.034514
Analysed days: 14, Interpolated Closest Days: 6, distance 26.034514
Analysed days: 15, Interpolated Closest Days: 6, distance 26.034514
Analysed days: 3, Interpolated Closest Days: 1, distance 26.428111
Analysed days: 4, Interpolated Closest Days: 1, distance 26.428111
Analysed days: 5, Interpolated Closest Days: 1, distance 26.428111
Analysed days: 6, Interpolated Closest Days: 1, distance 26.428111
Analysed days: 7, Interpolated Closest Days: 1, distance 26.428111
Analysed days: 28, Interpolated Closest Days: 5, distance 27.424279
Analysed days: 29, Interpolated Closest Days: 5, distance 27.424279
Analysed days: 28, Interpolated Closest Days: 11, distance 28.050668
Analysed days: 10, Interpolated Closest Days: 7, distance 28.235965
Analysed days: 10, Interpolated Closest Days: 8, distance 28.235965
Analysed days: 10, Interpolated Closest Days: 9, distance 28.235965
Analysed days: 11, Interpolated Closest Days: 7, distance 28.235965
Analysed days: 11, Interpolated Closest Days: 8, distance 28.235965
Analysed days: 11, Interpolated Closest Days: 9, distance 28.235965
Analysed days: 11, Interpolated Closest Days: 10, distance 28.235965
Analysed days: 12, Interpolated Closest Days: 7, distance 28.235965
Analysed days: 12, Interpolated Closest Days: 8, distance 28.235965
Analysed days: 12, Interpolated Closest Days: 9, distance 28.235965
Analysed days: 12, Interpolated Closest Days: 10, distance 28.235965
Analysed days: 12, Interpolated Closest Days: 11, distance 28.235965
Analysed days: 13, Interpolated Closest Days: 7, distance 28.235965
Analysed days: 13, Interpolated Closest Days: 8, distance 28.235965
Analysed days: 13, Interpolated Closest Days: 9, distance 28.235965
Analysed days: 13, Interpolated Closest Days: 10, distance 28.235965
Analysed days: 13, Interpolated Closest Days: 11, distance 28.235965
Analysed days: 13, Interpolated Closest Days: 12, distance 28.235965
Analysed days: 14, Interpolated Closest Days: 7, distance 28.235965
Analysed days: 15, Interpolated Closest Days: 7, distance 28.235965
Analysed days: 29, Interpolated Closest Days: 12, distance 28.332368
Analysed days: 8, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 9, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 10, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 11, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 12, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 13, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 14, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 15, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 16, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 17, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 18, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 19, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 20, Interpolated Closest Days: 2, distance 28.502046
Analysed days: 28, Interpolated Closest Days: 12, distance 28.567150
Analysed days: 29, Interpolated Closest Days: 13, distance 28.795517
Analysed days: 28, Interpolated Closest Days: 6, distance 29.233792
Analysed days: 29, Interpolated Closest Days: 6, distance 29.233792
Analysed days: 14, Interpolated Closest Days: 8, distance 29.250496
Analysed days: 14, Interpolated Closest Days: 9, distance 29.250496
Analysed days: 14, Interpolated Closest Days: 10, distance 29.250496
Analysed days: 14, Interpolated Closest Days: 11, distance 29.250496
Analysed days: 14, Interpolated Closest Days: 12, distance 29.250496
Analysed days: 14, Interpolated Closest Days: 13, distance 29.250496
Analysed days: 15, Interpolated Closest Days: 8, distance 29.250496
Analysed days: 15, Interpolated Closest Days: 9, distance 29.250496
Analysed days: 15, Interpolated Closest Days: 10, distance 29.250496
Analysed days: 15, Interpolated Closest Days: 11, distance 29.250496
Analysed days: 15, Interpolated Closest Days: 12, distance 29.250496
Analysed days: 15, Interpolated Closest Days: 13, distance 29.250496
Analysed days: 15, Interpolated Closest Days: 14, distance 29.250496
Analysed days: 18, Interpolated Closest Days: 9, distance 29.337155
Analysed days: 19, Interpolated Closest Days: 9, distance 29.337155
Analysed days: 20, Interpolated Closest Days: 9, distance 29.337155
Analysed days: 3, Interpolated Closest Days: 2, distance 29.488037
Analysed days: 4, Interpolated Closest Days: 2, distance 29.603204
