Linear Interpolation Prediction for IVITF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 29, Interpolated Closest Days: 6, distance 0.433932
Analysed days: 29, Interpolated Closest Days: 7, distance 0.435898
Analysed days: 11, Interpolated Closest Days: 6, distance 0.452220
Analysed days: 11, Interpolated Closest Days: 7, distance 0.452220
Analysed days: 11, Interpolated Closest Days: 8, distance 0.452220
Analysed days: 11, Interpolated Closest Days: 9, distance 0.452220
Analysed days: 11, Interpolated Closest Days: 10, distance 0.452220
Analysed days: 12, Interpolated Closest Days: 6, distance 0.452220
Analysed days: 12, Interpolated Closest Days: 7, distance 0.452220
Analysed days: 12, Interpolated Closest Days: 8, distance 0.452220
Analysed days: 12, Interpolated Closest Days: 9, distance 0.452220
Analysed days: 12, Interpolated Closest Days: 10, distance 0.452220
Analysed days: 12, Interpolated Closest Days: 11, distance 0.452220
Analysed days: 13, Interpolated Closest Days: 6, distance 0.452220
Analysed days: 13, Interpolated Closest Days: 7, distance 0.452220
Analysed days: 13, Interpolated Closest Days: 8, distance 0.452220
Analysed days: 13, Interpolated Closest Days: 9, distance 0.452220
Analysed days: 13, Interpolated Closest Days: 10, distance 0.452220
Analysed days: 13, Interpolated Closest Days: 11, distance 0.452220
Analysed days: 13, Interpolated Closest Days: 12, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 6, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 7, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 8, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 9, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 10, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 11, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 12, distance 0.452220
Analysed days: 14, Interpolated Closest Days: 13, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 6, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 7, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 8, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 9, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 10, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 11, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 12, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 13, distance 0.452220
Analysed days: 15, Interpolated Closest Days: 14, distance 0.452220
Analysed days: 16, Interpolated Closest Days: 7, distance 0.469299
