Linear Interpolation Prediction for JD from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 10, Interpolated Closest Days: 1, distance 9.297671
Analysed days: 11, Interpolated Closest Days: 1, distance 9.297671
Analysed days: 12, Interpolated Closest Days: 1, distance 9.297671
Analysed days: 13, Interpolated Closest Days: 1, distance 9.297671
Analysed days: 14, Interpolated Closest Days: 1, distance 9.297671
Analysed days: 15, Interpolated Closest Days: 1, distance 9.297671
Analysed days: 10, Interpolated Closest Days: 2, distance 10.750475
Analysed days: 22, Interpolated Closest Days: 4, distance 11.866661
Analysed days: 23, Interpolated Closest Days: 4, distance 11.866661
Analysed days: 24, Interpolated Closest Days: 4, distance 11.866661
Analysed days: 25, Interpolated Closest Days: 4, distance 11.866661
Analysed days: 26, Interpolated Closest Days: 4, distance 11.866661
Analysed days: 27, Interpolated Closest Days: 4, distance 11.866661
Analysed days: 28, Interpolated Closest Days: 4, distance 11.866661
Analysed days: 8, Interpolated Closest Days: 1, distance 12.429900
Analysed days: 9, Interpolated Closest Days: 1, distance 12.429900
Analysed days: 22, Interpolated Closest Days: 5, distance 12.573732
Analysed days: 23, Interpolated Closest Days: 5, distance 12.573732
Analysed days: 24, Interpolated Closest Days: 5, distance 12.573732
Analysed days: 25, Interpolated Closest Days: 5, distance 12.573732
Analysed days: 26, Interpolated Closest Days: 5, distance 12.573732
Analysed days: 27, Interpolated Closest Days: 5, distance 12.573732
Analysed days: 28, Interpolated Closest Days: 5, distance 12.573732
Analysed days: 22, Interpolated Closest Days: 3, distance 12.811109
Analysed days: 23, Interpolated Closest Days: 3, distance 12.811109
Analysed days: 24, Interpolated Closest Days: 3, distance 12.811109
Analysed days: 25, Interpolated Closest Days: 3, distance 12.811109
Analysed days: 26, Interpolated Closest Days: 3, distance 12.811109
Analysed days: 27, Interpolated Closest Days: 3, distance 12.811109
Analysed days: 28, Interpolated Closest Days: 3, distance 12.811109
Analysed days: 29, Interpolated Closest Days: 5, distance 13.061685
Analysed days: 2, Interpolated Closest Days: 1, distance 13.258459
Analysed days: 16, Interpolated Closest Days: 2, distance 13.298691
Analysed days: 17, Interpolated Closest Days: 2, distance 13.298691
Analysed days: 18, Interpolated Closest Days: 2, distance 13.298691
Analysed days: 29, Interpolated Closest Days: 6, distance 13.463162
Analysed days: 19, Interpolated Closest Days: 3, distance 13.549234
Analysed days: 20, Interpolated Closest Days: 3, distance 13.549234
Analysed days: 21, Interpolated Closest Days: 3, distance 13.549234
Analysed days: 22, Interpolated Closest Days: 7, distance 14.018872
Analysed days: 23, Interpolated Closest Days: 7, distance 14.018872
Analysed days: 24, Interpolated Closest Days: 7, distance 14.018872
Analysed days: 25, Interpolated Closest Days: 7, distance 14.018872
Analysed days: 26, Interpolated Closest Days: 7, distance 14.018872
Analysed days: 27, Interpolated Closest Days: 7, distance 14.018872
Analysed days: 28, Interpolated Closest Days: 7, distance 14.018872
Analysed days: 19, Interpolated Closest Days: 4, distance 14.039414
Analysed days: 20, Interpolated Closest Days: 4, distance 14.039414
Analysed days: 21, Interpolated Closest Days: 4, distance 14.039414
Analysed days: 29, Interpolated Closest Days: 4, distance 14.040344
Analysed days: 18, Interpolated Closest Days: 3, distance 14.043349
Analysed days: 25, Interpolated Closest Days: 17, distance 14.193400
Analysed days: 25, Interpolated Closest Days: 18, distance 14.193400
Analysed days: 25, Interpolated Closest Days: 19, distance 14.193400
Analysed days: 25, Interpolated Closest Days: 20, distance 14.193400
Analysed days: 25, Interpolated Closest Days: 21, distance 14.193400
Analysed days: 25, Interpolated Closest Days: 22, distance 14.193400
Analysed days: 25, Interpolated Closest Days: 23, distance 14.193400
Analysed days: 25, Interpolated Closest Days: 24, distance 14.193400
Analysed days: 26, Interpolated Closest Days: 17, distance 14.193400
Analysed days: 26, Interpolated Closest Days: 18, distance 14.193400
Analysed days: 26, Interpolated Closest Days: 19, distance 14.193400
Analysed days: 26, Interpolated Closest Days: 20, distance 14.193400
Analysed days: 26, Interpolated Closest Days: 21, distance 14.193400
