Linear Interpolation Prediction for KMI from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 11, Interpolated Closest Days: 4, distance 0.467784
Analysed days: 12, Interpolated Closest Days: 4, distance 0.467784
Analysed days: 13, Interpolated Closest Days: 4, distance 0.467784
Analysed days: 14, Interpolated Closest Days: 4, distance 0.467784
Analysed days: 15, Interpolated Closest Days: 4, distance 0.467784
Analysed days: 11, Interpolated Closest Days: 6, distance 0.555809
Analysed days: 12, Interpolated Closest Days: 6, distance 0.555809
Analysed days: 13, Interpolated Closest Days: 6, distance 0.555809
Analysed days: 14, Interpolated Closest Days: 6, distance 0.555809
Analysed days: 15, Interpolated Closest Days: 6, distance 0.555809
Analysed days: 16, Interpolated Closest Days: 4, distance 0.559621
Analysed days: 11, Interpolated Closest Days: 5, distance 0.619501
Analysed days: 12, Interpolated Closest Days: 5, distance 0.619501
Analysed days: 13, Interpolated Closest Days: 5, distance 0.619501
Analysed days: 14, Interpolated Closest Days: 5, distance 0.619501
Analysed days: 15, Interpolated Closest Days: 5, distance 0.619501
Analysed days: 17, Interpolated Closest Days: 5, distance 0.639342
Analysed days: 4, Interpolated Closest Days: 3, distance 0.657605
Analysed days: 29, Interpolated Closest Days: 1, distance 0.733127
Analysed days: 11, Interpolated Closest Days: 7, distance 0.786939
Analysed days: 12, Interpolated Closest Days: 7, distance 0.786939
Analysed days: 13, Interpolated Closest Days: 7, distance 0.786939
Analysed days: 14, Interpolated Closest Days: 7, distance 0.786939
Analysed days: 15, Interpolated Closest Days: 7, distance 0.786939
Analysed days: 5, Interpolated Closest Days: 3, distance 0.818660
Analysed days: 6, Interpolated Closest Days: 3, distance 0.818660
Analysed days: 7, Interpolated Closest Days: 3, distance 0.818660
Analysed days: 8, Interpolated Closest Days: 3, distance 0.818660
Analysed days: 9, Interpolated Closest Days: 3, distance 0.818660
Analysed days: 10, Interpolated Closest Days: 3, distance 0.818660
Analysed days: 29, Interpolated Closest Days: 9, distance 0.831291
Analysed days: 23, Interpolated Closest Days: 8, distance 0.863570
Analysed days: 24, Interpolated Closest Days: 8, distance 0.863570
Analysed days: 25, Interpolated Closest Days: 8, distance 0.863570
Analysed days: 26, Interpolated Closest Days: 8, distance 0.863570
Analysed days: 27, Interpolated Closest Days: 8, distance 0.863570
Analysed days: 28, Interpolated Closest Days: 8, distance 0.863570
Analysed days: 18, Interpolated Closest Days: 6, distance 0.864918
Analysed days: 29, Interpolated Closest Days: 3, distance 0.882662
Analysed days: 11, Interpolated Closest Days: 8, distance 0.883937
Analysed days: 11, Interpolated Closest Days: 9, distance 0.883937
Analysed days: 11, Interpolated Closest Days: 10, distance 0.883937
Analysed days: 12, Interpolated Closest Days: 8, distance 0.883937
Analysed days: 12, Interpolated Closest Days: 9, distance 0.883937
Analysed days: 12, Interpolated Closest Days: 10, distance 0.883937
Analysed days: 12, Interpolated Closest Days: 11, distance 0.883937
Analysed days: 13, Interpolated Closest Days: 8, distance 0.883937
Analysed days: 13, Interpolated Closest Days: 9, distance 0.883937
Analysed days: 13, Interpolated Closest Days: 10, distance 0.883937
Analysed days: 13, Interpolated Closest Days: 11, distance 0.883937
Analysed days: 13, Interpolated Closest Days: 12, distance 0.883937
Analysed days: 14, Interpolated Closest Days: 8, distance 0.883937
Analysed days: 14, Interpolated Closest Days: 9, distance 0.883937
Analysed days: 14, Interpolated Closest Days: 10, distance 0.883937
Analysed days: 14, Interpolated Closest Days: 11, distance 0.883937
Analysed days: 14, Interpolated Closest Days: 12, distance 0.883937
Analysed days: 14, Interpolated Closest Days: 13, distance 0.883937
Analysed days: 15, Interpolated Closest Days: 8, distance 0.901740
Analysed days: 8, Interpolated Closest Days: 5, distance 0.960894
Analysed days: 8, Interpolated Closest Days: 6, distance 0.960894
Analysed days: 8, Interpolated Closest Days: 7, distance 0.960894
Analysed days: 9, Interpolated Closest Days: 5, distance 0.960894
Analysed days: 10, Interpolated Closest Days: 5, distance 0.960894
Analysed days: 15, Interpolated Closest Days: 9, distance 0.984562
Analysed days: 15, Interpolated Closest Days: 10, distance 0.984562
Analysed days: 15, Interpolated Closest Days: 11, distance 0.984562
Analysed days: 15, Interpolated Closest Days: 12, distance 0.984562
Analysed days: 15, Interpolated Closest Days: 13, distance 0.984562
Analysed days: 15, Interpolated Closest Days: 14, distance 0.984562
Analysed days: 3, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 4, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 5, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 6, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 7, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 8, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 9, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 10, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 11, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 12, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 13, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 14, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 15, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 16, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 17, Interpolated Closest Days: 1, distance 0.987978
Analysed days: 19, Interpolated Closest Days: 7, distance 1.040691
Analysed days: 20, Interpolated Closest Days: 7, distance 1.040691
Analysed days: 21, Interpolated Closest Days: 7, distance 1.040691
Analysed days: 22, Interpolated Closest Days: 7, distance 1.040691
Analysed days: 18, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 19, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 20, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 21, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 22, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 23, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 24, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 25, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 26, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 27, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 28, Interpolated Closest Days: 2, distance 1.053374
Analysed days: 9, Interpolated Closest Days: 6, distance 1.079736
Analysed days: 9, Interpolated Closest Days: 7, distance 1.079736
Analysed days: 9, Interpolated Closest Days: 8, distance 1.079736
Analysed days: 29, Interpolated Closest Days: 11, distance 1.120664
