Linear Interpolation Prediction for LEAF.TO from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 15, Interpolated Closest Days: 10, distance 3.318328
Analysed days: 15, Interpolated Closest Days: 11, distance 3.318328
Analysed days: 15, Interpolated Closest Days: 12, distance 3.318328
Analysed days: 15, Interpolated Closest Days: 13, distance 3.318328
Analysed days: 15, Interpolated Closest Days: 14, distance 3.318328
Analysed days: 16, Interpolated Closest Days: 11, distance 3.364790
Analysed days: 16, Interpolated Closest Days: 12, distance 3.364790
Analysed days: 16, Interpolated Closest Days: 13, distance 3.364790
Analysed days: 16, Interpolated Closest Days: 14, distance 3.364790
Analysed days: 16, Interpolated Closest Days: 15, distance 3.364790
Analysed days: 17, Interpolated Closest Days: 12, distance 3.531274
Analysed days: 17, Interpolated Closest Days: 13, distance 3.531274
Analysed days: 17, Interpolated Closest Days: 14, distance 3.531274
Analysed days: 17, Interpolated Closest Days: 15, distance 3.531274
Analysed days: 17, Interpolated Closest Days: 16, distance 3.531274
Analysed days: 25, Interpolated Closest Days: 18, distance 4.212217
Analysed days: 25, Interpolated Closest Days: 19, distance 4.212217
Analysed days: 25, Interpolated Closest Days: 20, distance 4.212217
Analysed days: 25, Interpolated Closest Days: 21, distance 4.212217
Analysed days: 25, Interpolated Closest Days: 22, distance 4.212217
Analysed days: 25, Interpolated Closest Days: 23, distance 4.212217
Analysed days: 25, Interpolated Closest Days: 24, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 18, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 19, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 20, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 21, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 22, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 23, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 24, distance 4.212217
Analysed days: 26, Interpolated Closest Days: 25, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 18, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 19, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 20, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 21, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 22, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 23, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 24, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 25, distance 4.212217
Analysed days: 27, Interpolated Closest Days: 26, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 18, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 19, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 20, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 21, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 22, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 23, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 24, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 25, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 26, distance 4.212217
Analysed days: 28, Interpolated Closest Days: 27, distance 4.212217
Analysed days: 23, Interpolated Closest Days: 16, distance 4.312776
Analysed days: 23, Interpolated Closest Days: 17, distance 4.312776
Analysed days: 23, Interpolated Closest Days: 18, distance 4.312776
Analysed days: 23, Interpolated Closest Days: 19, distance 4.312776
Analysed days: 23, Interpolated Closest Days: 20, distance 4.312776
Analysed days: 23, Interpolated Closest Days: 21, distance 4.312776
Analysed days: 23, Interpolated Closest Days: 22, distance 4.312776
Analysed days: 22, Interpolated Closest Days: 15, distance 4.361019
Analysed days: 22, Interpolated Closest Days: 16, distance 4.361019
Analysed days: 22, Interpolated Closest Days: 17, distance 4.361019
Analysed days: 22, Interpolated Closest Days: 18, distance 4.361019
Analysed days: 22, Interpolated Closest Days: 19, distance 4.361019
Analysed days: 22, Interpolated Closest Days: 20, distance 4.361019
Analysed days: 22, Interpolated Closest Days: 21, distance 4.361019
Analysed days: 24, Interpolated Closest Days: 17, distance 4.391493
Analysed days: 24, Interpolated Closest Days: 18, distance 4.391493
Analysed days: 24, Interpolated Closest Days: 19, distance 4.391493
Analysed days: 24, Interpolated Closest Days: 20, distance 4.391493
Analysed days: 24, Interpolated Closest Days: 21, distance 4.391493
Analysed days: 24, Interpolated Closest Days: 22, distance 4.391493
Analysed days: 24, Interpolated Closest Days: 23, distance 4.391493
Analysed days: 18, Interpolated Closest Days: 13, distance 4.493308
Analysed days: 18, Interpolated Closest Days: 14, distance 4.493308
Analysed days: 18, Interpolated Closest Days: 15, distance 4.493308
Analysed days: 18, Interpolated Closest Days: 16, distance 4.493308
Analysed days: 18, Interpolated Closest Days: 17, distance 4.493308
Analysed days: 10, Interpolated Closest Days: 7, distance 4.570973
Analysed days: 10, Interpolated Closest Days: 8, distance 4.570973
Analysed days: 10, Interpolated Closest Days: 9, distance 4.570973
Analysed days: 29, Interpolated Closest Days: 19, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 20, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 21, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 22, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 23, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 24, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 25, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 26, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 27, distance 4.618348
Analysed days: 29, Interpolated Closest Days: 28, distance 4.618348
Analysed days: 8, Interpolated Closest Days: 5, distance 4.699717
Analysed days: 8, Interpolated Closest Days: 6, distance 4.699717
Analysed days: 8, Interpolated Closest Days: 7, distance 4.699717
Analysed days: 16, Interpolated Closest Days: 7, distance 4.785586
Analysed days: 17, Interpolated Closest Days: 7, distance 4.785586
Analysed days: 18, Interpolated Closest Days: 7, distance 4.785586
