Linear Interpolation Prediction for LMT from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 2, Interpolated Closest Days: 1, distance 43.490739
Analysed days: 3, Interpolated Closest Days: 1, distance 43.490739
Analysed days: 4, Interpolated Closest Days: 1, distance 43.490739
Analysed days: 18, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 19, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 20, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 21, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 22, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 23, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 24, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 25, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 26, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 27, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 28, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 29, Interpolated Closest Days: 1, distance 49.644420
Analysed days: 29, Interpolated Closest Days: 16, distance 51.088320
Analysed days: 29, Interpolated Closest Days: 15, distance 51.498337
Analysed days: 29, Interpolated Closest Days: 17, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 18, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 19, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 20, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 21, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 22, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 23, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 24, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 25, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 26, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 27, distance 51.507143
Analysed days: 29, Interpolated Closest Days: 28, distance 51.507143
Analysed days: 10, Interpolated Closest Days: 5, distance 51.532442
Analysed days: 24, Interpolated Closest Days: 14, distance 51.672532
Analysed days: 25, Interpolated Closest Days: 15, distance 51.674639
Analysed days: 26, Interpolated Closest Days: 15, distance 51.674639
Analysed days: 27, Interpolated Closest Days: 15, distance 51.674639
Analysed days: 28, Interpolated Closest Days: 15, distance 51.674639
Analysed days: 3, Interpolated Closest Days: 2, distance 51.966761
Analysed days: 4, Interpolated Closest Days: 2, distance 51.966761
Analysed days: 4, Interpolated Closest Days: 3, distance 51.966761
Analysed days: 25, Interpolated Closest Days: 16, distance 52.103489
Analysed days: 25, Interpolated Closest Days: 17, distance 52.103489
Analysed days: 25, Interpolated Closest Days: 18, distance 52.103489
