Linear Interpolation Prediction for MEDFF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 16, Interpolated Closest Days: 9, distance 2.463495
Analysed days: 16, Interpolated Closest Days: 10, distance 2.463495
Analysed days: 16, Interpolated Closest Days: 11, distance 2.463495
Analysed days: 16, Interpolated Closest Days: 12, distance 2.463495
Analysed days: 16, Interpolated Closest Days: 13, distance 2.463495
Analysed days: 16, Interpolated Closest Days: 14, distance 2.463495
Analysed days: 16, Interpolated Closest Days: 15, distance 2.463495
Analysed days: 15, Interpolated Closest Days: 8, distance 2.501194
Analysed days: 15, Interpolated Closest Days: 9, distance 2.501194
Analysed days: 15, Interpolated Closest Days: 10, distance 2.501194
Analysed days: 15, Interpolated Closest Days: 11, distance 2.501194
Analysed days: 15, Interpolated Closest Days: 12, distance 2.501194
Analysed days: 15, Interpolated Closest Days: 13, distance 2.501194
Analysed days: 15, Interpolated Closest Days: 14, distance 2.501194
Analysed days: 17, Interpolated Closest Days: 10, distance 2.629206
Analysed days: 17, Interpolated Closest Days: 11, distance 2.629206
Analysed days: 17, Interpolated Closest Days: 12, distance 2.629206
Analysed days: 17, Interpolated Closest Days: 13, distance 2.629206
Analysed days: 17, Interpolated Closest Days: 14, distance 2.629206
Analysed days: 17, Interpolated Closest Days: 15, distance 2.629206
Analysed days: 17, Interpolated Closest Days: 16, distance 2.629206
Analysed days: 23, Interpolated Closest Days: 14, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 15, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 16, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 17, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 18, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 19, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 20, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 21, distance 2.993122
Analysed days: 23, Interpolated Closest Days: 22, distance 2.993122
Analysed days: 25, Interpolated Closest Days: 16, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 17, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 18, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 19, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 20, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 21, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 22, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 23, distance 3.021456
Analysed days: 25, Interpolated Closest Days: 24, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 16, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 17, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 18, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 19, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 20, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 21, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 22, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 23, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 24, distance 3.021456
Analysed days: 26, Interpolated Closest Days: 25, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 16, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 17, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 18, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 19, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 20, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 21, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 22, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 23, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 24, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 25, distance 3.021456
Analysed days: 27, Interpolated Closest Days: 26, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 16, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 17, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 18, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 19, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 20, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 21, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 22, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 23, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 24, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 25, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 26, distance 3.021456
Analysed days: 28, Interpolated Closest Days: 27, distance 3.021456
Analysed days: 22, Interpolated Closest Days: 13, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 14, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 15, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 16, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 17, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 18, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 19, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 20, distance 3.027073
Analysed days: 22, Interpolated Closest Days: 21, distance 3.027073
Analysed days: 24, Interpolated Closest Days: 15, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 16, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 17, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 18, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 19, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 20, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 21, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 22, distance 3.088542
Analysed days: 24, Interpolated Closest Days: 23, distance 3.088542
Analysed days: 18, Interpolated Closest Days: 11, distance 3.149236
Analysed days: 18, Interpolated Closest Days: 12, distance 3.149236
Analysed days: 18, Interpolated Closest Days: 13, distance 3.149236
Analysed days: 18, Interpolated Closest Days: 14, distance 3.149236
Analysed days: 18, Interpolated Closest Days: 15, distance 3.149236
Analysed days: 18, Interpolated Closest Days: 16, distance 3.149236
Analysed days: 18, Interpolated Closest Days: 17, distance 3.149236
Analysed days: 25, Interpolated Closest Days: 14, distance 3.284564
Analysed days: 26, Interpolated Closest Days: 14, distance 3.284564
Analysed days: 27, Interpolated Closest Days: 14, distance 3.284564
Analysed days: 28, Interpolated Closest Days: 14, distance 3.284564
Analysed days: 19, Interpolated Closest Days: 12, distance 3.322952
Analysed days: 19, Interpolated Closest Days: 13, distance 3.322952
Analysed days: 19, Interpolated Closest Days: 14, distance 3.322952
Analysed days: 19, Interpolated Closest Days: 15, distance 3.322952
Analysed days: 19, Interpolated Closest Days: 16, distance 3.322952
Analysed days: 19, Interpolated Closest Days: 17, distance 3.322952
Analysed days: 19, Interpolated Closest Days: 18, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 12, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 13, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 14, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 15, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 16, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 17, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 18, distance 3.322952
Analysed days: 20, Interpolated Closest Days: 19, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 12, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 13, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 14, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 15, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 16, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 17, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 18, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 19, distance 3.322952
Analysed days: 21, Interpolated Closest Days: 20, distance 3.322952
Analysed days: 29, Interpolated Closest Days: 17, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 18, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 19, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 20, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 21, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 22, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 23, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 24, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 25, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 26, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 27, distance 3.343702
Analysed days: 29, Interpolated Closest Days: 28, distance 3.343702
Analysed days: 25, Interpolated Closest Days: 12, distance 3.424755
Analysed days: 26, Interpolated Closest Days: 12, distance 3.424755
Analysed days: 27, Interpolated Closest Days: 12, distance 3.424755
Analysed days: 28, Interpolated Closest Days: 12, distance 3.424755
Analysed days: 25, Interpolated Closest Days: 11, distance 3.452265
Analysed days: 26, Interpolated Closest Days: 11, distance 3.452265
Analysed days: 27, Interpolated Closest Days: 11, distance 3.452265
Analysed days: 28, Interpolated Closest Days: 11, distance 3.452265
Analysed days: 25, Interpolated Closest Days: 13, distance 3.513623
Analysed days: 26, Interpolated Closest Days: 13, distance 3.513623
Analysed days: 27, Interpolated Closest Days: 13, distance 3.513623
Analysed days: 28, Interpolated Closest Days: 13, distance 3.513623
Analysed days: 25, Interpolated Closest Days: 9, distance 3.559236
Analysed days: 26, Interpolated Closest Days: 9, distance 3.559236
Analysed days: 27, Interpolated Closest Days: 9, distance 3.559236
Analysed days: 28, Interpolated Closest Days: 9, distance 3.559236
Analysed days: 8, Interpolated Closest Days: 5, distance 3.582342
Analysed days: 8, Interpolated Closest Days: 6, distance 3.582342
Analysed days: 8, Interpolated Closest Days: 7, distance 3.582342
Analysed days: 23, Interpolated Closest Days: 12, distance 3.583076
Analysed days: 24, Interpolated Closest Days: 13, distance 3.588431
Analysed days: 25, Interpolated Closest Days: 15, distance 3.602593
Analysed days: 26, Interpolated Closest Days: 15, distance 3.602593
