Linear Interpolation Prediction for MKL from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 24, Interpolated Closest Days: 2, distance 34.761556
Analysed days: 25, Interpolated Closest Days: 2, distance 34.761556
Analysed days: 26, Interpolated Closest Days: 2, distance 34.761556
Analysed days: 27, Interpolated Closest Days: 2, distance 34.761556
Analysed days: 28, Interpolated Closest Days: 2, distance 34.761556
Analysed days: 29, Interpolated Closest Days: 2, distance 34.761556
Analysed days: 17, Interpolated Closest Days: 7, distance 35.963146
Analysed days: 17, Interpolated Closest Days: 6, distance 37.218993
Analysed days: 17, Interpolated Closest Days: 8, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 9, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 10, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 11, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 12, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 13, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 14, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 15, distance 38.370394
Analysed days: 17, Interpolated Closest Days: 16, distance 38.370394
Analysed days: 18, Interpolated Closest Days: 8, distance 38.768704
Analysed days: 17, Interpolated Closest Days: 5, distance 39.828771
Analysed days: 18, Interpolated Closest Days: 7, distance 40.868202
Analysed days: 18, Interpolated Closest Days: 6, distance 41.786203
Analysed days: 11, Interpolated Closest Days: 6, distance 42.535231
Analysed days: 11, Interpolated Closest Days: 7, distance 42.535231
Analysed days: 11, Interpolated Closest Days: 8, distance 42.535231
Analysed days: 11, Interpolated Closest Days: 9, distance 42.535231
Analysed days: 11, Interpolated Closest Days: 10, distance 42.535231
Analysed days: 12, Interpolated Closest Days: 6, distance 42.535231
Analysed days: 12, Interpolated Closest Days: 7, distance 42.535231
Analysed days: 12, Interpolated Closest Days: 8, distance 42.535231
Analysed days: 12, Interpolated Closest Days: 9, distance 42.535231
Analysed days: 12, Interpolated Closest Days: 10, distance 42.535231
Analysed days: 12, Interpolated Closest Days: 11, distance 42.535231
Analysed days: 13, Interpolated Closest Days: 6, distance 42.535231
