Linear Interpolation Prediction for NDAQ from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 9, Interpolated Closest Days: 5, distance 5.054820
Analysed days: 9, Interpolated Closest Days: 6, distance 5.054820
Analysed days: 9, Interpolated Closest Days: 7, distance 5.054820
Analysed days: 9, Interpolated Closest Days: 8, distance 5.054820
Analysed days: 10, Interpolated Closest Days: 5, distance 5.054820
Analysed days: 10, Interpolated Closest Days: 6, distance 5.054820
Analysed days: 10, Interpolated Closest Days: 7, distance 5.054820
Analysed days: 10, Interpolated Closest Days: 8, distance 5.054820
Analysed days: 10, Interpolated Closest Days: 9, distance 5.054820
Analysed days: 5, Interpolated Closest Days: 3, distance 5.616297
Analysed days: 5, Interpolated Closest Days: 4, distance 5.616297
Analysed days: 6, Interpolated Closest Days: 3, distance 5.616297
Analysed days: 6, Interpolated Closest Days: 4, distance 5.616297
Analysed days: 6, Interpolated Closest Days: 5, distance 5.616297
Analysed days: 7, Interpolated Closest Days: 3, distance 5.616297
Analysed days: 7, Interpolated Closest Days: 4, distance 5.616297
Analysed days: 7, Interpolated Closest Days: 5, distance 5.616297
Analysed days: 7, Interpolated Closest Days: 6, distance 5.616297
Analysed days: 8, Interpolated Closest Days: 4, distance 5.668278
Analysed days: 8, Interpolated Closest Days: 5, distance 5.668278
Analysed days: 8, Interpolated Closest Days: 6, distance 5.668278
Analysed days: 8, Interpolated Closest Days: 7, distance 5.668278
Analysed days: 9, Interpolated Closest Days: 4, distance 5.668278
Analysed days: 10, Interpolated Closest Days: 4, distance 5.668278
Analysed days: 4, Interpolated Closest Days: 2, distance 6.022100
Analysed days: 4, Interpolated Closest Days: 3, distance 6.022100
Analysed days: 8, Interpolated Closest Days: 2, distance 6.022799
Analysed days: 9, Interpolated Closest Days: 2, distance 6.022799
Analysed days: 10, Interpolated Closest Days: 2, distance 6.022799
Analysed days: 8, Interpolated Closest Days: 3, distance 6.104084
Analysed days: 9, Interpolated Closest Days: 3, distance 6.104084
Analysed days: 10, Interpolated Closest Days: 3, distance 6.104084
Analysed days: 5, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 6, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 7, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 8, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 9, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 10, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 11, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 12, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 13, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 14, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 15, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 16, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 17, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 18, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 19, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 20, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 21, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 22, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 23, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 24, Interpolated Closest Days: 1, distance 6.169823
Analysed days: 5, Interpolated Closest Days: 2, distance 6.207641
Analysed days: 6, Interpolated Closest Days: 2, distance 6.207641
Analysed days: 7, Interpolated Closest Days: 2, distance 6.207641
Analysed days: 24, Interpolated Closest Days: 13, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 14, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 15, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 16, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 17, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 18, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 19, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 20, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 21, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 22, distance 6.216022
Analysed days: 24, Interpolated Closest Days: 23, distance 6.216022
Analysed days: 29, Interpolated Closest Days: 15, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 16, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 17, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 18, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 19, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 20, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 21, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 22, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 23, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 24, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 25, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 26, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 27, distance 6.314881
Analysed days: 29, Interpolated Closest Days: 28, distance 6.314881
Analysed days: 25, Interpolated Closest Days: 14, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 15, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 16, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 17, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 18, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 19, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 20, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 21, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 22, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 23, distance 6.330629
Analysed days: 25, Interpolated Closest Days: 24, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 14, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 15, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 16, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 17, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 18, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 19, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 20, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 21, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 22, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 23, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 24, distance 6.330629
Analysed days: 26, Interpolated Closest Days: 25, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 14, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 15, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 16, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 17, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 18, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 19, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 20, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 21, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 22, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 23, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 24, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 25, distance 6.330629
Analysed days: 27, Interpolated Closest Days: 26, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 14, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 15, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 16, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 17, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 18, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 19, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 20, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 21, distance 6.330629
Analysed days: 28, Interpolated Closest Days: 22, distance 6.330629
