Linear Interpolation Prediction for NFLX from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 23, Interpolated Closest Days: 4, distance 15.890698
Analysed days: 29, Interpolated Closest Days: 4, distance 16.115878
Analysed days: 23, Interpolated Closest Days: 3, distance 16.472639
Analysed days: 24, Interpolated Closest Days: 3, distance 16.472639
Analysed days: 25, Interpolated Closest Days: 3, distance 16.472639
Analysed days: 26, Interpolated Closest Days: 3, distance 16.472639
Analysed days: 27, Interpolated Closest Days: 3, distance 16.472639
Analysed days: 28, Interpolated Closest Days: 3, distance 16.472639
Analysed days: 29, Interpolated Closest Days: 6, distance 16.632239
Analysed days: 29, Interpolated Closest Days: 5, distance 16.681697
Analysed days: 23, Interpolated Closest Days: 5, distance 16.953000
Analysed days: 23, Interpolated Closest Days: 6, distance 17.206157
Analysed days: 23, Interpolated Closest Days: 2, distance 17.433917
Analysed days: 24, Interpolated Closest Days: 2, distance 17.433917
Analysed days: 25, Interpolated Closest Days: 2, distance 17.433917
Analysed days: 26, Interpolated Closest Days: 2, distance 17.433917
Analysed days: 27, Interpolated Closest Days: 2, distance 17.433917
Analysed days: 28, Interpolated Closest Days: 2, distance 17.433917
Analysed days: 18, Interpolated Closest Days: 3, distance 17.452246
Analysed days: 19, Interpolated Closest Days: 3, distance 17.452246
Analysed days: 20, Interpolated Closest Days: 3, distance 17.452246
Analysed days: 21, Interpolated Closest Days: 3, distance 17.452246
Analysed days: 22, Interpolated Closest Days: 3, distance 17.452246
Analysed days: 29, Interpolated Closest Days: 3, distance 17.468478
Analysed days: 16, Interpolated Closest Days: 2, distance 17.857196
Analysed days: 17, Interpolated Closest Days: 2, distance 17.857196
Analysed days: 18, Interpolated Closest Days: 2, distance 17.857196
Analysed days: 19, Interpolated Closest Days: 2, distance 17.857196
Analysed days: 20, Interpolated Closest Days: 2, distance 17.857196
Analysed days: 21, Interpolated Closest Days: 2, distance 17.857196
Analysed days: 22, Interpolated Closest Days: 2, distance 17.857196
Analysed days: 29, Interpolated Closest Days: 7, distance 18.031748
Analysed days: 29, Interpolated Closest Days: 8, distance 18.287685
