Linear Interpolation Prediction for NKE from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 29, Interpolated Closest Days: 9, distance 1.957583
Analysed days: 29, Interpolated Closest Days: 8, distance 1.986286
Analysed days: 2, Interpolated Closest Days: 1, distance 2.022580
Analysed days: 15, Interpolated Closest Days: 5, distance 2.231261
Analysed days: 29, Interpolated Closest Days: 6, distance 2.260018
Analysed days: 4, Interpolated Closest Days: 1, distance 2.283723
Analysed days: 5, Interpolated Closest Days: 1, distance 2.283723
Analysed days: 6, Interpolated Closest Days: 1, distance 2.283723
Analysed days: 7, Interpolated Closest Days: 1, distance 2.283723
Analysed days: 8, Interpolated Closest Days: 1, distance 2.283723
Analysed days: 15, Interpolated Closest Days: 7, distance 2.309916
Analysed days: 29, Interpolated Closest Days: 10, distance 2.344186
Analysed days: 15, Interpolated Closest Days: 4, distance 2.399868
Analysed days: 29, Interpolated Closest Days: 14, distance 2.410034
Analysed days: 16, Interpolated Closest Days: 6, distance 2.428135
Analysed days: 17, Interpolated Closest Days: 6, distance 2.428135
Analysed days: 18, Interpolated Closest Days: 6, distance 2.428135
Analysed days: 19, Interpolated Closest Days: 6, distance 2.428135
Analysed days: 20, Interpolated Closest Days: 6, distance 2.428135
Analysed days: 21, Interpolated Closest Days: 6, distance 2.428135
Analysed days: 11, Interpolated Closest Days: 4, distance 2.435943
Analysed days: 12, Interpolated Closest Days: 4, distance 2.435943
Analysed days: 13, Interpolated Closest Days: 4, distance 2.435943
Analysed days: 14, Interpolated Closest Days: 4, distance 2.435943
Analysed days: 11, Interpolated Closest Days: 6, distance 2.441111
Analysed days: 12, Interpolated Closest Days: 6, distance 2.441111
Analysed days: 13, Interpolated Closest Days: 6, distance 2.441111
Analysed days: 14, Interpolated Closest Days: 6, distance 2.441111
Analysed days: 16, Interpolated Closest Days: 8, distance 2.463038
Analysed days: 17, Interpolated Closest Days: 8, distance 2.463038
Analysed days: 18, Interpolated Closest Days: 8, distance 2.463038
Analysed days: 5, Interpolated Closest Days: 4, distance 2.485385
Analysed days: 6, Interpolated Closest Days: 4, distance 2.485385
Analysed days: 6, Interpolated Closest Days: 5, distance 2.485385
Analysed days: 7, Interpolated Closest Days: 4, distance 2.485385
Analysed days: 7, Interpolated Closest Days: 5, distance 2.485385
Analysed days: 7, Interpolated Closest Days: 6, distance 2.485385
Analysed days: 29, Interpolated Closest Days: 13, distance 2.563845
Analysed days: 29, Interpolated Closest Days: 11, distance 2.571789
Analysed days: 16, Interpolated Closest Days: 5, distance 2.574778
Analysed days: 17, Interpolated Closest Days: 5, distance 2.574778
Analysed days: 18, Interpolated Closest Days: 5, distance 2.574778
Analysed days: 19, Interpolated Closest Days: 5, distance 2.574778
Analysed days: 20, Interpolated Closest Days: 5, distance 2.574778
Analysed days: 21, Interpolated Closest Days: 5, distance 2.574778
Analysed days: 25, Interpolated Closest Days: 8, distance 2.606215
Analysed days: 26, Interpolated Closest Days: 8, distance 2.606215
Analysed days: 27, Interpolated Closest Days: 8, distance 2.606215
Analysed days: 28, Interpolated Closest Days: 8, distance 2.606215
Analysed days: 22, Interpolated Closest Days: 7, distance 2.645823
Analysed days: 23, Interpolated Closest Days: 7, distance 2.645823
Analysed days: 24, Interpolated Closest Days: 7, distance 2.645823
Analysed days: 4, Interpolated Closest Days: 3, distance 2.649454
Analysed days: 5, Interpolated Closest Days: 3, distance 2.649454
Analysed days: 6, Interpolated Closest Days: 3, distance 2.649454
Analysed days: 7, Interpolated Closest Days: 3, distance 2.649454
Analysed days: 8, Interpolated Closest Days: 3, distance 2.649454
Analysed days: 15, Interpolated Closest Days: 6, distance 2.666952
Analysed days: 29, Interpolated Closest Days: 16, distance 2.679606
Analysed days: 25, Interpolated Closest Days: 7, distance 2.718094
Analysed days: 26, Interpolated Closest Days: 7, distance 2.718094
Analysed days: 27, Interpolated Closest Days: 7, distance 2.718094
Analysed days: 28, Interpolated Closest Days: 7, distance 2.718094
Analysed days: 19, Interpolated Closest Days: 9, distance 2.739812
Analysed days: 20, Interpolated Closest Days: 9, distance 2.739812
Analysed days: 21, Interpolated Closest Days: 9, distance 2.739812
Analysed days: 29, Interpolated Closest Days: 18, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 19, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 20, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 21, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 22, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 23, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 24, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 25, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 26, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 27, distance 2.740764
Analysed days: 29, Interpolated Closest Days: 28, distance 2.740764
Analysed days: 19, Interpolated Closest Days: 7, distance 2.760848
Analysed days: 20, Interpolated Closest Days: 7, distance 2.760848
Analysed days: 21, Interpolated Closest Days: 7, distance 2.760848
Analysed days: 29, Interpolated Closest Days: 15, distance 2.773871
Analysed days: 29, Interpolated Closest Days: 12, distance 2.774596
Analysed days: 16, Interpolated Closest Days: 7, distance 2.776681
Analysed days: 17, Interpolated Closest Days: 7, distance 2.776681
Analysed days: 18, Interpolated Closest Days: 7, distance 2.776681
Analysed days: 11, Interpolated Closest Days: 3, distance 2.791069
Analysed days: 12, Interpolated Closest Days: 3, distance 2.791069
Analysed days: 13, Interpolated Closest Days: 3, distance 2.791069
