Linear Interpolation Prediction for NMKEF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 15, Interpolated Closest Days: 4, distance 0.170827
Analysed days: 16, Interpolated Closest Days: 4, distance 0.170827
Analysed days: 17, Interpolated Closest Days: 4, distance 0.170827
Analysed days: 18, Interpolated Closest Days: 4, distance 0.170827
Analysed days: 19, Interpolated Closest Days: 5, distance 0.171609
Analysed days: 20, Interpolated Closest Days: 5, distance 0.171609
Analysed days: 21, Interpolated Closest Days: 5, distance 0.171609
Analysed days: 22, Interpolated Closest Days: 5, distance 0.171609
Analysed days: 23, Interpolated Closest Days: 5, distance 0.171609
Analysed days: 19, Interpolated Closest Days: 6, distance 0.188982
Analysed days: 20, Interpolated Closest Days: 6, distance 0.188982
Analysed days: 21, Interpolated Closest Days: 6, distance 0.188982
Analysed days: 24, Interpolated Closest Days: 6, distance 0.189654
Analysed days: 25, Interpolated Closest Days: 6, distance 0.189654
Analysed days: 26, Interpolated Closest Days: 6, distance 0.189654
Analysed days: 27, Interpolated Closest Days: 6, distance 0.189654
Analysed days: 28, Interpolated Closest Days: 6, distance 0.189654
Analysed days: 29, Interpolated Closest Days: 6, distance 0.189654
Analysed days: 19, Interpolated Closest Days: 7, distance 0.189683
Analysed days: 20, Interpolated Closest Days: 7, distance 0.189683
Analysed days: 21, Interpolated Closest Days: 7, distance 0.189683
Analysed days: 22, Interpolated Closest Days: 6, distance 0.190740
Analysed days: 23, Interpolated Closest Days: 6, distance 0.190740
Analysed days: 19, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 20, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 21, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 22, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 23, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 24, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 25, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 26, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 27, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 28, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 29, Interpolated Closest Days: 4, distance 0.190986
Analysed days: 15, Interpolated Closest Days: 5, distance 0.194849
Analysed days: 16, Interpolated Closest Days: 5, distance 0.194849
Analysed days: 17, Interpolated Closest Days: 5, distance 0.194849
Analysed days: 18, Interpolated Closest Days: 5, distance 0.194849
Analysed days: 15, Interpolated Closest Days: 6, distance 0.196269
Analysed days: 16, Interpolated Closest Days: 6, distance 0.196269
Analysed days: 17, Interpolated Closest Days: 6, distance 0.196269
Analysed days: 18, Interpolated Closest Days: 6, distance 0.196269
Analysed days: 5, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 6, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 7, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 8, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 9, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 10, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 11, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 12, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 13, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 14, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 15, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 16, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 17, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 18, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 19, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 20, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 21, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 22, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 23, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 24, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 25, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 26, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 27, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 28, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 29, Interpolated Closest Days: 3, distance 0.196946
Analysed days: 22, Interpolated Closest Days: 8, distance 0.204285
Analysed days: 23, Interpolated Closest Days: 8, distance 0.204285
Analysed days: 22, Interpolated Closest Days: 7, distance 0.205340
Analysed days: 23, Interpolated Closest Days: 7, distance 0.205340
Analysed days: 24, Interpolated Closest Days: 7, distance 0.205525
Analysed days: 25, Interpolated Closest Days: 7, distance 0.205525
Analysed days: 26, Interpolated Closest Days: 7, distance 0.205525
Analysed days: 27, Interpolated Closest Days: 7, distance 0.205525
