Linear Interpolation Prediction for NRGMF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 22, Interpolated Closest Days: 4, distance 0.097282
Analysed days: 23, Interpolated Closest Days: 4, distance 0.097282
Analysed days: 19, Interpolated Closest Days: 3, distance 0.100351
Analysed days: 20, Interpolated Closest Days: 3, distance 0.100351
Analysed days: 21, Interpolated Closest Days: 3, distance 0.100351
Analysed days: 29, Interpolated Closest Days: 6, distance 0.101819
Analysed days: 24, Interpolated Closest Days: 5, distance 0.102179
Analysed days: 25, Interpolated Closest Days: 5, distance 0.102179
Analysed days: 26, Interpolated Closest Days: 5, distance 0.102179
Analysed days: 27, Interpolated Closest Days: 5, distance 0.102179
Analysed days: 28, Interpolated Closest Days: 5, distance 0.102179
Analysed days: 29, Interpolated Closest Days: 5, distance 0.104325
Analysed days: 22, Interpolated Closest Days: 3, distance 0.104914
Analysed days: 23, Interpolated Closest Days: 3, distance 0.104914
Analysed days: 24, Interpolated Closest Days: 4, distance 0.106175
Analysed days: 25, Interpolated Closest Days: 4, distance 0.106175
Analysed days: 26, Interpolated Closest Days: 4, distance 0.106175
Analysed days: 27, Interpolated Closest Days: 4, distance 0.106175
Analysed days: 28, Interpolated Closest Days: 4, distance 0.106175
Analysed days: 29, Interpolated Closest Days: 2, distance 0.107142
Analysed days: 29, Interpolated Closest Days: 4, distance 0.107343
Analysed days: 29, Interpolated Closest Days: 13, distance 0.109232
Analysed days: 25, Interpolated Closest Days: 12, distance 0.110926
Analysed days: 26, Interpolated Closest Days: 12, distance 0.110926
Analysed days: 27, Interpolated Closest Days: 12, distance 0.110926
Analysed days: 28, Interpolated Closest Days: 12, distance 0.110926
Analysed days: 22, Interpolated Closest Days: 9, distance 0.111334
Analysed days: 29, Interpolated Closest Days: 12, distance 0.111830
Analysed days: 24, Interpolated Closest Days: 3, distance 0.111986
Analysed days: 25, Interpolated Closest Days: 3, distance 0.111986
Analysed days: 26, Interpolated Closest Days: 3, distance 0.111986
Analysed days: 27, Interpolated Closest Days: 3, distance 0.111986
Analysed days: 28, Interpolated Closest Days: 3, distance 0.111986
Analysed days: 29, Interpolated Closest Days: 15, distance 0.113095
Analysed days: 29, Interpolated Closest Days: 8, distance 0.113330
Analysed days: 25, Interpolated Closest Days: 11, distance 0.114008
Analysed days: 26, Interpolated Closest Days: 11, distance 0.114008
Analysed days: 27, Interpolated Closest Days: 11, distance 0.114008
Analysed days: 28, Interpolated Closest Days: 11, distance 0.114008
Analysed days: 24, Interpolated Closest Days: 11, distance 0.114463
Analysed days: 25, Interpolated Closest Days: 7, distance 0.114736
Analysed days: 26, Interpolated Closest Days: 7, distance 0.114736
Analysed days: 27, Interpolated Closest Days: 7, distance 0.114736
Analysed days: 28, Interpolated Closest Days: 7, distance 0.114736
Analysed days: 23, Interpolated Closest Days: 5, distance 0.114802
Analysed days: 29, Interpolated Closest Days: 9, distance 0.114870
