Linear Interpolation Prediction for NVDA from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 29, Interpolated Closest Days: 7, distance 10.234211
Analysed days: 14, Interpolated Closest Days: 6, distance 10.341231
Analysed days: 15, Interpolated Closest Days: 7, distance 10.366788
Analysed days: 28, Interpolated Closest Days: 6, distance 10.538673
Analysed days: 14, Interpolated Closest Days: 7, distance 10.566848
Analysed days: 29, Interpolated Closest Days: 6, distance 10.679026
Analysed days: 10, Interpolated Closest Days: 6, distance 10.755601
Analysed days: 11, Interpolated Closest Days: 6, distance 10.755601
Analysed days: 12, Interpolated Closest Days: 6, distance 10.755601
Analysed days: 13, Interpolated Closest Days: 6, distance 10.755601
Analysed days: 15, Interpolated Closest Days: 8, distance 11.034053
Analysed days: 10, Interpolated Closest Days: 5, distance 11.313832
Analysed days: 11, Interpolated Closest Days: 5, distance 11.313832
Analysed days: 12, Interpolated Closest Days: 5, distance 11.313832
Analysed days: 13, Interpolated Closest Days: 5, distance 11.313832
Analysed days: 28, Interpolated Closest Days: 5, distance 11.328455
Analysed days: 29, Interpolated Closest Days: 5, distance 12.039561
Analysed days: 29, Interpolated Closest Days: 10, distance 12.071250
Analysed days: 28, Interpolated Closest Days: 9, distance 12.575313
Analysed days: 15, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 16, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 17, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 18, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 19, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 20, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 21, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 22, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 23, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 24, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 25, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 26, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 27, Interpolated Closest Days: 5, distance 13.135097
Analysed days: 14, Interpolated Closest Days: 4, distance 13.610027
Analysed days: 28, Interpolated Closest Days: 4, distance 13.690560
Analysed days: 15, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 16, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 17, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 18, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 19, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 20, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 21, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 22, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 23, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 24, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 25, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 26, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 27, Interpolated Closest Days: 4, distance 14.002966
Analysed days: 29, Interpolated Closest Days: 11, distance 14.016737
Analysed days: 14, Interpolated Closest Days: 8, distance 14.165419
Analysed days: 14, Interpolated Closest Days: 9, distance 14.165419
Analysed days: 14, Interpolated Closest Days: 10, distance 14.165419
Analysed days: 14, Interpolated Closest Days: 11, distance 14.165419
Analysed days: 14, Interpolated Closest Days: 12, distance 14.165419
Analysed days: 14, Interpolated Closest Days: 13, distance 14.165419
Analysed days: 10, Interpolated Closest Days: 7, distance 14.377718
Analysed days: 10, Interpolated Closest Days: 8, distance 14.377718
Analysed days: 10, Interpolated Closest Days: 9, distance 14.377718
Analysed days: 11, Interpolated Closest Days: 7, distance 14.377718
Analysed days: 11, Interpolated Closest Days: 8, distance 14.377718
Analysed days: 11, Interpolated Closest Days: 9, distance 14.377718
Analysed days: 11, Interpolated Closest Days: 10, distance 14.377718
Analysed days: 12, Interpolated Closest Days: 7, distance 14.377718
Analysed days: 12, Interpolated Closest Days: 8, distance 14.377718
Analysed days: 12, Interpolated Closest Days: 9, distance 14.377718
Analysed days: 12, Interpolated Closest Days: 10, distance 14.377718
Analysed days: 12, Interpolated Closest Days: 11, distance 14.377718
Analysed days: 13, Interpolated Closest Days: 7, distance 14.377718
Analysed days: 13, Interpolated Closest Days: 8, distance 14.377718
Analysed days: 13, Interpolated Closest Days: 9, distance 14.377718
Analysed days: 13, Interpolated Closest Days: 10, distance 14.377718
Analysed days: 13, Interpolated Closest Days: 11, distance 14.377718
Analysed days: 13, Interpolated Closest Days: 12, distance 14.377718
Analysed days: 15, Interpolated Closest Days: 9, distance 14.644100
Analysed days: 15, Interpolated Closest Days: 10, distance 14.644100
Analysed days: 15, Interpolated Closest Days: 11, distance 14.644100
Analysed days: 15, Interpolated Closest Days: 12, distance 14.644100
Analysed days: 15, Interpolated Closest Days: 13, distance 14.644100
Analysed days: 15, Interpolated Closest Days: 14, distance 14.644100
Analysed days: 29, Interpolated Closest Days: 12, distance 14.665875
Analysed days: 28, Interpolated Closest Days: 10, distance 14.744130
Analysed days: 29, Interpolated Closest Days: 8, distance 14.857248
Analysed days: 14, Interpolated Closest Days: 5, distance 14.871896
Analysed days: 15, Interpolated Closest Days: 6, distance 14.958359
Analysed days: 29, Interpolated Closest Days: 13, distance 15.346107
Analysed days: 28, Interpolated Closest Days: 11, distance 15.404140
Analysed days: 29, Interpolated Closest Days: 4, distance 15.623616
Analysed days: 28, Interpolated Closest Days: 7, distance 16.008705
Analysed days: 16, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 17, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 18, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 19, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 20, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 21, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 22, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 23, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 24, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 25, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 26, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 27, Interpolated Closest Days: 8, distance 16.059468
Analysed days: 10, Interpolated Closest Days: 4, distance 16.079492
Analysed days: 11, Interpolated Closest Days: 4, distance 16.079492
Analysed days: 12, Interpolated Closest Days: 4, distance 16.079492
Analysed days: 13, Interpolated Closest Days: 4, distance 16.079492
Analysed days: 28, Interpolated Closest Days: 12, distance 16.115363
Analysed days: 10, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 11, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 12, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 13, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 14, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 15, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 16, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 17, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 18, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 19, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 20, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 21, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 22, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 23, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 24, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 25, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 26, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 27, Interpolated Closest Days: 3, distance 16.162650
Analysed days: 29, Interpolated Closest Days: 14, distance 16.201963
Analysed days: 29, Interpolated Closest Days: 9, distance 16.525948
Analysed days: 3, Interpolated Closest Days: 2, distance 16.543999
Analysed days: 16, Interpolated Closest Days: 9, distance 16.743835
Analysed days: 28, Interpolated Closest Days: 13, distance 17.019643
Analysed days: 28, Interpolated Closest Days: 8, distance 17.828526
Analysed days: 17, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 18, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 19, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 20, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 21, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 22, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 23, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 24, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 25, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 26, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 27, Interpolated Closest Days: 9, distance 18.347325
Analysed days: 17, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 18, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 19, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 20, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 21, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 22, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 23, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 24, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 25, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 26, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 27, Interpolated Closest Days: 10, distance 18.815184
Analysed days: 4, Interpolated Closest Days: 3, distance 19.105578
Analysed days: 5, Interpolated Closest Days: 3, distance 19.105578
Analysed days: 5, Interpolated Closest Days: 4, distance 19.105578
Analysed days: 6, Interpolated Closest Days: 3, distance 19.105578
Analysed days: 6, Interpolated Closest Days: 4, distance 19.105578
Analysed days: 6, Interpolated Closest Days: 5, distance 19.105578
Analysed days: 29, Interpolated Closest Days: 15, distance 19.330771
Analysed days: 24, Interpolated Closest Days: 11, distance 19.360411
Analysed days: 25, Interpolated Closest Days: 11, distance 19.360411
Analysed days: 26, Interpolated Closest Days: 11, distance 19.360411
Analysed days: 27, Interpolated Closest Days: 11, distance 19.360411
Analysed days: 18, Interpolated Closest Days: 11, distance 19.733404
Analysed days: 19, Interpolated Closest Days: 11, distance 19.733404
Analysed days: 20, Interpolated Closest Days: 11, distance 19.733404
Analysed days: 21, Interpolated Closest Days: 11, distance 19.733404
Analysed days: 22, Interpolated Closest Days: 11, distance 19.733404
Analysed days: 23, Interpolated Closest Days: 11, distance 19.733404
Analysed days: 28, Interpolated Closest Days: 3, distance 19.868110
Analysed days: 24, Interpolated Closest Days: 12, distance 20.176481
Analysed days: 25, Interpolated Closest Days: 12, distance 20.176481
Analysed days: 26, Interpolated Closest Days: 12, distance 20.176481
Analysed days: 27, Interpolated Closest Days: 12, distance 20.176481
Analysed days: 28, Interpolated Closest Days: 14, distance 20.413950
Analysed days: 16, Interpolated Closest Days: 10, distance 20.867070
Analysed days: 16, Interpolated Closest Days: 11, distance 20.867070
Analysed days: 16, Interpolated Closest Days: 12, distance 20.867070
Analysed days: 16, Interpolated Closest Days: 13, distance 20.867070
Analysed days: 16, Interpolated Closest Days: 14, distance 20.867070
Analysed days: 16, Interpolated Closest Days: 15, distance 20.867070
Analysed days: 16, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 17, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 18, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 19, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 20, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 21, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 22, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 23, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 24, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 25, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 26, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 27, Interpolated Closest Days: 6, distance 21.479319
Analysed days: 29, Interpolated Closest Days: 16, distance 21.509969
Analysed days: 7, Interpolated Closest Days: 4, distance 22.070978
Analysed days: 7, Interpolated Closest Days: 5, distance 22.070978
Analysed days: 7, Interpolated Closest Days: 6, distance 22.070978
Analysed days: 8, Interpolated Closest Days: 4, distance 22.070978
Analysed days: 9, Interpolated Closest Days: 4, distance 22.070978
Analysed days: 10, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 11, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 12, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 13, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 14, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 15, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 16, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 17, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 18, Interpolated Closest Days: 2, distance 22.136958
Analysed days: 19, Interpolated Closest Days: 2, distance 22.136958
