Linear Interpolation Prediction for OGRMF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 29, Interpolated Closest Days: 9, distance 0.498070
Analysed days: 29, Interpolated Closest Days: 10, distance 0.505064
Analysed days: 29, Interpolated Closest Days: 12, distance 0.510559
Analysed days: 29, Interpolated Closest Days: 6, distance 0.532965
Analysed days: 29, Interpolated Closest Days: 11, distance 0.537078
Analysed days: 29, Interpolated Closest Days: 8, distance 0.562515
Analysed days: 29, Interpolated Closest Days: 13, distance 0.582127
Analysed days: 29, Interpolated Closest Days: 7, distance 0.602070
Analysed days: 3, Interpolated Closest Days: 2, distance 0.656843
Analysed days: 29, Interpolated Closest Days: 5, distance 0.657101
Analysed days: 29, Interpolated Closest Days: 14, distance 0.683866
Analysed days: 29, Interpolated Closest Days: 15, distance 0.701676
Analysed days: 18, Interpolated Closest Days: 9, distance 0.828081
Analysed days: 19, Interpolated Closest Days: 9, distance 0.828081
Analysed days: 20, Interpolated Closest Days: 9, distance 0.828081
Analysed days: 21, Interpolated Closest Days: 9, distance 0.828081
Analysed days: 22, Interpolated Closest Days: 9, distance 0.828081
Analysed days: 23, Interpolated Closest Days: 9, distance 0.828081
Analysed days: 29, Interpolated Closest Days: 16, distance 0.846476
Analysed days: 24, Interpolated Closest Days: 10, distance 0.859857
Analysed days: 29, Interpolated Closest Days: 17, distance 0.883644
Analysed days: 29, Interpolated Closest Days: 18, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 19, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 20, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 21, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 22, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 23, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 24, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 25, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 26, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 27, distance 0.898469
Analysed days: 29, Interpolated Closest Days: 28, distance 0.898469
Analysed days: 18, Interpolated Closest Days: 8, distance 0.903498
Analysed days: 19, Interpolated Closest Days: 8, distance 0.903498
Analysed days: 20, Interpolated Closest Days: 8, distance 0.903498
Analysed days: 21, Interpolated Closest Days: 8, distance 0.903498
Analysed days: 22, Interpolated Closest Days: 8, distance 0.903498
Analysed days: 23, Interpolated Closest Days: 8, distance 0.903498
Analysed days: 5, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 6, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 7, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 8, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 9, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 10, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 11, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 12, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 13, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 14, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 15, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 16, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 17, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 18, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 19, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 20, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 21, Interpolated Closest Days: 1, distance 0.918010
Analysed days: 22, Interpolated Closest Days: 1, distance 0.918010
