Linear Interpolation Prediction for PRMCF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 29, Interpolated Closest Days: 11, distance 0.758087
Analysed days: 29, Interpolated Closest Days: 12, distance 0.775845
Analysed days: 29, Interpolated Closest Days: 15, distance 0.866030
Analysed days: 29, Interpolated Closest Days: 16, distance 0.930952
Analysed days: 29, Interpolated Closest Days: 17, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 18, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 19, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 20, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 21, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 22, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 23, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 24, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 25, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 26, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 27, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 28, distance 0.940065
Analysed days: 29, Interpolated Closest Days: 13, distance 0.973791
Analysed days: 22, Interpolated Closest Days: 12, distance 0.999800
Analysed days: 29, Interpolated Closest Days: 14, distance 1.028673
Analysed days: 29, Interpolated Closest Days: 10, distance 1.035104
Analysed days: 29, Interpolated Closest Days: 8, distance 1.075642
Analysed days: 8, Interpolated Closest Days: 5, distance 1.107093
Analysed days: 8, Interpolated Closest Days: 6, distance 1.107093
Analysed days: 8, Interpolated Closest Days: 7, distance 1.107093
Analysed days: 17, Interpolated Closest Days: 9, distance 1.111974
Analysed days: 19, Interpolated Closest Days: 11, distance 1.119158
Analysed days: 20, Interpolated Closest Days: 11, distance 1.119158
Analysed days: 21, Interpolated Closest Days: 11, distance 1.119158
Analysed days: 22, Interpolated Closest Days: 13, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 14, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 15, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 16, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 17, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 18, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 19, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 20, distance 1.125476
Analysed days: 22, Interpolated Closest Days: 21, distance 1.125476
Analysed days: 5, Interpolated Closest Days: 4, distance 1.129751
Analysed days: 6, Interpolated Closest Days: 4, distance 1.129751
Analysed days: 6, Interpolated Closest Days: 5, distance 1.129751
Analysed days: 7, Interpolated Closest Days: 4, distance 1.129751
Analysed days: 7, Interpolated Closest Days: 5, distance 1.129751
Analysed days: 7, Interpolated Closest Days: 6, distance 1.129751
Analysed days: 18, Interpolated Closest Days: 9, distance 1.152148
Analysed days: 15, Interpolated Closest Days: 8, distance 1.160542
Analysed days: 15, Interpolated Closest Days: 9, distance 1.160542
Analysed days: 15, Interpolated Closest Days: 10, distance 1.160542
Analysed days: 15, Interpolated Closest Days: 11, distance 1.160542
