Linear Interpolation Prediction for PYPL from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 21, Interpolated Closest Days: 3, distance 6.534858
Analysed days: 22, Interpolated Closest Days: 3, distance 6.534858
Analysed days: 23, Interpolated Closest Days: 3, distance 6.534858
Analysed days: 24, Interpolated Closest Days: 3, distance 6.534858
Analysed days: 25, Interpolated Closest Days: 3, distance 6.534858
Analysed days: 26, Interpolated Closest Days: 3, distance 6.534858
Analysed days: 27, Interpolated Closest Days: 3, distance 6.534858
Analysed days: 23, Interpolated Closest Days: 12, distance 6.927288
Analysed days: 15, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 16, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 17, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 18, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 19, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 20, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 21, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 22, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 23, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 24, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 25, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 26, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 27, Interpolated Closest Days: 1, distance 7.129676
Analysed days: 21, Interpolated Closest Days: 13, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 14, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 15, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 16, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 17, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 18, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 19, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 20, distance 7.239364
Analysed days: 21, Interpolated Closest Days: 12, distance 7.241074
Analysed days: 15, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 16, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 17, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 18, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 19, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 20, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 21, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 22, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 23, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 24, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 25, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 26, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 27, Interpolated Closest Days: 2, distance 7.268564
Analysed days: 23, Interpolated Closest Days: 15, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 16, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 17, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 18, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 19, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 20, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 21, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 22, distance 7.314850
Analysed days: 23, Interpolated Closest Days: 14, distance 7.325565
Analysed days: 24, Interpolated Closest Days: 13, distance 7.450973
Analysed days: 25, Interpolated Closest Days: 13, distance 7.450973
