Linear Interpolation Prediction for QMCQF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 18, Interpolated Closest Days: 1, distance 0.520590
Analysed days: 19, Interpolated Closest Days: 1, distance 0.520590
Analysed days: 20, Interpolated Closest Days: 1, distance 0.520590
Analysed days: 21, Interpolated Closest Days: 1, distance 0.520590
Analysed days: 22, Interpolated Closest Days: 1, distance 0.520590
Analysed days: 23, Interpolated Closest Days: 2, distance 0.532868
Analysed days: 24, Interpolated Closest Days: 2, distance 0.532868
Analysed days: 25, Interpolated Closest Days: 2, distance 0.532868
Analysed days: 26, Interpolated Closest Days: 2, distance 0.532868
Analysed days: 27, Interpolated Closest Days: 2, distance 0.532868
Analysed days: 28, Interpolated Closest Days: 2, distance 0.532868
Analysed days: 29, Interpolated Closest Days: 2, distance 0.532868
Analysed days: 23, Interpolated Closest Days: 1, distance 0.559188
Analysed days: 24, Interpolated Closest Days: 1, distance 0.559188
Analysed days: 25, Interpolated Closest Days: 1, distance 0.559188
Analysed days: 26, Interpolated Closest Days: 1, distance 0.559188
Analysed days: 27, Interpolated Closest Days: 1, distance 0.559188
Analysed days: 28, Interpolated Closest Days: 1, distance 0.559188
Analysed days: 29, Interpolated Closest Days: 1, distance 0.559188
Analysed days: 2, Interpolated Closest Days: 1, distance 0.559377
Analysed days: 3, Interpolated Closest Days: 1, distance 0.559377
Analysed days: 3, Interpolated Closest Days: 2, distance 0.559377
Analysed days: 4, Interpolated Closest Days: 1, distance 0.559377
Analysed days: 4, Interpolated Closest Days: 2, distance 0.559377
Analysed days: 4, Interpolated Closest Days: 3, distance 0.559377
Analysed days: 23, Interpolated Closest Days: 3, distance 0.632923
Analysed days: 24, Interpolated Closest Days: 3, distance 0.632923
Analysed days: 25, Interpolated Closest Days: 3, distance 0.632923
Analysed days: 26, Interpolated Closest Days: 3, distance 0.632923
Analysed days: 27, Interpolated Closest Days: 3, distance 0.632923
Analysed days: 28, Interpolated Closest Days: 3, distance 0.632923
Analysed days: 29, Interpolated Closest Days: 3, distance 0.632923
Analysed days: 22, Interpolated Closest Days: 2, distance 0.679091
Analysed days: 18, Interpolated Closest Days: 7, distance 0.688695
Analysed days: 23, Interpolated Closest Days: 10, distance 0.693484
Analysed days: 24, Interpolated Closest Days: 10, distance 0.693484
Analysed days: 25, Interpolated Closest Days: 10, distance 0.693484
Analysed days: 26, Interpolated Closest Days: 10, distance 0.693484
Analysed days: 27, Interpolated Closest Days: 10, distance 0.693484
Analysed days: 28, Interpolated Closest Days: 10, distance 0.693484
