Linear Interpolation Prediction for SFTBY from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 23, Interpolated Closest Days: 14, distance 1.245912
Analysed days: 22, Interpolated Closest Days: 13, distance 1.252240
Analysed days: 29, Interpolated Closest Days: 18, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 19, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 20, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 21, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 22, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 23, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 24, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 25, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 26, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 27, distance 1.258581
Analysed days: 29, Interpolated Closest Days: 28, distance 1.258581
Analysed days: 23, Interpolated Closest Days: 15, distance 1.271886
Analysed days: 23, Interpolated Closest Days: 16, distance 1.271886
Analysed days: 23, Interpolated Closest Days: 17, distance 1.271886
Analysed days: 23, Interpolated Closest Days: 18, distance 1.271886
Analysed days: 23, Interpolated Closest Days: 19, distance 1.271886
Analysed days: 23, Interpolated Closest Days: 20, distance 1.271886
Analysed days: 23, Interpolated Closest Days: 21, distance 1.271886
Analysed days: 23, Interpolated Closest Days: 22, distance 1.271886
Analysed days: 25, Interpolated Closest Days: 17, distance 1.273926
Analysed days: 25, Interpolated Closest Days: 18, distance 1.273926
Analysed days: 25, Interpolated Closest Days: 19, distance 1.273926
Analysed days: 25, Interpolated Closest Days: 20, distance 1.273926
Analysed days: 25, Interpolated Closest Days: 21, distance 1.273926
Analysed days: 25, Interpolated Closest Days: 22, distance 1.273926
Analysed days: 25, Interpolated Closest Days: 23, distance 1.273926
Analysed days: 25, Interpolated Closest Days: 24, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 17, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 18, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 19, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 20, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 21, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 22, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 23, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 24, distance 1.273926
Analysed days: 26, Interpolated Closest Days: 25, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 17, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 18, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 19, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 20, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 21, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 22, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 23, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 24, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 25, distance 1.273926
Analysed days: 27, Interpolated Closest Days: 26, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 17, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 18, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 19, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 20, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 21, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 22, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 23, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 24, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 25, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 26, distance 1.273926
Analysed days: 28, Interpolated Closest Days: 27, distance 1.273926
Analysed days: 23, Interpolated Closest Days: 12, distance 1.279051
Analysed days: 22, Interpolated Closest Days: 14, distance 1.279108
Analysed days: 22, Interpolated Closest Days: 15, distance 1.279108
Analysed days: 22, Interpolated Closest Days: 16, distance 1.279108
Analysed days: 22, Interpolated Closest Days: 17, distance 1.279108
Analysed days: 22, Interpolated Closest Days: 18, distance 1.279108
Analysed days: 22, Interpolated Closest Days: 19, distance 1.279108
Analysed days: 22, Interpolated Closest Days: 20, distance 1.279108
Analysed days: 22, Interpolated Closest Days: 21, distance 1.279108
Analysed days: 23, Interpolated Closest Days: 13, distance 1.281428
Analysed days: 23, Interpolated Closest Days: 11, distance 1.284155
Analysed days: 29, Interpolated Closest Days: 16, distance 1.286571
Analysed days: 22, Interpolated Closest Days: 11, distance 1.287458
Analysed days: 23, Interpolated Closest Days: 7, distance 1.288511
Analysed days: 22, Interpolated Closest Days: 12, distance 1.289200
Analysed days: 22, Interpolated Closest Days: 10, distance 1.291617
Analysed days: 22, Interpolated Closest Days: 5, distance 1.292443
Analysed days: 23, Interpolated Closest Days: 5, distance 1.292443
Analysed days: 24, Interpolated Closest Days: 15, distance 1.305037
Analysed days: 25, Interpolated Closest Days: 15, distance 1.305037
Analysed days: 26, Interpolated Closest Days: 15, distance 1.305037
Analysed days: 27, Interpolated Closest Days: 15, distance 1.305037
Analysed days: 28, Interpolated Closest Days: 15, distance 1.305037
Analysed days: 29, Interpolated Closest Days: 15, distance 1.305037
Analysed days: 29, Interpolated Closest Days: 17, distance 1.311200
Analysed days: 10, Interpolated Closest Days: 7, distance 1.325505
Analysed days: 10, Interpolated Closest Days: 8, distance 1.325505
