Linear Interpolation Prediction for SPRWF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 29, Interpolated Closest Days: 18, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 19, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 20, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 21, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 22, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 23, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 24, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 25, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 26, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 27, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 28, distance 0.263749
Analysed days: 29, Interpolated Closest Days: 17, distance 0.285395
Analysed days: 29, Interpolated Closest Days: 16, distance 0.286636
Analysed days: 15, Interpolated Closest Days: 9, distance 0.286858
Analysed days: 15, Interpolated Closest Days: 10, distance 0.286858
Analysed days: 15, Interpolated Closest Days: 11, distance 0.286858
Analysed days: 15, Interpolated Closest Days: 12, distance 0.286858
Analysed days: 15, Interpolated Closest Days: 13, distance 0.286858
Analysed days: 15, Interpolated Closest Days: 14, distance 0.286858
Analysed days: 9, Interpolated Closest Days: 6, distance 0.303704
Analysed days: 9, Interpolated Closest Days: 7, distance 0.303704
Analysed days: 9, Interpolated Closest Days: 8, distance 0.303704
Analysed days: 22, Interpolated Closest Days: 14, distance 0.306669
Analysed days: 22, Interpolated Closest Days: 15, distance 0.306669
Analysed days: 22, Interpolated Closest Days: 16, distance 0.306669
Analysed days: 22, Interpolated Closest Days: 17, distance 0.306669
Analysed days: 22, Interpolated Closest Days: 18, distance 0.306669
Analysed days: 22, Interpolated Closest Days: 19, distance 0.306669
Analysed days: 22, Interpolated Closest Days: 20, distance 0.306669
Analysed days: 22, Interpolated Closest Days: 21, distance 0.306669
Analysed days: 29, Interpolated Closest Days: 15, distance 0.308187
Analysed days: 11, Interpolated Closest Days: 8, distance 0.309661
Analysed days: 11, Interpolated Closest Days: 9, distance 0.309661
Analysed days: 11, Interpolated Closest Days: 10, distance 0.309661
