Linear Interpolation Prediction for SQM from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 4, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 5, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 6, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 7, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 8, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 9, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 10, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 11, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 12, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 13, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 14, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 15, Interpolated Closest Days: 1, distance 15.283029
Analysed days: 10, Interpolated Closest Days: 5, distance 16.088523
Analysed days: 11, Interpolated Closest Days: 5, distance 16.088523
Analysed days: 12, Interpolated Closest Days: 5, distance 16.088523
Analysed days: 13, Interpolated Closest Days: 5, distance 16.088523
Analysed days: 14, Interpolated Closest Days: 5, distance 16.088523
Analysed days: 9, Interpolated Closest Days: 4, distance 16.133954
Analysed days: 8, Interpolated Closest Days: 3, distance 16.501651
Analysed days: 15, Interpolated Closest Days: 6, distance 18.719497
Analysed days: 10, Interpolated Closest Days: 4, distance 19.438592
Analysed days: 11, Interpolated Closest Days: 4, distance 19.438592
Analysed days: 12, Interpolated Closest Days: 4, distance 19.438592
Analysed days: 13, Interpolated Closest Days: 4, distance 19.438592
Analysed days: 14, Interpolated Closest Days: 4, distance 19.438592
Analysed days: 10, Interpolated Closest Days: 6, distance 19.854234
Analysed days: 10, Interpolated Closest Days: 7, distance 19.854234
Analysed days: 10, Interpolated Closest Days: 8, distance 19.854234
Analysed days: 10, Interpolated Closest Days: 9, distance 19.854234
Analysed days: 11, Interpolated Closest Days: 6, distance 19.854234
Analysed days: 12, Interpolated Closest Days: 6, distance 19.854234
Analysed days: 13, Interpolated Closest Days: 6, distance 19.854234
Analysed days: 14, Interpolated Closest Days: 6, distance 19.854234
Analysed days: 10, Interpolated Closest Days: 3, distance 20.145440
Analysed days: 11, Interpolated Closest Days: 3, distance 20.145440
Analysed days: 12, Interpolated Closest Days: 3, distance 20.145440
Analysed days: 13, Interpolated Closest Days: 3, distance 20.145440
Analysed days: 14, Interpolated Closest Days: 3, distance 20.145440
Analysed days: 9, Interpolated Closest Days: 3, distance 20.333011
Analysed days: 11, Interpolated Closest Days: 7, distance 20.396674
Analysed days: 11, Interpolated Closest Days: 8, distance 20.396674
Analysed days: 11, Interpolated Closest Days: 9, distance 20.396674
Analysed days: 11, Interpolated Closest Days: 10, distance 20.396674
Analysed days: 12, Interpolated Closest Days: 7, distance 20.396674
Analysed days: 12, Interpolated Closest Days: 8, distance 20.396674
Analysed days: 12, Interpolated Closest Days: 9, distance 20.396674
Analysed days: 12, Interpolated Closest Days: 10, distance 20.396674
Analysed days: 12, Interpolated Closest Days: 11, distance 20.396674
Analysed days: 13, Interpolated Closest Days: 7, distance 20.396674
Analysed days: 13, Interpolated Closest Days: 8, distance 20.396674
Analysed days: 13, Interpolated Closest Days: 9, distance 20.396674
Analysed days: 13, Interpolated Closest Days: 10, distance 20.396674
Analysed days: 13, Interpolated Closest Days: 11, distance 20.396674
Analysed days: 13, Interpolated Closest Days: 12, distance 20.396674
Analysed days: 14, Interpolated Closest Days: 7, distance 20.396674
Analysed days: 14, Interpolated Closest Days: 8, distance 20.396674
Analysed days: 14, Interpolated Closest Days: 9, distance 20.396674
Analysed days: 14, Interpolated Closest Days: 10, distance 20.396674
Analysed days: 14, Interpolated Closest Days: 11, distance 20.396674
Analysed days: 14, Interpolated Closest Days: 12, distance 20.396674
Analysed days: 14, Interpolated Closest Days: 13, distance 20.396674
Analysed days: 9, Interpolated Closest Days: 5, distance 20.513884
Analysed days: 9, Interpolated Closest Days: 6, distance 20.513884
Analysed days: 9, Interpolated Closest Days: 7, distance 20.513884
Analysed days: 9, Interpolated Closest Days: 8, distance 20.513884
Analysed days: 8, Interpolated Closest Days: 4, distance 21.387898
Analysed days: 8, Interpolated Closest Days: 5, distance 21.387898
Analysed days: 8, Interpolated Closest Days: 6, distance 21.387898
Analysed days: 8, Interpolated Closest Days: 7, distance 21.387898
Analysed days: 15, Interpolated Closest Days: 7, distance 21.645598
Analysed days: 15, Interpolated Closest Days: 5, distance 21.897800
Analysed days: 6, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 7, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 8, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 9, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 10, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 11, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 12, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 13, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 14, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 15, Interpolated Closest Days: 2, distance 21.929074
Analysed days: 15, Interpolated Closest Days: 8, distance 21.998864
Analysed days: 15, Interpolated Closest Days: 9, distance 21.998864
