Linear Interpolation Prediction for STZ from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 3, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 4, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 4, Interpolated Closest Days: 3, distance 9.319777
Analysed days: 5, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 5, Interpolated Closest Days: 3, distance 9.319777
Analysed days: 5, Interpolated Closest Days: 4, distance 9.319777
Analysed days: 6, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 7, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 8, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 9, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 10, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 11, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 12, Interpolated Closest Days: 2, distance 9.319777
Analysed days: 6, Interpolated Closest Days: 3, distance 9.327955
Analysed days: 6, Interpolated Closest Days: 4, distance 9.327955
Analysed days: 6, Interpolated Closest Days: 5, distance 9.327955
Analysed days: 7, Interpolated Closest Days: 3, distance 9.327955
Analysed days: 7, Interpolated Closest Days: 4, distance 9.327955
Analysed days: 7, Interpolated Closest Days: 5, distance 9.327955
Analysed days: 7, Interpolated Closest Days: 6, distance 9.327955
Analysed days: 8, Interpolated Closest Days: 3, distance 9.327955
Analysed days: 9, Interpolated Closest Days: 3, distance 9.327955
Analysed days: 10, Interpolated Closest Days: 3, distance 9.327955
Analysed days: 11, Interpolated Closest Days: 3, distance 9.327955
Analysed days: 12, Interpolated Closest Days: 3, distance 9.327955
Analysed days: 2, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 3, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 4, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 5, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 6, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 7, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 8, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 9, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 10, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 11, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 12, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 13, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 14, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 15, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 16, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 17, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 18, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 19, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 20, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 21, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 22, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 23, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 24, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 25, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 26, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 27, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 28, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 29, Interpolated Closest Days: 1, distance 9.447094
Analysed days: 8, Interpolated Closest Days: 4, distance 9.663118
Analysed days: 8, Interpolated Closest Days: 5, distance 9.663118
Analysed days: 8, Interpolated Closest Days: 6, distance 9.663118
Analysed days: 8, Interpolated Closest Days: 7, distance 9.663118
Analysed days: 9, Interpolated Closest Days: 4, distance 9.663118
Analysed days: 10, Interpolated Closest Days: 4, distance 9.663118
Analysed days: 11, Interpolated Closest Days: 4, distance 9.663118
Analysed days: 12, Interpolated Closest Days: 4, distance 9.663118
Analysed days: 13, Interpolated Closest Days: 5, distance 11.246730
Analysed days: 13, Interpolated Closest Days: 4, distance 11.363035
Analysed days: 9, Interpolated Closest Days: 5, distance 11.395069
Analysed days: 9, Interpolated Closest Days: 6, distance 11.395069
Analysed days: 9, Interpolated Closest Days: 7, distance 11.395069
Analysed days: 9, Interpolated Closest Days: 8, distance 11.395069
Analysed days: 10, Interpolated Closest Days: 5, distance 11.395069
Analysed days: 10, Interpolated Closest Days: 6, distance 11.395069
Analysed days: 10, Interpolated Closest Days: 7, distance 11.395069
Analysed days: 10, Interpolated Closest Days: 8, distance 11.395069
Analysed days: 10, Interpolated Closest Days: 9, distance 11.395069
Analysed days: 11, Interpolated Closest Days: 5, distance 11.395069
Analysed days: 11, Interpolated Closest Days: 6, distance 11.395069
Analysed days: 11, Interpolated Closest Days: 7, distance 11.395069
Analysed days: 11, Interpolated Closest Days: 8, distance 11.395069
Analysed days: 11, Interpolated Closest Days: 9, distance 11.395069
Analysed days: 11, Interpolated Closest Days: 10, distance 11.395069
Analysed days: 12, Interpolated Closest Days: 5, distance 11.395069
Analysed days: 12, Interpolated Closest Days: 6, distance 11.395069
Analysed days: 12, Interpolated Closest Days: 7, distance 11.395069
Analysed days: 12, Interpolated Closest Days: 8, distance 11.395069
Analysed days: 12, Interpolated Closest Days: 9, distance 11.395069
Analysed days: 12, Interpolated Closest Days: 10, distance 11.395069
Analysed days: 12, Interpolated Closest Days: 11, distance 11.395069
Analysed days: 13, Interpolated Closest Days: 3, distance 11.733246
Analysed days: 14, Interpolated Closest Days: 6, distance 12.000192
Analysed days: 29, Interpolated Closest Days: 13, distance 12.197181
Analysed days: 29, Interpolated Closest Days: 3, distance 12.199652
Analysed days: 29, Interpolated Closest Days: 10, distance 12.246078
Analysed days: 28, Interpolated Closest Days: 13, distance 12.259153
Analysed days: 29, Interpolated Closest Days: 14, distance 12.266379
Analysed days: 27, Interpolated Closest Days: 12, distance 12.277542
Analysed days: 28, Interpolated Closest Days: 12, distance 12.277542
Analysed days: 14, Interpolated Closest Days: 5, distance 12.319336
Analysed days: 29, Interpolated Closest Days: 16, distance 12.330688
Analysed days: 23, Interpolated Closest Days: 11, distance 12.343006
Analysed days: 24, Interpolated Closest Days: 11, distance 12.343006
Analysed days: 25, Interpolated Closest Days: 11, distance 12.343006
Analysed days: 26, Interpolated Closest Days: 11, distance 12.343006
Analysed days: 29, Interpolated Closest Days: 15, distance 12.401329
Analysed days: 29, Interpolated Closest Days: 9, distance 12.454227
Analysed days: 17, Interpolated Closest Days: 10, distance 12.491537
Analysed days: 17, Interpolated Closest Days: 11, distance 12.491537
Analysed days: 17, Interpolated Closest Days: 12, distance 12.491537
Analysed days: 17, Interpolated Closest Days: 13, distance 12.491537
Analysed days: 17, Interpolated Closest Days: 14, distance 12.491537
Analysed days: 17, Interpolated Closest Days: 15, distance 12.491537
Analysed days: 17, Interpolated Closest Days: 16, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 10, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 11, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 12, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 13, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 14, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 15, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 16, distance 12.491537
Analysed days: 18, Interpolated Closest Days: 17, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 10, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 11, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 12, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 13, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 14, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 15, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 16, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 17, distance 12.491537
Analysed days: 19, Interpolated Closest Days: 18, distance 12.491537
Analysed days: 20, Interpolated Closest Days: 10, distance 12.491537
Analysed days: 13, Interpolated Closest Days: 6, distance 12.527414
Analysed days: 13, Interpolated Closest Days: 7, distance 12.527414
Analysed days: 13, Interpolated Closest Days: 8, distance 12.527414
Analysed days: 13, Interpolated Closest Days: 9, distance 12.527414
Analysed days: 13, Interpolated Closest Days: 10, distance 12.527414
Analysed days: 13, Interpolated Closest Days: 11, distance 12.527414
Analysed days: 13, Interpolated Closest Days: 12, distance 12.527414
Analysed days: 29, Interpolated Closest Days: 8, distance 12.557641
Analysed days: 28, Interpolated Closest Days: 16, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 17, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 18, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 19, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 20, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 21, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 22, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 23, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 24, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 25, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 26, distance 12.587492
Analysed days: 28, Interpolated Closest Days: 27, distance 12.587492
Analysed days: 27, Interpolated Closest Days: 15, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 16, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 17, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 18, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 19, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 20, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 21, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 22, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 23, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 24, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 25, distance 12.593104
Analysed days: 27, Interpolated Closest Days: 26, distance 12.593104
Analysed days: 28, Interpolated Closest Days: 15, distance 12.605396
Analysed days: 29, Interpolated Closest Days: 12, distance 12.610036
Analysed days: 29, Interpolated Closest Days: 17, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 18, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 19, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 20, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 21, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 22, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 23, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 24, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 25, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 26, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 27, distance 12.621273
Analysed days: 29, Interpolated Closest Days: 28, distance 12.621273
Analysed days: 16, Interpolated Closest Days: 9, distance 12.641430
Analysed days: 16, Interpolated Closest Days: 10, distance 12.641430
Analysed days: 16, Interpolated Closest Days: 11, distance 12.641430
Analysed days: 16, Interpolated Closest Days: 12, distance 12.641430
Analysed days: 16, Interpolated Closest Days: 13, distance 12.641430
Analysed days: 16, Interpolated Closest Days: 14, distance 12.641430
Analysed days: 16, Interpolated Closest Days: 15, distance 12.641430
Analysed days: 17, Interpolated Closest Days: 9, distance 12.641430
Analysed days: 18, Interpolated Closest Days: 9, distance 12.641430
Analysed days: 19, Interpolated Closest Days: 9, distance 12.641430
Analysed days: 20, Interpolated Closest Days: 9, distance 12.641430
Analysed days: 21, Interpolated Closest Days: 9, distance 12.641430
Analysed days: 22, Interpolated Closest Days: 10, distance 12.654011
Analysed days: 23, Interpolated Closest Days: 14, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 15, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 16, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 17, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 18, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 19, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 20, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 21, distance 12.673513
Analysed days: 23, Interpolated Closest Days: 22, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 14, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 15, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 16, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 17, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 18, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 19, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 20, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 21, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 22, distance 12.673513
Analysed days: 24, Interpolated Closest Days: 23, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 14, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 15, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 16, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 17, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 18, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 19, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 20, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 21, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 22, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 23, distance 12.673513
Analysed days: 25, Interpolated Closest Days: 24, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 14, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 15, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 16, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 17, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 18, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 19, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 20, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 21, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 22, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 23, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 24, distance 12.673513
Analysed days: 26, Interpolated Closest Days: 25, distance 12.673513
Analysed days: 27, Interpolated Closest Days: 14, distance 12.717287
Analysed days: 23, Interpolated Closest Days: 13, distance 12.781966
Analysed days: 24, Interpolated Closest Days: 13, distance 12.781966
Analysed days: 25, Interpolated Closest Days: 13, distance 12.781966
Analysed days: 26, Interpolated Closest Days: 13, distance 12.781966
Analysed days: 27, Interpolated Closest Days: 9, distance 12.789362
Analysed days: 28, Interpolated Closest Days: 9, distance 12.789362
Analysed days: 28, Interpolated Closest Days: 14, distance 12.800126
Analysed days: 29, Interpolated Closest Days: 11, distance 12.867582
Analysed days: 22, Interpolated Closest Days: 8, distance 12.902333
Analysed days: 23, Interpolated Closest Days: 8, distance 12.902333
Analysed days: 24, Interpolated Closest Days: 8, distance 12.902333
Analysed days: 25, Interpolated Closest Days: 8, distance 12.902333
Analysed days: 26, Interpolated Closest Days: 8, distance 12.902333
Analysed days: 14, Interpolated Closest Days: 4, distance 12.909033
Analysed days: 29, Interpolated Closest Days: 7, distance 12.911117
Analysed days: 29, Interpolated Closest Days: 4, distance 12.920181
Analysed days: 22, Interpolated Closest Days: 12, distance 12.959390
Analysed days: 27, Interpolated Closest Days: 13, distance 12.968810
Analysed days: 14, Interpolated Closest Days: 7, distance 12.997453
Analysed days: 14, Interpolated Closest Days: 8, distance 12.997453
Analysed days: 14, Interpolated Closest Days: 9, distance 12.997453
Analysed days: 14, Interpolated Closest Days: 10, distance 12.997453
Analysed days: 14, Interpolated Closest Days: 11, distance 12.997453
Analysed days: 14, Interpolated Closest Days: 12, distance 12.997453
Analysed days: 14, Interpolated Closest Days: 13, distance 12.997453
Analysed days: 21, Interpolated Closest Days: 12, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 13, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 14, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 15, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 16, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 17, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 18, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 19, distance 13.010420
Analysed days: 21, Interpolated Closest Days: 20, distance 13.010420
Analysed days: 29, Interpolated Closest Days: 5, distance 13.046795
Analysed days: 23, Interpolated Closest Days: 12, distance 13.057849
Analysed days: 24, Interpolated Closest Days: 12, distance 13.057849
Analysed days: 25, Interpolated Closest Days: 12, distance 13.057849
Analysed days: 26, Interpolated Closest Days: 12, distance 13.057849
Analysed days: 22, Interpolated Closest Days: 13, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 14, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 15, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 16, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 17, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 18, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 19, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 20, distance 13.069735
Analysed days: 22, Interpolated Closest Days: 21, distance 13.069735
Analysed days: 20, Interpolated Closest Days: 11, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 12, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 13, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 14, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 15, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 16, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 17, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 18, distance 13.073043
Analysed days: 20, Interpolated Closest Days: 19, distance 13.073043
Analysed days: 27, Interpolated Closest Days: 8, distance 13.108580
Analysed days: 28, Interpolated Closest Days: 8, distance 13.108580
Analysed days: 29, Interpolated Closest Days: 6, distance 13.113001
Analysed days: 21, Interpolated Closest Days: 11, distance 13.174280
Analysed days: 22, Interpolated Closest Days: 11, distance 13.204433
Analysed days: 22, Interpolated Closest Days: 7, distance 13.262171
Analysed days: 23, Interpolated Closest Days: 7, distance 13.262171
Analysed days: 24, Interpolated Closest Days: 7, distance 13.262171
Analysed days: 25, Interpolated Closest Days: 7, distance 13.262171
Analysed days: 26, Interpolated Closest Days: 7, distance 13.262171
Analysed days: 27, Interpolated Closest Days: 7, distance 13.262171
Analysed days: 28, Interpolated Closest Days: 7, distance 13.262171
Analysed days: 29, Interpolated Closest Days: 2, distance 13.311847
Analysed days: 27, Interpolated Closest Days: 11, distance 13.314129
Analysed days: 28, Interpolated Closest Days: 11, distance 13.314129
Analysed days: 27, Interpolated Closest Days: 10, distance 13.444779
Analysed days: 28, Interpolated Closest Days: 10, distance 13.444779
Analysed days: 23, Interpolated Closest Days: 10, distance 13.472889
Analysed days: 24, Interpolated Closest Days: 10, distance 13.472889
Analysed days: 25, Interpolated Closest Days: 10, distance 13.472889
Analysed days: 26, Interpolated Closest Days: 10, distance 13.472889
Analysed days: 15, Interpolated Closest Days: 7, distance 13.516810
Analysed days: 16, Interpolated Closest Days: 7, distance 13.516810
Analysed days: 17, Interpolated Closest Days: 7, distance 13.516810
Analysed days: 18, Interpolated Closest Days: 7, distance 13.516810
Analysed days: 19, Interpolated Closest Days: 7, distance 13.516810
Analysed days: 20, Interpolated Closest Days: 7, distance 13.516810
Analysed days: 21, Interpolated Closest Days: 7, distance 13.516810
Analysed days: 21, Interpolated Closest Days: 10, distance 13.558230
Analysed days: 22, Interpolated Closest Days: 9, distance 13.633437
Analysed days: 23, Interpolated Closest Days: 9, distance 13.633437
Analysed days: 24, Interpolated Closest Days: 9, distance 13.633437
Analysed days: 25, Interpolated Closest Days: 9, distance 13.633437
Analysed days: 26, Interpolated Closest Days: 9, distance 13.633437
Analysed days: 22, Interpolated Closest Days: 6, distance 13.782001
Analysed days: 23, Interpolated Closest Days: 6, distance 13.782001
Analysed days: 24, Interpolated Closest Days: 6, distance 13.782001
Analysed days: 25, Interpolated Closest Days: 6, distance 13.782001
Analysed days: 26, Interpolated Closest Days: 6, distance 13.782001
Analysed days: 27, Interpolated Closest Days: 6, distance 13.782001
Analysed days: 28, Interpolated Closest Days: 6, distance 13.782001
Analysed days: 15, Interpolated Closest Days: 6, distance 14.067197
Analysed days: 16, Interpolated Closest Days: 6, distance 14.067197
Analysed days: 17, Interpolated Closest Days: 6, distance 14.067197
Analysed days: 18, Interpolated Closest Days: 6, distance 14.067197
Analysed days: 19, Interpolated Closest Days: 6, distance 14.067197
Analysed days: 20, Interpolated Closest Days: 6, distance 14.067197
Analysed days: 21, Interpolated Closest Days: 6, distance 14.067197
Analysed days: 15, Interpolated Closest Days: 8, distance 14.208568
Analysed days: 15, Interpolated Closest Days: 9, distance 14.208568
Analysed days: 15, Interpolated Closest Days: 10, distance 14.208568
Analysed days: 15, Interpolated Closest Days: 11, distance 14.208568
Analysed days: 15, Interpolated Closest Days: 12, distance 14.208568
Analysed days: 15, Interpolated Closest Days: 13, distance 14.208568
Analysed days: 15, Interpolated Closest Days: 14, distance 14.208568
Analysed days: 16, Interpolated Closest Days: 8, distance 14.208568
Analysed days: 17, Interpolated Closest Days: 8, distance 14.208568
Analysed days: 18, Interpolated Closest Days: 8, distance 14.208568
Analysed days: 19, Interpolated Closest Days: 8, distance 14.208568
Analysed days: 20, Interpolated Closest Days: 8, distance 14.208568
Analysed days: 21, Interpolated Closest Days: 8, distance 14.208568
Analysed days: 22, Interpolated Closest Days: 4, distance 14.509171
Analysed days: 23, Interpolated Closest Days: 4, distance 14.509171
Analysed days: 24, Interpolated Closest Days: 4, distance 14.509171
Analysed days: 25, Interpolated Closest Days: 4, distance 14.509171
Analysed days: 26, Interpolated Closest Days: 4, distance 14.509171
Analysed days: 27, Interpolated Closest Days: 4, distance 14.509171
Analysed days: 28, Interpolated Closest Days: 4, distance 14.509171
Analysed days: 13, Interpolated Closest Days: 2, distance 14.542271
Analysed days: 14, Interpolated Closest Days: 2, distance 14.542271
