Linear Interpolation Prediction for THCBF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 2, Interpolated Closest Days: 1, distance 0.423762
Analysed days: 25, Interpolated Closest Days: 5, distance 0.450059
Analysed days: 26, Interpolated Closest Days: 5, distance 0.450059
Analysed days: 27, Interpolated Closest Days: 5, distance 0.450059
Analysed days: 28, Interpolated Closest Days: 5, distance 0.450059
Analysed days: 25, Interpolated Closest Days: 4, distance 0.451003
Analysed days: 26, Interpolated Closest Days: 4, distance 0.451003
Analysed days: 27, Interpolated Closest Days: 4, distance 0.451003
Analysed days: 28, Interpolated Closest Days: 4, distance 0.451003
Analysed days: 25, Interpolated Closest Days: 14, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 15, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 16, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 17, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 18, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 19, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 20, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 21, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 22, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 23, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 24, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 14, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 15, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 16, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 17, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 18, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 19, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 20, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 21, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 22, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 23, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 24, distance 0.460835
Analysed days: 26, Interpolated Closest Days: 25, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 14, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 15, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 16, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 17, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 18, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 19, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 20, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 21, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 22, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 23, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 24, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 25, distance 0.460835
Analysed days: 27, Interpolated Closest Days: 26, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 14, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 15, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 16, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 17, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 18, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 19, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 20, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 21, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 22, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 23, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 24, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 25, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 26, distance 0.460835
Analysed days: 28, Interpolated Closest Days: 27, distance 0.460835
Analysed days: 25, Interpolated Closest Days: 13, distance 0.465241
Analysed days: 26, Interpolated Closest Days: 13, distance 0.465241
Analysed days: 27, Interpolated Closest Days: 13, distance 0.465241
Analysed days: 28, Interpolated Closest Days: 13, distance 0.465241
Analysed days: 9, Interpolated Closest Days: 2, distance 0.467487
Analysed days: 10, Interpolated Closest Days: 2, distance 0.467487
Analysed days: 25, Interpolated Closest Days: 12, distance 0.472058
Analysed days: 26, Interpolated Closest Days: 12, distance 0.472058
Analysed days: 27, Interpolated Closest Days: 12, distance 0.472058
Analysed days: 28, Interpolated Closest Days: 12, distance 0.472058
Analysed days: 25, Interpolated Closest Days: 11, distance 0.472787
Analysed days: 26, Interpolated Closest Days: 11, distance 0.472787
Analysed days: 27, Interpolated Closest Days: 11, distance 0.472787
Analysed days: 28, Interpolated Closest Days: 11, distance 0.472787
Analysed days: 5, Interpolated Closest Days: 1, distance 0.486573
Analysed days: 6, Interpolated Closest Days: 1, distance 0.486573
Analysed days: 7, Interpolated Closest Days: 1, distance 0.486573
Analysed days: 8, Interpolated Closest Days: 1, distance 0.486573
Analysed days: 9, Interpolated Closest Days: 1, distance 0.486573
Analysed days: 10, Interpolated Closest Days: 1, distance 0.486573
Analysed days: 25, Interpolated Closest Days: 10, distance 0.499633
Analysed days: 26, Interpolated Closest Days: 10, distance 0.499633
Analysed days: 27, Interpolated Closest Days: 10, distance 0.499633
Analysed days: 28, Interpolated Closest Days: 10, distance 0.499633
Analysed days: 25, Interpolated Closest Days: 8, distance 0.516837
Analysed days: 26, Interpolated Closest Days: 8, distance 0.516837
Analysed days: 27, Interpolated Closest Days: 8, distance 0.516837
Analysed days: 28, Interpolated Closest Days: 8, distance 0.516837
Analysed days: 24, Interpolated Closest Days: 13, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 14, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 15, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 16, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 17, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 18, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 19, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 20, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 21, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 22, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 23, distance 0.545315
Analysed days: 24, Interpolated Closest Days: 12, distance 0.553916
Analysed days: 25, Interpolated Closest Days: 9, distance 0.560082
Analysed days: 26, Interpolated Closest Days: 9, distance 0.560082
Analysed days: 27, Interpolated Closest Days: 9, distance 0.560082
Analysed days: 28, Interpolated Closest Days: 9, distance 0.560082
Analysed days: 24, Interpolated Closest Days: 11, distance 0.569128
Analysed days: 23, Interpolated Closest Days: 12, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 13, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 14, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 15, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 16, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 17, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 18, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 19, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 20, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 21, distance 0.572925
Analysed days: 23, Interpolated Closest Days: 22, distance 0.572925
Analysed days: 24, Interpolated Closest Days: 10, distance 0.575125
Analysed days: 23, Interpolated Closest Days: 11, distance 0.584933
Analysed days: 23, Interpolated Closest Days: 10, distance 0.602008
Analysed days: 25, Interpolated Closest Days: 7, distance 0.603732
Analysed days: 26, Interpolated Closest Days: 7, distance 0.603732
Analysed days: 27, Interpolated Closest Days: 7, distance 0.603732
Analysed days: 28, Interpolated Closest Days: 7, distance 0.603732
Analysed days: 23, Interpolated Closest Days: 9, distance 0.610398
Analysed days: 24, Interpolated Closest Days: 9, distance 0.615707
Analysed days: 29, Interpolated Closest Days: 15, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 16, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 17, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 18, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 19, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 20, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 21, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 22, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 23, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 24, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 25, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 26, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 27, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 28, distance 0.618959
Analysed days: 29, Interpolated Closest Days: 14, distance 0.631491
Analysed days: 9, Interpolated Closest Days: 5, distance 0.642721
Analysed days: 9, Interpolated Closest Days: 6, distance 0.642721
Analysed days: 9, Interpolated Closest Days: 7, distance 0.642721
Analysed days: 9, Interpolated Closest Days: 8, distance 0.642721
Analysed days: 10, Interpolated Closest Days: 5, distance 0.642721
Analysed days: 10, Interpolated Closest Days: 6, distance 0.642721
Analysed days: 10, Interpolated Closest Days: 7, distance 0.642721
Analysed days: 10, Interpolated Closest Days: 8, distance 0.642721
Analysed days: 10, Interpolated Closest Days: 9, distance 0.642721
Analysed days: 22, Interpolated Closest Days: 11, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 12, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 13, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 14, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 15, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 16, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 17, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 18, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 19, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 20, distance 0.651906
Analysed days: 22, Interpolated Closest Days: 21, distance 0.651906
Analysed days: 24, Interpolated Closest Days: 7, distance 0.653890
Analysed days: 29, Interpolated Closest Days: 13, distance 0.655277
Analysed days: 23, Interpolated Closest Days: 8, distance 0.658448
Analysed days: 25, Interpolated Closest Days: 6, distance 0.661281
Analysed days: 26, Interpolated Closest Days: 6, distance 0.661281
Analysed days: 27, Interpolated Closest Days: 6, distance 0.661281
Analysed days: 28, Interpolated Closest Days: 6, distance 0.661281
Analysed days: 24, Interpolated Closest Days: 4, distance 0.662589
Analysed days: 29, Interpolated Closest Days: 12, distance 0.664514
Analysed days: 22, Interpolated Closest Days: 10, distance 0.670893
Analysed days: 18, Interpolated Closest Days: 9, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 10, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 11, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 12, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 13, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 14, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 15, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 16, distance 0.675045
Analysed days: 18, Interpolated Closest Days: 17, distance 0.675045
Analysed days: 8, Interpolated Closest Days: 4, distance 0.690609
Analysed days: 8, Interpolated Closest Days: 5, distance 0.690609
Analysed days: 8, Interpolated Closest Days: 6, distance 0.690609
Analysed days: 8, Interpolated Closest Days: 7, distance 0.690609
Analysed days: 17, Interpolated Closest Days: 8, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 9, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 10, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 11, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 12, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 13, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 14, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 15, distance 0.694336
Analysed days: 17, Interpolated Closest Days: 16, distance 0.694336
Analysed days: 18, Interpolated Closest Days: 8, distance 0.694336
Analysed days: 24, Interpolated Closest Days: 8, distance 0.698041
Analysed days: 22, Interpolated Closest Days: 9, distance 0.704361
Analysed days: 29, Interpolated Closest Days: 11, distance 0.705941
Analysed days: 23, Interpolated Closest Days: 6, distance 0.706989
Analysed days: 16, Interpolated Closest Days: 7, distance 0.715389
