Linear Interpolation Prediction for TWMJF from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 25, Interpolated Closest Days: 14, distance 8.603759
Analysed days: 26, Interpolated Closest Days: 14, distance 8.603759
Analysed days: 27, Interpolated Closest Days: 14, distance 8.603759
Analysed days: 28, Interpolated Closest Days: 14, distance 8.603759
Analysed days: 25, Interpolated Closest Days: 12, distance 8.986142
Analysed days: 26, Interpolated Closest Days: 12, distance 8.986142
Analysed days: 27, Interpolated Closest Days: 12, distance 8.986142
Analysed days: 28, Interpolated Closest Days: 12, distance 8.986142
Analysed days: 25, Interpolated Closest Days: 13, distance 9.149402
Analysed days: 26, Interpolated Closest Days: 13, distance 9.149402
Analysed days: 27, Interpolated Closest Days: 13, distance 9.149402
Analysed days: 28, Interpolated Closest Days: 13, distance 9.149402
Analysed days: 24, Interpolated Closest Days: 10, distance 9.151112
Analysed days: 25, Interpolated Closest Days: 10, distance 9.151112
Analysed days: 26, Interpolated Closest Days: 10, distance 9.151112
Analysed days: 27, Interpolated Closest Days: 10, distance 9.151112
Analysed days: 28, Interpolated Closest Days: 10, distance 9.151112
Analysed days: 25, Interpolated Closest Days: 17, distance 9.259342
Analysed days: 25, Interpolated Closest Days: 18, distance 9.259342
Analysed days: 25, Interpolated Closest Days: 19, distance 9.259342
Analysed days: 25, Interpolated Closest Days: 20, distance 9.259342
Analysed days: 25, Interpolated Closest Days: 21, distance 9.259342
Analysed days: 25, Interpolated Closest Days: 22, distance 9.259342
Analysed days: 25, Interpolated Closest Days: 23, distance 9.259342
Analysed days: 25, Interpolated Closest Days: 24, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 17, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 18, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 19, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 20, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 21, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 22, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 23, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 24, distance 9.259342
Analysed days: 26, Interpolated Closest Days: 25, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 17, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 18, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 19, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 20, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 21, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 22, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 23, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 24, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 25, distance 9.259342
Analysed days: 27, Interpolated Closest Days: 26, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 17, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 18, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 19, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 20, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 21, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 22, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 23, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 24, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 25, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 26, distance 9.259342
Analysed days: 28, Interpolated Closest Days: 27, distance 9.259342
Analysed days: 22, Interpolated Closest Days: 9, distance 9.305827
Analysed days: 23, Interpolated Closest Days: 9, distance 9.305827
Analysed days: 24, Interpolated Closest Days: 13, distance 9.545073
Analysed days: 25, Interpolated Closest Days: 15, distance 9.688238
Analysed days: 26, Interpolated Closest Days: 15, distance 9.688238
Analysed days: 27, Interpolated Closest Days: 15, distance 9.688238
Analysed days: 28, Interpolated Closest Days: 15, distance 9.688238
Analysed days: 23, Interpolated Closest Days: 12, distance 9.733126
Analysed days: 24, Interpolated Closest Days: 9, distance 9.910404
Analysed days: 25, Interpolated Closest Days: 9, distance 9.910404
Analysed days: 26, Interpolated Closest Days: 9, distance 9.910404
Analysed days: 27, Interpolated Closest Days: 9, distance 9.910404
Analysed days: 28, Interpolated Closest Days: 9, distance 9.910404
Analysed days: 25, Interpolated Closest Days: 16, distance 9.913964
Analysed days: 26, Interpolated Closest Days: 16, distance 9.913964
