Linear Interpolation Prediction for WDAY from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 5, Interpolated Closest Days: 3, distance 18.328600
Analysed days: 5, Interpolated Closest Days: 4, distance 18.328600
Analysed days: 6, Interpolated Closest Days: 3, distance 18.328600
Analysed days: 6, Interpolated Closest Days: 4, distance 18.328600
Analysed days: 6, Interpolated Closest Days: 5, distance 18.328600
Analysed days: 7, Interpolated Closest Days: 3, distance 18.328600
Analysed days: 7, Interpolated Closest Days: 4, distance 18.328600
Analysed days: 7, Interpolated Closest Days: 5, distance 18.328600
Analysed days: 7, Interpolated Closest Days: 6, distance 18.328600
Analysed days: 8, Interpolated Closest Days: 3, distance 18.328600
Analysed days: 8, Interpolated Closest Days: 4, distance 18.328600
Analysed days: 8, Interpolated Closest Days: 5, distance 18.328600
Analysed days: 8, Interpolated Closest Days: 6, distance 18.328600
Analysed days: 8, Interpolated Closest Days: 7, distance 18.328600
Analysed days: 9, Interpolated Closest Days: 3, distance 18.328600
Analysed days: 9, Interpolated Closest Days: 4, distance 18.328600
Analysed days: 9, Interpolated Closest Days: 5, distance 18.328600
Analysed days: 9, Interpolated Closest Days: 6, distance 18.328600
Analysed days: 9, Interpolated Closest Days: 7, distance 18.328600
Analysed days: 9, Interpolated Closest Days: 8, distance 18.328600
Analysed days: 10, Interpolated Closest Days: 3, distance 18.328600
Analysed days: 10, Interpolated Closest Days: 4, distance 18.328600
Analysed days: 10, Interpolated Closest Days: 5, distance 18.328600
Analysed days: 10, Interpolated Closest Days: 6, distance 18.328600
Analysed days: 10, Interpolated Closest Days: 7, distance 18.328600
Analysed days: 10, Interpolated Closest Days: 8, distance 18.328600
Analysed days: 10, Interpolated Closest Days: 9, distance 18.328600
Analysed days: 29, Interpolated Closest Days: 12, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 13, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 14, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 15, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 16, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 17, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 18, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 19, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 20, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 21, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 22, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 23, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 24, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 25, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 26, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 27, distance 18.680846
Analysed days: 29, Interpolated Closest Days: 28, distance 18.680846
Analysed days: 24, Interpolated Closest Days: 11, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 12, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 13, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 14, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 15, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 16, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 17, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 18, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 19, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 20, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 21, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 22, distance 18.757537
Analysed days: 24, Interpolated Closest Days: 23, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 11, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 12, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 13, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 14, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 15, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 16, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 17, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 18, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 19, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 20, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 21, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 22, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 23, distance 18.757537
Analysed days: 25, Interpolated Closest Days: 24, distance 18.757537
