Linear Interpolation Prediction for WEED.TO from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 27, Interpolated Closest Days: 6, distance 11.461193
Analysed days: 28, Interpolated Closest Days: 6, distance 11.461193
Analysed days: 29, Interpolated Closest Days: 6, distance 11.461193
Analysed days: 16, Interpolated Closest Days: 8, distance 11.516117
Analysed days: 16, Interpolated Closest Days: 9, distance 11.881130
Analysed days: 27, Interpolated Closest Days: 13, distance 12.191555
Analysed days: 28, Interpolated Closest Days: 13, distance 12.191555
Analysed days: 16, Interpolated Closest Days: 10, distance 12.390195
Analysed days: 27, Interpolated Closest Days: 14, distance 12.405493
Analysed days: 28, Interpolated Closest Days: 14, distance 12.405493
Analysed days: 27, Interpolated Closest Days: 10, distance 12.552316
Analysed days: 28, Interpolated Closest Days: 10, distance 12.552316
Analysed days: 27, Interpolated Closest Days: 11, distance 12.660396
Analysed days: 28, Interpolated Closest Days: 11, distance 12.660396
Analysed days: 27, Interpolated Closest Days: 9, distance 12.812785
Analysed days: 28, Interpolated Closest Days: 9, distance 12.812785
Analysed days: 14, Interpolated Closest Days: 6, distance 13.087156
Analysed days: 15, Interpolated Closest Days: 6, distance 13.087156
Analysed days: 16, Interpolated Closest Days: 6, distance 13.087156
Analysed days: 2, Interpolated Closest Days: 1, distance 13.149415
Analysed days: 3, Interpolated Closest Days: 1, distance 13.149415
Analysed days: 4, Interpolated Closest Days: 1, distance 13.149415
Analysed days: 5, Interpolated Closest Days: 1, distance 13.149415
Analysed days: 9, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 10, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 11, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 12, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 13, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 14, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 15, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 16, Interpolated Closest Days: 5, distance 13.208070
Analysed days: 16, Interpolated Closest Days: 11, distance 13.278655
Analysed days: 16, Interpolated Closest Days: 12, distance 13.278655
Analysed days: 16, Interpolated Closest Days: 13, distance 13.278655
Analysed days: 16, Interpolated Closest Days: 14, distance 13.278655
Analysed days: 16, Interpolated Closest Days: 15, distance 13.278655
Analysed days: 14, Interpolated Closest Days: 7, distance 13.282950
Analysed days: 15, Interpolated Closest Days: 7, distance 13.282950
Analysed days: 16, Interpolated Closest Days: 7, distance 13.282950
Analysed days: 9, Interpolated Closest Days: 6, distance 13.406384
Analysed days: 9, Interpolated Closest Days: 7, distance 13.406384
Analysed days: 9, Interpolated Closest Days: 8, distance 13.406384
Analysed days: 10, Interpolated Closest Days: 6, distance 13.406384
Analysed days: 11, Interpolated Closest Days: 6, distance 13.406384
Analysed days: 12, Interpolated Closest Days: 6, distance 13.406384
Analysed days: 13, Interpolated Closest Days: 6, distance 13.406384
Analysed days: 27, Interpolated Closest Days: 12, distance 13.448504
Analysed days: 28, Interpolated Closest Days: 12, distance 13.448504
Analysed days: 27, Interpolated Closest Days: 15, distance 13.525010
Analysed days: 28, Interpolated Closest Days: 15, distance 13.525010
Analysed days: 15, Interpolated Closest Days: 8, distance 13.553178
Analysed days: 14, Interpolated Closest Days: 8, distance 13.793734
Analysed days: 27, Interpolated Closest Days: 16, distance 13.838102
Analysed days: 28, Interpolated Closest Days: 16, distance 13.919711
Analysed days: 10, Interpolated Closest Days: 7, distance 13.994329
Analysed days: 10, Interpolated Closest Days: 8, distance 13.994329
Analysed days: 10, Interpolated Closest Days: 9, distance 13.994329
Analysed days: 11, Interpolated Closest Days: 7, distance 13.994329
Analysed days: 11, Interpolated Closest Days: 8, distance 13.994329
Analysed days: 11, Interpolated Closest Days: 9, distance 13.994329
Analysed days: 11, Interpolated Closest Days: 10, distance 13.994329
Analysed days: 12, Interpolated Closest Days: 7, distance 13.994329
Analysed days: 12, Interpolated Closest Days: 8, distance 13.994329
Analysed days: 12, Interpolated Closest Days: 9, distance 13.994329
Analysed days: 12, Interpolated Closest Days: 10, distance 13.994329
Analysed days: 12, Interpolated Closest Days: 11, distance 13.994329
Analysed days: 13, Interpolated Closest Days: 7, distance 13.994329
Analysed days: 15, Interpolated Closest Days: 9, distance 14.016043
Analysed days: 27, Interpolated Closest Days: 7, distance 14.111265
Analysed days: 28, Interpolated Closest Days: 7, distance 14.111265
Analysed days: 28, Interpolated Closest Days: 17, distance 14.207872
Analysed days: 27, Interpolated Closest Days: 8, distance 14.212676
Analysed days: 28, Interpolated Closest Days: 8, distance 14.212676
Analysed days: 17, Interpolated Closest Days: 9, distance 14.348792
Analysed days: 18, Interpolated Closest Days: 9, distance 14.348792
Analysed days: 19, Interpolated Closest Days: 9, distance 14.348792
Analysed days: 27, Interpolated Closest Days: 17, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 18, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 19, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 20, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 21, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 22, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 23, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 24, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 25, distance 14.423432
Analysed days: 27, Interpolated Closest Days: 26, distance 14.423432
Analysed days: 17, Interpolated Closest Days: 10, distance 14.506679
Analysed days: 18, Interpolated Closest Days: 10, distance 14.506679
Analysed days: 19, Interpolated Closest Days: 10, distance 14.506679
Analysed days: 6, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 7, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 8, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 9, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 10, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 11, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 12, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 13, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 14, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 15, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 16, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 17, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 18, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 19, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 20, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 21, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 22, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 23, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 24, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 25, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 26, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 27, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 28, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 29, Interpolated Closest Days: 2, distance 14.561870
Analysed days: 28, Interpolated Closest Days: 18, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 19, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 20, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 21, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 22, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 23, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 24, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 25, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 26, distance 14.757551
Analysed days: 28, Interpolated Closest Days: 27, distance 14.757551
Analysed days: 14, Interpolated Closest Days: 9, distance 14.839251
Analysed days: 14, Interpolated Closest Days: 10, distance 14.839251
Analysed days: 14, Interpolated Closest Days: 11, distance 14.839251
Analysed days: 14, Interpolated Closest Days: 12, distance 14.839251
Analysed days: 14, Interpolated Closest Days: 13, distance 14.839251
Analysed days: 17, Interpolated Closest Days: 11, distance 14.885317
Analysed days: 18, Interpolated Closest Days: 11, distance 14.885317
Analysed days: 19, Interpolated Closest Days: 11, distance 14.885317
Analysed days: 29, Interpolated Closest Days: 14, distance 14.903390
Analysed days: 15, Interpolated Closest Days: 10, distance 14.976563
Analysed days: 15, Interpolated Closest Days: 11, distance 14.976563
Analysed days: 15, Interpolated Closest Days: 12, distance 14.976563
Analysed days: 15, Interpolated Closest Days: 13, distance 14.976563
Analysed days: 15, Interpolated Closest Days: 14, distance 14.976563
Analysed days: 29, Interpolated Closest Days: 15, distance 14.983916
Analysed days: 20, Interpolated Closest Days: 10, distance 15.133212
Analysed days: 21, Interpolated Closest Days: 10, distance 15.133212
Analysed days: 13, Interpolated Closest Days: 8, distance 15.151994
Analysed days: 13, Interpolated Closest Days: 9, distance 15.151994
Analysed days: 13, Interpolated Closest Days: 10, distance 15.151994
Analysed days: 13, Interpolated Closest Days: 11, distance 15.151994
Analysed days: 13, Interpolated Closest Days: 12, distance 15.151994
Analysed days: 20, Interpolated Closest Days: 11, distance 15.235199
Analysed days: 21, Interpolated Closest Days: 11, distance 15.235199
Analysed days: 22, Interpolated Closest Days: 11, distance 15.255761
Analysed days: 22, Interpolated Closest Days: 12, distance 15.341859
Analysed days: 20, Interpolated Closest Days: 12, distance 15.563062
Analysed days: 17, Interpolated Closest Days: 12, distance 15.605343
Analysed days: 17, Interpolated Closest Days: 13, distance 15.605343
Analysed days: 17, Interpolated Closest Days: 14, distance 15.605343
Analysed days: 17, Interpolated Closest Days: 15, distance 15.605343
Analysed days: 17, Interpolated Closest Days: 16, distance 15.605343
Analysed days: 18, Interpolated Closest Days: 12, distance 15.605343
Analysed days: 18, Interpolated Closest Days: 13, distance 15.605343
Analysed days: 18, Interpolated Closest Days: 14, distance 15.605343
Analysed days: 18, Interpolated Closest Days: 15, distance 15.605343
Analysed days: 18, Interpolated Closest Days: 16, distance 15.605343
Analysed days: 18, Interpolated Closest Days: 17, distance 15.605343
Analysed days: 19, Interpolated Closest Days: 12, distance 15.605343
Analysed days: 19, Interpolated Closest Days: 13, distance 15.605343
Analysed days: 19, Interpolated Closest Days: 14, distance 15.605343
Analysed days: 19, Interpolated Closest Days: 15, distance 15.605343
Analysed days: 19, Interpolated Closest Days: 16, distance 15.605343
Analysed days: 19, Interpolated Closest Days: 17, distance 15.605343
Analysed days: 19, Interpolated Closest Days: 18, distance 15.605343
Analysed days: 8, Interpolated Closest Days: 5, distance 15.613614
